Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
1964-0019-FJI,1964,19,,Natural,Hydrological,Flood,,,,Fiji,FJI,Melanesia,Oceania,Viti Levu,,,,Yes,,,,,Km2,,,,,1964,3.0,22.0,1964,3.0,22.0,1.0,,8000.0,10000.0,18000.0,,,,,1100.0,9610.0,11.4465427509293,,,,
1986-0052-FJI,1986,52,,Natural,Hydrological,Flood,,,,Fiji,FJI,Melanesia,Oceania,Vanua Levu + northern Isl.,,,,Yes,,,,,Km2,,,,,1986,4.0,12.0,1986,4.0,12.0,19.0,,215000.0,,215000.0,,,,,15400.0,38071.0,40.4504089219331,,,,
2000-0806-FJI,2000,806,,Natural,Hydrological,Flood,Coastal flood,,,Fiji,FJI,Melanesia,Oceania,"Central, Western provinces",,,,,,,,,Km2,,,,,2000,12.0,6.0,2000,12.0,6.0,4.0,,,,,,,,,,,63.5495473431008,1,40187;40190,,"Central, Western (Adm1)."
2004-0294-FJI,2004,294,,Natural,Hydrological,Flood,Flash flood,,,Fiji,FJI,Melanesia,Oceania,"Central, Western provinces",Torrential rains,"Slide (land, mud, snow, rock)",,,,,,,Km2,,,,,2004,6.0,5.0,2004,6.0,5.0,,,600.0,,600.0,,,,,,,69.7064421605073,1,40187;40190,,"Central, Western (Adm1)."
2006-0071-FJI,2006,71,,Natural,Hydrological,Flood,Riverine flood,,,Fiji,FJI,Melanesia,Oceania,Macuata district (Northern province),Heavy rain,"Slide (land, mud, snow, rock)",,,,,,2370.0,Km2,-16.45,179.65,,"Waiqele, Naseakula",2006,2.0,4.0,2006,2.0,9.0,4.0,,224.0,,224.0,,,,,500.0,672.0,74.3963874917997,2,,40202,Macuata (Adm2).
2007-0108-FJI,2007,108,,Natural,Hydrological,Flood,Riverine flood,,,Fiji,FJI,Melanesia,Oceania,"Central, Northern, Western provinces",Heavy rain,,,,,,,1690.0,Km2,-17.77,177.48,,"Qawa, Nadi",2007,2.0,3.0,2007,2.0,20.0,1.0,,900.0,,900.0,,,,,30000.0,39206.0,76.5186792040236,1,40187;40189;40190,,"Central, Northern, Western (Adm1)."
2007-0592-FJI,2007,592,FL-2007-000025,Natural,Hydrological,Flood,Flash flood,,,Fiji,FJI,Melanesia,Oceania,"Central, Northern, Western provinces",,,,,,,,,Km2,-17.77,177.48,,,2007,3.0,9.0,2007,3.0,12.0,5.0,,,,,,,,,7000.0,9148.0,76.5186792040236,1,40187;40189;40190,,"Central, Northern, Western (Adm1)."
2009-0013-FJI,2009,13,2009-000010,Natural,Hydrological,Flood,Riverine flood,,,Fiji,FJI,Melanesia,Oceania,"North, Central, Western provinces",Heavy rains,Tsunami/Tidal wave,,Yes,,Yes,2516.0,348.0,Km2,-17.74,178.05,,,2009,1.0,8.0,2009,1.0,19.0,12.0,,10556.0,,10556.0,,,,,43247.0,54623.0,79.1738027553029,1,40187;40189;40190,,"Central, Northern, Western (Adm1)."
2012-0024-FJI,2012,24,,Natural,Hydrological,Flood,Riverine flood,,,Fiji,FJI,Melanesia,Oceania,Western province,"Heavy rains, TRopical depression","Slide (land, mud, snow, rock)",,Yes,,Yes,1641.0,,Km2,-17.784,178.08,,,2012,1.0,22.0,2012,2.0,6.0,10.0,,4561.0,,4561.0,,,,,17000.0,20064.0,84.7304788978789,1,40190,,Western (Adm1).
2012-0069-FJI,2012,69,,Natural,Hydrological,Flood,Riverine flood,,,Fiji,FJI,Melanesia,Oceania,Western province,"Heavy rains, tropical depression TD17F-2012",,,Yes,,Yes,3675.0,,Km2,-17.798,178.02,,,2012,3.0,29.0,2012,3.0,30.0,5.0,,14984.0,,14984.0,,,,,72000.0,84975.0,84.7304788978789,1,40190,,Western (Adm1).
