Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
1931-0006-FJI,1931,6,,Natural,Meteorological,Storm,Tropical cyclone,,,Fiji,FJI,Melanesia,Oceania,"Labasa, Lautoka",,,,,,,,,Kph,,,,,1931,2.0,16.0,1931,2.0,16.0,200.0,,,,,,,,,,,5.6249221807756,,,,
1941-0002-FJI,1941,2,,Natural,Meteorological,Storm,Tropical cyclone,,,Fiji,FJI,Melanesia,Oceania,Viti Levu,,,,,,,,,Kph,,,,,1941,2.0,19.0,1941,2.0,19.0,6.0,,,,,,,,,,,5.4402967262644,,,,
1952-0001-FJI,1952,1,,Natural,Meteorological,Storm,Tropical cyclone,,,Fiji,FJI,Melanesia,Oceania,Near Suva,,,,,,,,,Kph,,,,,1952,1.0,28.0,1952,1.0,28.0,23.0,800.0,,,800.0,,,,,2000.0,20362.0,9.8220741799977,,,,
1958-0005-FJI,1958,5,,Natural,Meteorological,Storm,Tropical cyclone,,,Fiji,FJI,Melanesia,Oceania,Lau Islands,,,,,,,,,Kph,,,,,1958,1.0,7.0,1958,1.0,7.0,,,,,,,,,,,,10.6500240542314,,,,
1965-0011-FJI,1965,11,,Natural,Meteorological,Storm,Tropical cyclone,,,Fiji,FJI,Melanesia,Oceania,Throughout Islands,,,,Yes,,,,,Kph,,,,,1965,2.0,7.0,1965,2.0,7.0,2.0,,10000.0,,10000.0,,,,,,,11.6279903783075,,,,
1972-0059-FJI,1972,59,,Natural,Meteorological,Storm,Tropical cyclone,,Bebe,Fiji,FJI,Melanesia,Oceania,Much of nation,,,,Yes,,,,,Kph,,,,,1972,10.0,24.0,1972,10.0,24.0,3.0,,120000.0,,120000.0,,,,,22500.0,145799.0,15.4322326700197,,,,
1973-0021-FJI,1973,21,,Natural,Meteorological,Storm,Tropical cyclone,,Juliette,Fiji,FJI,Melanesia,Oceania,"Savusavu, Bua",,,,Yes,,,,,Kph,,,,,1973,4.0,3.0,1973,4.0,3.0,,,1150.0,,1150.0,,,,,,,16.3855937021648,,,,
1973-0052-FJI,1973,52,,Natural,Meteorological,Storm,Tropical cyclone,,Lottie,Fiji,FJI,Melanesia,Oceania,"Kadavu, South Lau group",,,,Yes,,,,,Kph,,,,,1973,12.0,9.0,1973,12.0,9.0,59.0,,5000.0,,5000.0,,,,,,,16.3855937021648,,,,
1975-0015-FJI,1975,15,,Natural,Meteorological,Storm,Tropical cyclone,,Val,Fiji,FJI,Melanesia,Oceania,Lau group,,,,Yes,,,,,Kph,,,,,1975,1.0,30.0,1975,1.0,30.0,,,23000.0,,23000.0,,,,,1000.0,5035.0,19.8607741089,,,,
1978-0032-FJI,1978,32,,Natural,Meteorological,Storm,Tropical cyclone,,Bob,Fiji,FJI,Melanesia,Oceania,,,,,,,,,,Kph,,,,,1978,2.0,4.0,1978,2.0,4.0,,,,,,,,,,,,24.0740345506232,,,,
1979-0033-FJI,1979,33,,Natural,Meteorological,Storm,Tropical cyclone,,Meli,Fiji,FJI,Melanesia,Oceania,"East, South Islands + Lau group",,,,Yes,,,,,Kph,,,,,1979,3.0,27.0,1979,3.0,27.0,53.0,300.0,20600.0,15000.0,35900.0,,,,,,,26.7834419418325,,,,
1980-0036-FJI,1980,36,,Natural,Meteorological,Storm,Tropical cyclone,,Wally,Fiji,FJI,Melanesia,Oceania,"Vanua Levu, Viti Levu",,,,Yes,,,,,Kph,,,,,1980,3.0,24.0,1980,3.0,24.0,18.0,250.0,28000.0,7000.0,35250.0,,,,,2256.0,7418.0,30.4123857424011,,,,
1981-0024-FJI,1981,24,,Natural,Meteorological,Storm,Tropical cyclone,,Arthur,Fiji,FJI,Melanesia,Oceania,"Yasawas, Mamanuca",,,,Yes,,,,,Kph,,,,,1981,1.0,15.0,1981,1.0,15.0,,,4700.0,,4700.0,,,,,,,33.5554165755522,,,,
