Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
1958-0039-FRA,1958,39,,Natural,Hydrological,Flood,Riverine flood,,,France,FRA,Western Europe,Europe,"Gard, Hérault",,,,,No,No,,,Km2,,,,,1958,9.0,30.0,1958,10.0,4.0,35.0,,,,,,,,,,,10.6500240542314,,,,
1977-0084-FRA,1977,84,,Natural,Hydrological,Flood,Riverine flood,,,France,FRA,Western Europe,Europe,Gers (South West),Heavy rains,,,,No,No,,,Km2,,,,Lannemazan,1977,7.0,8.0,1977,7.0,8.0,26.0,,25000.0,,25000.0,,,,,,,22.367198775421,,,,
1980-0237-FRA,1980,237,,Natural,Hydrological,Flood,Riverine flood,,,France,FRA,Western Europe,Europe,Central Region,,,,,,,,,Km2,,,,,1980,9.0,21.0,1980,9.0,21.0,6.0,13.0,300.0,,313.0,,,,,,,30.4123857424011,,,,
1981-0217-FRA,1981,217,,Natural,Hydrological,Flood,,,,France,FRA,Western Europe,Europe,"Gironde, Lot-Et-Garonne departments",,,,,,,,,Km2,,,,,1981,12.0,20.0,1981,12.0,20.0,,,,,,,,,,,,33.5554165755522,,,,
1983-0345-FRA,1983,345,,Natural,Hydrological,Flood,,,,France,FRA,Western Europe,Europe,Alsace,,,,,,,,,Km2,,,,,1983,5.0,28.0,1983,5.0,28.0,,,3500.0,,3500.0,,,,,,,36.7568773234201,,,,
1987-0395-FRA,1987,395,,Natural,Hydrological,Flood,,,,France,FRA,Western Europe,Europe,Grand-Bornand,,,,,,,,,Km2,,,,,1987,7.0,14.0,1987,7.0,14.0,23.0,,,,,,,,,,,41.9327356221299,,,,
1988-0698-FRA,1988,698,,Natural,Hydrological,Flood,Flash flood,,,France,FRA,Western Europe,Europe,Nimes (Gard),Brief torrential rains,,,,No,No,,710.0,Km2,,,,,1988,10.0,3.0,1988,10.0,3.0,10.0,,300.0,,300.0,,,,,500000.0,1145669.0,43.6426415919528,,,,
1992-0371-FRA,1992,371,,Natural,Hydrological,Flood,Riverine flood,,,France,FRA,Western Europe,Europe,"Aude, Pyrennes-Orientales",Heavy rain,,,,No,No,,,Km2,,,,,1992,9.0,27.0,1992,9.0,27.0,3.0,,,,,,,,,,,51.7831620380495,,,,
1993-0237-FRA,1993,237,,Natural,Hydrological,Flood,Riverine flood,,,France,FRA,Western Europe,Europe,,,,,,No,No,,,Km2,,,,,1993,12.0,20.0,1993,12.0,31.0,4.0,,,,,,,350000.0,656517.0,600000.0,1125458.0,53.3116203804942,,,,
1994-0048-FRA,1994,48,,Natural,Hydrological,Flood,Riverine flood,,,France,FRA,Western Europe,Europe,Camargue,,,,,No,No,,70.0,Km2,,,,,1994,1.0,7.0,1994,1.0,12.0,10.0,,210.0,,210.0,,,,,5000.0,9140.0,54.7016925431883,,,,
