Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
1995-0173-GEO,1995,173,,Natural,Hydrological,Flood,Riverine flood,,,Georgia,GEO,Western Asia,Asia,Abkhazia region,Heavy rains,,,,No,No,,8420.0,Km2,,,,Aragvi,1995,7.0,1.0,1995,7.0,11.0,1.0,,300.0,,300.0,,,,,2200.0,3912.0,56.2363000218675,,,,
1997-0568-GEO,1997,568,,Natural,Hydrological,Flood,Riverine flood,,,Georgia,GEO,Western Asia,Asia,Tbilisi,Rain and snowmelt,,,,No,No,,56750.0,Km2,,,,,1997,1.0,1.0,1997,1.0,6.0,3.0,,,,,,,,,19500.0,32918.0,59.2378657336541,,,,
1997-0565-GEO,1997,565,,Natural,Hydrological,Flood,Riverine flood,,,Georgia,GEO,Western Asia,Asia,"Kvemo Kartii district (Mestia region, Tbilisi)",Heavy rain,,,,No,No,,31950.0,Km2,,,,Kura,1997,4.0,26.0,1997,5.0,2.0,4.0,,300.0,,300.0,,,,,10000.0,16881.0,59.2378657336541,,,,
1997-0117-GEO,1997,117,,Natural,Hydrological,Flood,,,,Georgia,GEO,Western Asia,Asia,Gori,,,,,,,,,Km2,,,,,1997,5.0,23.0,1997,5.0,23.0,,,,200.0,200.0,,,,,,,59.2378657336541,,,,
2004-0102-GEO,2004,102,,Natural,Hydrological,Flood,Riverine flood,,,Georgia,GEO,Western Asia,Asia,"Aspindza district (Samtskhe-Javakheti province), Mesti district (Samergelo and Zemo (upper) Svaneti province)","Heavy rain, snowmelt","Slide (land, mud, snow, rock)",,,,,,,Km2,,,,,2004,3.0,5.0,2004,3.0,9.0,,,,,,,,,,,,69.7064421605073,2,,16504;16514,"Aspindza, Mestia (Adm2)."
2004-0401-GEO,2004,401,,Natural,Hydrological,Flood,Riverine flood,,,Georgia,GEO,Western Asia,Asia,Mestia (Samergelo and Zemo (upper) Svaneti province),Heavy rain,"Slide (land, mud, snow, rock)",,Yes,,,,2160.0,Km2,,,,,2004,7.0,15.0,2004,7.0,20.0,1.0,,,90.0,90.0,,,,,2156.0,3093.0,69.7064421605073,2,,16504,Mestia (Adm2).
2005-0225-GEO,2005,225,,Natural,Hydrological,Flood,Riverine flood,,,Georgia,GEO,Western Asia,Asia,"Lentekhi district (Racha-Lechkhumi and Kvemo (lower) Svaneti province), Khoni, Tskaltubo districts (Imereti province)",Torrential rain,"Slide (land, mud, snow, rock)",,Yes,,,1007.0,,Km2,,,,"Rioni, Krikhula, Lekhumi rivers",2005,4.0,23.0,2005,4.0,28.0,,,2500.0,,2500.0,,,,,,,72.0714104526569,2,,16466;16473;16498,"Khoni, Lentekhi, Tskaltubo (Adm2)."
2006-0208-GEO,2006,208,,Natural,Hydrological,Flood,Riverine flood,,,Georgia,GEO,Western Asia,Asia,"Chkhoushi village (Zygdidi district, Samergelo and Zemo (upper) Svaneti province), Tsalendjikha district (Samergelo and Zemo (upper) Svaneti province), Khoni district (Imereti province)","Dam/levy break of release, rains and snowmelt",Broken Dam/Burst bank,,,,,,29220.0,Km2,42.27,42.83,,"Inguri, Tskhenisqali",2006,4.0,15.0,2006,4.0,24.0,,,600.0,,600.0,,,,,,,74.3963874917997,2,,16466;16507;16510,"Khoni, Tsalendjikha, Zygdidi (Adm2)."
2011-0295-GEO,2011,295,FF-2011-000071,Natural,Hydrological,Flood,Flash flood,,,Georgia,GEO,Western Asia,Asia,Shida Kartli province,,"Slide (land, mud, snow, rock)",,,,,,,Km2,,,,,2011,6.0,12.0,2011,6.0,22.0,7.0,,1750.0,,1750.0,,,,,,,83.0126743931774,1,1306,,Shida Kartli (Adm1).
2012-0165-GEO,2012,165,FF-2012-000079,Natural,Hydrological,Flood,Flash flood,,,Georgia,GEO,Western Asia,Asia,"Tbilissi district (Tbilisi province), Ducheti, Mtskheta districts (Mtskheta-Mtianeti province), Akhmeta, Gurdjaani, Lagodekhi districts (Kakheti province)",Torrential rains,"Slide (land, mud, snow, rock)",,,,,,15849.0,Km2,42.0681,44.52,,,2012,5.0,12.0,2012,5.0,16.0,5.0,18.0,100000.0,,100018.0,,,,,3000.0,3541.0,84.7304788978789,2,,16476;16478;16480;16493;16495;16525,"Akhmeta, Ducheti, Gurdjaani, Lagodekhi, Mtskheta, Tbilissi (Adm2)."
