Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
1992-0556-DEU,1992,556,,Natural,Hydrological,Flood,,,,Germany,DEU,Western Europe,Europe,"Wuppertal, Radevormwald",,,,,No,No,,,Km2,,,,,1992,8.0,28.0,1992,8.0,30.0,,,,,,,,,,30100.0,58127.0,51.7831620380495,,,,
1993-0237-DEU,1993,237,,Natural,Hydrological,Flood,Riverine flood,,,Germany,DEU,Western Europe,Europe,"Saarland, Rheinland-Palatinate, Baden-Wuerttemberg, Bavaria states",Brief torrential rain,,,,No,No,,,Km2,,,,"Mosel, Saar, Rhine, Neckar, Aisch, Nahe",1993,12.0,21.0,1993,12.0,31.0,5.0,,100000.0,,100000.0,,,180000.0,337637.0,600000.0,1125458.0,53.3116203804942,,,,
1994-0048-DEU,1994,48,,Natural,Hydrological,Flood,Riverine flood,,,Germany,DEU,Western Europe,Europe,,,,,,No,No,,,Km2,,,,,1994,1.0,7.0,1994,1.0,12.0,,,,,,,,,,200000.0,365619.0,54.7016925431883,,,,
1994-0098-DEU,1994,98,,Natural,Hydrological,Flood,Riverine flood,,,Germany,DEU,Western Europe,Europe,"Saxony-Anhalt, Thuringia, Baden-Wuerttemberg, Bavaria",,,,,,,,1497.0,Km2,,,,,1994,4.0,13.0,1994,4.0,13.0,2.0,,,,,,,,,193500.0,353737.0,54.7016925431883,,,,
1997-0154-DEU,1997,154,,Natural,Hydrological,Flood,Riverine flood,,,Germany,DEU,Western Europe,Europe,"Oderbruch, Frankfurt-and-der-Oder, Zittendof",Heavy rain,,,,No,No,,8360.0,Km2,,,,Oder,1997,7.0,4.0,1997,8.0,9.0,,,5200.0,,5200.0,,,35000.0,59084.0,360000.0,607719.0,59.2378657336541,,,,
1999-0182-DEU,1999,182,,Natural,Hydrological,Flood,Riverine flood,,,Germany,DEU,Western Europe,Europe,Bavaria,,,,,No,Yes,,121.0,Km2,,,,,1999,5.0,11.0,1999,6.0,30.0,7.0,,100000.0,,100000.0,,,75000.0,122003.0,430000.0,699486.0,61.473667176908,,,,
2002-0467-DEU,2002,467,,Natural,Hydrological,Flood,,,,Germany,DEU,Western Europe,Europe,"Bayern, Baden-Wuerttemberg, Thueringen, Niedersachsen provinces ; Bitterfield, Magdeburg, Dessau, Wittenberg, Muehlberg cities (Sachsen-Anhalt province), Torgau, Dresden cities (Sachsen province), Pirna, Daphna, Luechow-Dannenberg, Leipzig cities (Brandenburg province)",,Rain,,,,Yes,,,Km2,,,,,2002,8.0,11.0,2002,8.0,20.0,27.0,108.0,330000.0,,330108.0,,,1800000.0,2711580.0,11600000.0,17474626.0,66.3819636999782,1,1308;1309;1311;1316;1320;1321;1323,,"Baden-Wuerttemberg, Bayern, Brandenburg, Niedersachsen, Sachsen, Sachsen-Anhalt, Thueringen (Adm1)."
2005-0364-DEU,2005,364,,Natural,Hydrological,Flood,Riverine flood,,,Germany,DEU,Western Europe,Europe,Oberbayern district (Bayern province),Heavy rains,,,,,,,,Km2,,,,"Flüsse, Bäche",2005,7.0,10.0,2005,7.0,13.0,,,450.0,,450.0,,,,,,,72.0714104526569,2,,16532,Oberbayern (Adm2).
2005-0451-DEU,2005,451,,Natural,Hydrological,Flood,Riverine flood,,,Germany,DEU,Western Europe,Europe,Oberbayern district (Bayern province),Heavy rains,,,,,,,,Km2,,,,Danube,2005,8.0,21.0,2005,8.0,26.0,1.0,,,,,,,50000.0,69376.0,220000.0,305253.0,72.0714104526569,2,,16532,Oberbayern (Adm2).
2006-0156-DEU,2006,156,,Natural,Hydrological,Flood,Riverine flood,,,Germany,DEU,Western Europe,Europe,"Dresden district (Saxony province) ; Saxony-Anhalt, Brandenburg provinces",Raisn and snowmelt,Broken Dam/Burst bank,,,,,,,Km2,49.86,16.09,,Elbe,2006,3.0,28.0,2006,4.0,17.0,,,1000.0,,1000.0,,,,,,,74.3963874917997,1;2,1311;1321,16560,"Brandenburg, Sachsen-Anhalt (Adm1). Dresden (Adm2)."
2007-0349-DEU,2007,349,,Natural,Hydrological,Flood,Riverine flood,,,Germany,DEU,Western Europe,Europe,Rheinland-Pfalz province,Heavy rain,,,,,,,,Km2,,,,Rhin,2007,8.0,9.0,2007,8.0,12.0,1.0,,,,,,,,,,,76.5186792040236,1,1318,,Rheinland-Pfalz (Adm1).
2009-0228-DEU,2009,228,FL-2009-000121,Natural,Hydrological,Flood,Riverine flood,,,Germany,DEU,Western Europe,Europe,Oberbayern district (Bayern province),Heavy rains,,,,,,,,Km2,,,,,2009,6.0,22.0,2009,6.0,26.0,,,,,,,,,,20000.0,25261.0,79.1738027553029,2,,16532,Oberbayern (Adm2).
2010-0380-DEU,2010,380,,Natural,Hydrological,Flood,Flash flood,,,Germany,DEU,Western Europe,Europe,"Chemnitz district (Sachsen province), Neurkirchen city (Saarland province)",,Flood,,,,,,,Km2,,,,,2010,8.0,7.0,2010,8.0,7.0,3.0,,,,,,,,,,,80.472285151979,1;2,1319,16559,Saarland (Adm1). Chemnitz (Adm2).
2011-0012-DEU,2011,12,,Natural,Hydrological,Flood,Riverine flood,,,Germany,DEU,Western Europe,Europe,"Pforzheim (Kalsruhe district), Wertheim, Waiblingen cities (Stuttgart district) (Bade-Wurtemberg province), Wuzrburg, Passeau city (Niederbayern district, Bayern province), Coblence, Treves, Cochem (Rheinland-Pfalz province), Essen city (Duesseldorf district), Bonn city (Koeln district), Bochum city (Arnsberg district) (Nordrhein-Westfalen province) ; Saxe-Anhalt, Brandenburg, Thueringen provinces",Fonte des neiges et pluies,,,,,,,,Km2,,,,"Rhin, Moselle",2011,1.0,8.0,2011,1.0,11.0,4.0,,,,,,,,,,,83.0126743931774,1;2,1311;1318;1321;1323,16527;16528;16531;16549;16551;16552,"Brandenburg, Rheinland-Pfalz, Sachsen-Anhalt, Thueringen (Adm1). Arnsberg, Duesseldorf, Karlsruhe, Koeln, Niederbayern, Stuttgart (Adm2)."
