Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
1990-0717-DEU,1990,717,,Natural,Meteorological,Storm,,,Daria,Germany,DEU,Western Europe,Europe,,,,,,No,No,,,Kph,,,,,1990,1.0,25.0,1990,1.0,26.0,8.0,,,,,,,600000.0,1244328.0,1200000.0,2488656.0,48.2187972884321,,,,
1990-0718-DEU,1990,718,,Natural,Meteorological,Storm,,,Herta,Germany,DEU,Western Europe,Europe,,,,,,No,No,,,Kph,,,,,1990,2.0,3.0,1990,2.0,4.0,7.0,,,,,,,300000.0,622164.0,600000.0,1244328.0,48.2187972884321,,,,
1990-0719-DEU,1990,719,,Natural,Meteorological,Storm,,,Judith,Germany,DEU,Western Europe,Europe,,,,,,No,No,,,Kph,,,,,1990,2.0,7.0,1990,2.0,8.0,,,,,,,,30000.0,62216.0,60000.0,124433.0,48.2187972884321,,,,
1990-0721-DEU,1990,721,,Natural,Meteorological,Storm,,,Ottilie and Polly,Germany,DEU,Western Europe,Europe,,,,,,No,No,,,Kph,,,,,1990,2.0,13.0,1990,2.0,15.0,10.0,,,,,,,90000.0,186649.0,180000.0,373298.0,48.2187972884321,,,,
1990-0722-DEU,1990,722,,Natural,Meteorological,Storm,,,Vivian,Germany,DEU,Western Europe,Europe,,,,,,No,No,,,Kph,,,,,1990,2.0,25.0,1990,2.0,27.0,15.0,,,,,,,600000.0,1244328.0,1200000.0,2488656.0,48.2187972884321,,,,
1990-0723-DEU,1990,723,,Natural,Meteorological,Storm,,,Wiebke,Germany,DEU,Western Europe,Europe,,,,,,No,No,,,Kph,,,,,1990,2.0,28.0,1990,3.0,1.0,24.0,,,,,,,600000.0,1244328.0,1200000.0,2488656.0,48.2187972884321,,,,
1991-0005-DEU,1991,5,,Natural,Meteorological,Storm,,,Undine,Germany,DEU,Western Europe,Europe,,,,,,No,No,,,Kph,,,,,1991,1.0,5.0,1991,1.0,6.0,,,,,,,,1000.0,1990.0,5000.0,9948.0,50.2608528318391,,,,
1993-0096-DEU,1993,96,,Natural,Meteorological,Storm,,,,Germany,DEU,Western Europe,Europe,Hamburg,,,,,,,,161.0,Kph,,,,,1993,1.0,14.0,1993,1.0,14.0,6.0,,,,,,,,,380000.0,712790.0,53.3116203804942,,,,
1993-0065-DEU,1993,65,,Natural,Meteorological,Storm,Convective storm,Hail,,Germany,DEU,Western Europe,Europe,,,Hail,,,No,No,,,Kph,,,,,1993,7.0,5.0,1993,7.0,6.0,,,,,,,,25000.0,46894.0,30000.0,56273.0,53.3116203804942,,,,
1994-0015-DEU,1994,15,,Natural,Meteorological,Storm,,,Lore,Germany,DEU,Western Europe,Europe,,,,,,No,No,,170.0,Kph,,,,,1994,1.0,27.0,1994,1.0,29.0,6.0,,,,,,,330000.0,603272.0,400000.0,731239.0,54.7016925431883,,,,
1994-0786-DEU,1994,786,,Natural,Meteorological,Storm,Convective storm,Lightning/Thunderstorms,,Germany,DEU,Western Europe,Europe,"Rhenanie North Westphalie, Münsterland, Hesse, Cologne, Nuremberg, Leipzig",,Hail,,,No,No,,,Kph,,,,,1994,7.0,3.0,1994,7.0,5.0,5.0,,,,,,,322600.0,589744.0,645200.0,1179488.0,54.7016925431883,,,,
1995-0008-DEU,1995,8,,Natural,Meteorological,Storm,,,"Thaila, Urania, Valeska, Wilma",Germany,DEU,Western Europe,Europe,,,Flood,,,No,No,,,Kph,,,,,1995,1.0,21.0,1995,2.0,2.0,5.0,,30000.0,,30000.0,,,130000.0,231167.0,320000.0,569027.0,56.2363000218675,,,,
