Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
1989-0258-GHA,1989,258,,Natural,Hydrological,Flood,Riverine flood,,,Ghana,GHA,Western Africa,Africa,Tamale,,,,Yes,,,,,Km2,,,,,1989,8.0,25.0,1989,8.0,25.0,7.0,,2800.0,,2800.0,,,,,,,45.749276186311,,,,
1991-0188-GHA,1991,188,,Natural,Hydrological,Flood,Riverine flood,,,Ghana,GHA,Western Africa,Africa,"Accra, Suhum",Heavy rain,,,,No,No,,,Km2,,,,,1991,7.0,14.0,1991,7.0,16.0,5.0,,2000000.0,,2000000.0,,,,,,,50.2608528318391,,,,
1995-0140-GHA,1995,140,,Natural,Hydrological,Flood,Riverine flood,,,Ghana,GHA,Western Africa,Africa,Accra,,,,Yes,No,No,92.0,120800.0,Km2,,,,,1995,7.0,5.0,1995,7.0,7.0,145.0,,500000.0,200000.0,700000.0,,,,,12500.0,22228.0,56.2363000218675,,,,
2001-0314-GHA,2001,314,,Natural,Hydrological,Flood,Riverine flood,,,Ghana,GHA,Western Africa,Africa,"Accra, Nsawam, Adoagyr, Zongo, Odaw boroughs (Accra Metropolis district, Greater Accra province)",Monsoonal rain,,,Yes,,,683.0,420.0,Km2,,,,,2001,6.0,27.0,2001,6.0,30.0,12.0,25.0,139000.0,5000.0,144025.0,,,,,,,65.345558714192,2,,190655,Accra Metropolis (Adm2).
2002-0215-GHA,2002,215,,Natural,Hydrological,Flood,Riverine flood,,,Ghana,GHA,Western Africa,Africa,Accra Metropolis district (Greater Accra province),,,,,,,,,Km2,,,,,2002,4.0,8.0,2002,4.0,8.0,,,200.0,,200.0,,,,,,,66.3819636999782,2,,190655,Accra Metropolis (Adm2).
2002-0373-GHA,2002,373,,Natural,Hydrological,Flood,Riverine flood,,,Ghana,GHA,Western Africa,Africa,"Accra Metropolis district (Greater Accra province), Kma district (Ashanti province)",Heavy rain,,,,,,8200.0,860.0,Km2,,,,,2002,6.0,10.0,2002,6.0,12.0,4.0,,2000.0,,2000.0,,,,,,,66.3819636999782,2,,190655;190720,"Accra Metropolis, Kma (Adm2)."
2007-0441-GHA,2007,441,FL-2007-000153,Natural,Hydrological,Flood,Riverine flood,,,Ghana,GHA,Western Africa,Africa,"Builsa North, Builsa South, Bolgatanga Municipal, Bongo, Garu Tempane, Talensi, Kasena Nankana East, Kasena Nankana West, Bawku Municipal, Bawku West districts (Upper East province), Upper West, Northern, Western provinces",Heavy rains,,,Yes,Yes,Yes,,,Km2,,,,,2007,8.0,10.0,2007,10.0,10.0,56.0,,332600.0,,332600.0,,,,,,,76.5186792040236,1;2,1329;1331;1333,16640;16642;190546;190547;190551;190553;190689;190691;190692;190695,"Northern, Upper West, Western (Adm1). Bawku Municipal, Bawku West, Bolgatanga Municipal, Bongo, Builsa North, Builsa South, Garu Tempane, Kasena Nankana East, Kasena Nankana West, Talensi (Adm2)."
2009-0236-GHA,2009,236,FL-2009-000132,Natural,Hydrological,Flood,Riverine flood,,,Ghana,GHA,Western Africa,Africa,"Awoshie, Sanata Maria, Odorkor, Darkuman,Sakaman, Mataheko, Kaneshie, Mallam, Mprampom, Atico, Bubuashie, Abossey Okai, Dansoman, Agege, Sakaman, Sukura, Santa Maria areas (Accra Metropolis district, Greater Accra province), Atonsu, Kordie areas (Kma district, Ashanti province), Kpong town (Lower Manya district, Eastern province), Atimpoku town (Asuogyaman district, Eastern province), Enchi town (Aowin district, Western province), Apam village (Gomoa West district, Central province), Kasoa town (Awutu Senya East Municipal district, Central province), Keta Municipal district (Volta province), Sekondi Takorad, Ellembelle, Jomoro districts (Western province), Mfantsiman, Cape Coast Metro districts (Central province)",Heavy rains,Rain,,,,,166.0,9340.0,Km2,5.73,-0.1,,,2009,6.0,6.0,2009,7.0,8.0,16.0,,19755.0,,19755.0,,,,,,,79.1738027553029,2,,16601;16609;16665;33108;190583;190590;190595;190612;190636;190647;190652;190655;190720,"Accra Metropolis, Aowin, Asuogyaman, Awutu Senya East Municipal, Cape Coast Metro, Ellembelle, Gomoa West, Jomoro, Keta Municipal, Kma, Lower Manya, Mfantsiman, Sekondi Takoradi (Adm2)."
2009-0376-GHA,2009,376,,Natural,Hydrological,Flood,Riverine flood,,,Ghana,GHA,Western Africa,Africa,Northern province,Heavy rains and Dam Release,,,Yes,,,,73810.0,Km2,8.85,-0.99,,White Volta river,2009,9.0,17.0,2009,9.0,21.0,24.0,,139790.0,,139790.0,,,,,,,79.1738027553029,1,1329,,Northern (Adm1).
2010-0246-GHA,2010,246,FL-2010-000118,Natural,Hydrological,Flood,Riverine flood,,,Ghana,GHA,Western Africa,Africa,"Agona East, Agona West, Gomoa East, Komenda Edna Eguafo / Abirem districts (Central province), Ketu South district (Volta province), Tema Metropolis, Ashaiman, Ga West, Shai Osu Doku, Adenta districts (Greater Accra province)",Heavy rains,,,,,,160.0,,Km2,,,,,2010,6.0,20.0,2010,7.0,5.0,45.0,,7500.0,,7500.0,,,,,,,80.472285151979,2,,16602;190539;190563;190584;190585;190589;190632;190657;190722;190723,"Adenta, Agona East, Agona West, Ashaiman, Ga West, Gomoa East, Ketu South, Komenda Edna Eguafo / Abirem, Shai Osu Doku, Tema Metropolis (Adm2)."
2011-0270-GHA,2011,270,,Natural,Hydrological,Flood,Riverine flood,,,Ghana,GHA,Western Africa,Africa,Eastern province,Torrential rain,,,,,,,55103.0,Km2,7.8439,-0.45,,,2011,7.0,22.0,2011,7.0,29.0,6.0,,12571.0,,12571.0,,,,,,,83.0126743931774,1,1327,,Eastern (Adm1).
2011-0413-GHA,2011,413,,Natural,Hydrological,Flood,Riverine flood,,,Ghana,GHA,Western Africa,Africa,"Greater Accra, Eastern, Volta provinces",Heavy rains,,,Yes,,,,9829.0,Km2,5.5847,-0.95,,,2011,10.0,26.0,2011,10.0,29.0,14.0,12.0,81461.0,,81473.0,,,,,,,83.0126743931774,1,1327;1328;1332,,"Eastern, Greater Accra, Volta (Adm1)."
2013-0122-GHA,2013,122,FL-2013-000041,Natural,Hydrological,Flood,Riverine flood,,,Ghana,GHA,Western Africa,Africa,"Gushiegu, Mamprusi East, Mion, Nanumba North, Nanumba South, Saboba, Sagnerigu, Savelugu Nanton, Tamale North Sub Metro, Tatale, Tolon, Yendi Municipal, Zabzugu districts (Northern province), Afadzato South district (Volta province)",Rainstorms,"Slide (land, mud, snow, rock)",,,,,,,Km2,,,,,2013,3.0,3.0,2013,4.0,30.0,5.0,,25000.0,,25000.0,,,,,,,85.9716422479773,2,,16632;190554;190624;190625;190626;190627;190698;190699;190700;190704;190705;190725;190726;190727,"Afadzato South, Gushiegu, Mamprusi East, Mion, Nanumba North, Nanumba South, Saboba, Sagnerigu, Savelugu Nanton, Tamale North Sub Metro, Tatale, Tolon, Yendi Municipal, Zabzugu (Adm2)."
2015-0217-GHA,2015,217,FL-2015-000065,Natural,Hydrological,Flood,,,,Ghana,GHA,Western Africa,Africa,"Accra Metropolis, Ledzokuku / Krowor, La Nkwantanang Madina, La Dade Kotopon, Shai Osu Doku, Kpone Katamanso, Ningo Prampram, Ada West, Ada East districts (Greater Accra province)",Torrential rain,,,,,,,266950.0,Km2,7.38005,-0.55,,,2015,6.0,2.0,2015,6.0,15.0,25.0,,,5000.0,5000.0,,,,,12000.0,13719.0,87.4699322108025,2,,190540;190631;190632;190633;190634;190635;190653;190655;190724,"Accra Metropolis, Ada East, Ada West, Kpone Katamanso, La Dade Kotopon, La Nkwantanang Madina, Ledzokuku / Krowor, Ningo Prampram, Shai Osu Doku (Adm2)."
2016-0212-GHA,2016,212,,Natural,Hydrological,Flood,,,,Ghana,GHA,Western Africa,Africa,"Kwame Nkrumah Circle, Airport Residential area, Dzorwulu, Tse Addo (Accra Metropolis district, Greater Accra province), Tema Metropolis district (Greater Accra province)",Torrential rain,,,,,,,47506.0,Km2,6.414,-1.165,,Odaw,2016,6.0,10.0,2016,6.0,14.0,10.0,,,,,,,,,,,88.573452875574,2,,190655;190722,"Accra Metropolis, Tema Metropolis (Adm2)."
2017-0306-GHA,2017,306,,Natural,Hydrological,Flood,,,,Ghana,GHA,Western Africa,Africa,"Greater Accra (Weija, Tetegu - Ga South municipality), Central Region (New Tufoe, Old Praso, Kookoase, Twansukoda, Arab Area, Bankyease - Twifo Praso), Western region (Samreboi, Wassa Dunkwa, Aboi Nkwanta Samreboi communities -Wassa Amenfi West District), Eastern region (Ahiatroga community- Birim central)",,,,,,Yes,,,Km2,,,,"Densu River, Tano",2017,4.0,1.0,2017,7.0,21.0,,,1000000.0,,1000000.0,,,,,,,90.4601793133611,2,,190598;190645;190650;190656,"Birim Municipal, Ga South, Twifo Ati-Morkwa, Wassa Amenfi West (Adm2)."
