Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
1904-0008-GRC,1904,8,,Natural,Geophysical,Earthquake,Ground movement,,,Greece,GRC,Southern Europe,Europe,"Samos, Patmos",,,,,,,,6.0,Richter,37.75,27.0,07:30,,1904,8.0,11.0,1904,8.0,11.0,4.0,,1620.0,,1620.0,,,,,,,3.3232581812022,,,,
1914-0030-GRC,1914,30,,Natural,Geophysical,Earthquake,Ground movement,,,Greece,GRC,Southern Europe,Europe,Leukas Isl.,,Tsunami/Tidal wave,,,,,,6.0,Richter,38.8,20.6,17:39,,1930,11.0,27.0,1930,11.0,27.0,14.0,,,,,,,,,,,3.7048174538587,,,,
1932-0020-GRC,1932,20,,Natural,Geophysical,Earthquake,Ground movement,,,Greece,GRC,Southern Europe,Europe,Hierissos-Strantonion (Chalkidiki),,Tsunami/Tidal wave,,,,,,7.0,Richter,40.5,23.9,21:20,,1932,9.0,26.0,1932,9.0,26.0,151.0,669.0,9654.0,12318.0,22641.0,,,,,,,5.0464290899737,,,,
1947-0028-GRC,1947,28,,Natural,Geophysical,Earthquake,Ground movement,,,Greece,GRC,Southern Europe,Europe,Pylia (Messinia),,Tsunami/Tidal wave,,,,,,8.0,Richter,36.728,21.897,22:55,,1947,10.0,6.0,1947,10.0,6.0,3.0,20.0,,35000.0,35020.0,,,,,,,8.2589119984693,,,,
1948-0032-GRC,1948,32,,Natural,Geophysical,Earthquake,Ground movement,,,Greece,GRC,Southern Europe,Europe,Vasiliki (Leukas),,Tsunami/Tidal wave,,,,,,7.0,Richter,38.532,20.425,12:42,,1948,4.0,22.0,1948,4.0,22.0,2.0,45.0,10110.0,1220.0,11375.0,,,,,,,8.8866385438075,,,,
1953-0001-GRC,1953,1,,Natural,Geophysical,Earthquake,Ground movement,,,Greece,GRC,Southern Europe,Europe,"Zakinthos (Zante), Céphalonie (Ionian Islands)",,Tsunami/Tidal wave,,,,,,7.0,Richter,38.182,20.942,09:23,,1953,8.0,12.0,1953,8.0,12.0,476.0,2412.0,,138865.0,141277.0,,,,,100000.0,1010517.0,9.8959243618021,,,,
1954-0073-GRC,1954,73,,Natural,Geophysical,Earthquake,Ground movement,,,Greece,GRC,Southern Europe,Europe,,,,,,,,,,Richter,39.8,22.1,,,1954,4.0,20.0,1954,4.0,20.0,25.0,,,,,,,,,,,9.9328494527043,,,,
1954-0044-GRC,1954,44,,Natural,Geophysical,Earthquake,Ground movement,,,Greece,GRC,Southern Europe,Europe,Sophades (Karditsa),,,,,,,,7.0,Richter,39.3,22.2,15:02,,1954,4.0,30.0,1954,4.0,30.0,31.0,200.0,,,200.0,,,,,3150.0,31713.0,9.9328494527043,,,,
1955-0056-GRC,1955,56,,Natural,Geophysical,Earthquake,Ground movement,,,Greece,GRC,Southern Europe,Europe,Drakia-Agria (Magnesia),,Tsunami/Tidal wave,,,,,,,Richter,39.4,23.1,18:47,,1955,4.0,19.0,1955,4.0,19.0,8.0,149.0,25056.0,1377.0,26582.0,,,,,,,9.8811808440849,,,,
1956-0037-GRC,1956,37,,Natural,Geophysical,Earthquake,Ground movement,,,Greece,GRC,Southern Europe,Europe,"Santorini, Islands of Amorgos and Astypaiaia, Aegean islands, Crete, Folegrandos",,Tsunami/Tidal wave,Volcanic activity,,,,,8.0,Richter,36.664,25.957,05:11,,1956,7.0,9.0,1956,7.0,9.0,53.0,100.0,,,100.0,,,,,,,10.0318740432976,,,,
