Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
1928-0015-GLP,1928,15,,Natural,Meteorological,Storm,Tropical cyclone,,Felipe,Guadeloupe,GLP,Caribbean,Americas,,,,,,No,No,,,Kph,,,,,1928,9.0,15.0,1928,9.0,15.0,2000.0,,,,,,,,,,,6.3511156351865,,,,
1956-0015-GLP,1956,15,,Natural,Meteorological,Storm,Tropical cyclone,,Betsy,Guadeloupe,GLP,Caribbean,Americas,,,,,,,,,,Kph,,,,,1956,8.0,11.0,1956,8.0,11.0,,,,,,,,,,,,10.0318740432976,,,,
1964-0046-GLP,1964,46,,Natural,Meteorological,Storm,Tropical cyclone,,Cleo,Guadeloupe,GLP,Caribbean,Americas,,,,,Yes,,,,,Kph,,,,,1964,8.0,22.0,1964,8.0,22.0,14.0,100.0,10000.0,,10100.0,,,,,,,11.4465427509293,,,,
1966-0073-GLP,1966,73,,Natural,Meteorological,Storm,Tropical cyclone,,Inez,Guadeloupe,GLP,Caribbean,Americas,,,,,Yes,,,,,Kph,,,,,1966,9.0,27.0,1966,9.0,27.0,25.0,,10000.0,,10000.0,,,,,70000.0,584376.0,11.9785873605948,,,,
1970-0121-GLP,1970,121,,Natural,Meteorological,Storm,Tropical cyclone,,,Guadeloupe,GLP,Caribbean,Americas,,,,,,,,,,Kph,,,,,1970,8.0,20.0,1970,8.0,20.0,,,,,,,,,,,,14.3281696916685,,,,
1989-0115-GLP,1989,115,,Natural,Meteorological,Storm,Tropical cyclone,,Hugo,Guadeloupe,GLP,Caribbean,Americas,,,,,,No,No,,241.0,Kph,,,,,1989,9.0,17.0,1989,9.0,17.0,5.0,84.0,,11000.0,11084.0,,,,,50000.0,109291.0,45.749276186311,,,,
1990-0051-GLP,1990,51,,Natural,Meteorological,Storm,Tropical cyclone,,Gustav,Guadeloupe,GLP,Caribbean,Americas,,,,,,,,,,Kph,,,,,1990,8.0,27.0,1990,8.0,27.0,,,,,,,,,,,,48.2187972884321,,,,
1995-0192-GLP,1995,192,,Natural,Meteorological,Storm,Tropical cyclone,,Luis,Guadeloupe,GLP,Caribbean,Americas,,,,,,No,No,,,Kph,,,,,1995,9.0,3.0,1995,9.0,7.0,,,,,,,,,,50000.0,88911.0,56.2363000218675,,,,
1998-0380-GLP,1998,380,,Natural,Meteorological,Storm,Tropical cyclone,,Georges,Guadeloupe,GLP,Caribbean,Americas,,,,,,No,No,,,Kph,,,,,1998,9.0,20.0,1998,9.0,28.0,,,,,,,,,,5000.0,8312.0,60.1574108900066,,,,
1999-0529-GLP,1999,529,,Natural,Meteorological,Storm,Tropical cyclone,,Lenny,Guadeloupe,GLP,Caribbean,Americas,,,,,,No,No,,215.0,Kph,,,,,1999,11.0,17.0,1999,11.0,18.0,4.0,49.0,400.0,450.0,899.0,,,,,,,61.473667176908,,,,
2007-0360-GLP,2007,360,TC-2007-000135,Natural,Meteorological,Storm,Tropical cyclone,,Dean,Guadeloupe,GLP,Caribbean,Americas,,,Flood,"Slide (land, mud, snow, rock)",,,,,160.0,Kph,,,,,2007,8.0,29.0,2007,8.0,29.0,,,,,,,,125000.0,163359.0,300000.0,392061.0,76.5186792040236,2,,16736,Administrative unit not available (Adm2).
2017-0383-GLP,2017,383,,Natural,Meteorological,Storm,Tropical cyclone,,Hurricane 'Maria',Guadeloupe,GLP,Caribbean,Americas,La Desirade Island,,Flood,,,,,,,Kph,,,,,2017,9.0,20.0,2017,9.0,20.0,4.0,2.0,80000.0,,80002.0,,,,,120000.0,132655.0,90.4601793133611,1,1358,,Administrative unit not available (Adm1).
2022-0603-GLP,2022,603,TC-2022-000314,Natural,Meteorological,Storm,Tropical cyclone,,Hurricane 'Fiona',Guadeloupe,GLP,Caribbean,Americas,,,Flood,,,,,,,Kph,,,,,2022,9.0,16.0,2022,9.0,17.0,1.0,,,,,,,,,,,,,,,
