Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
1902-0012-GTM,1902,12,,Natural,Geophysical,Earthquake,Ground movement,,,Guatemala,GTM,Central America,Americas,"Quezaltenango, San Marcos",,Tsunami/Tidal wave,,,,,,8.0,Richter,14,-91,20:20,,1902,4.0,18.0,1902,4.0,18.0,2000.0,,,,,,,,,25000.0,781207.0,3.2001745448614,,,,
1917-0009-GTM,1917,9,,Natural,Geophysical,Earthquake,Ground movement,,,Guatemala,GTM,Central America,Americas,Guatemala city,,,,,,,,6.0,Richter,14.38,-90.22,22:27,,1917,12.0,25.0,1917,12.0,25.0,2650.0,,,,,,,,,,,4.7387199991217,,,,
1976-0024-GTM,1976,24,,Natural,Geophysical,Earthquake,Ground movement,,,Guatemala,GTM,Central America,Americas,"Guatemala city, Chimaltenango",,,,Yes,,,,8.0,Richter,15.324,-89.101,03:01,,1976,2.0,4.0,1976,2.0,4.0,23000.0,77000.0,3750000.0,1166000.0,4993000.0,,,,,1000000.0,4761512.0,21.0017319046578,,,,
1979-0094-GTM,1979,94,,Natural,Geophysical,Earthquake,Ground movement,,,Guatemala,GTM,Central America,Americas,"Santa Rosa, Jutiapia provinces",,"Slide (land, mud, snow, rock)",,,,,,5.0,Richter,14.321,-90.082,01:49,,1979,10.0,9.0,1979,10.0,9.0,,40.0,2000.0,,2040.0,,,,,,,26.7834419418325,,,,
1985-0120-GTM,1985,120,,Natural,Geophysical,Earthquake,Ground movement,,,Guatemala,GTM,Central America,Americas,"Tierra Blanca, Catoxac canton, San Lucas canton, San Antonio Chiquito (San Miguel Uspantan)",,,,Yes,,,,5.0,Richter,15.299,-90.863,03:39,,1985,10.0,11.0,1985,10.0,11.0,,,1500.0,3500.0,5000.0,,,,,,,39.696934178876,,,,
1986-0170-GTM,1986,170,,Natural,Geophysical,Earthquake,Ground movement,,,Guatemala,GTM,Central America,Americas,Ixchiguan (San Marcos province),,,,,No,No,,5.0,Richter,15.075 N,92.072 W,,,1986,2.0,3.0,1986,2.0,3.0,,,2500.0,,2500.0,,,,,,,40.4504089219331,,,,
1988-0463-GTM,1988,463,,Natural,Geophysical,Earthquake,Ground movement,,,Guatemala,GTM,Central America,Americas,"PALIN, SAN VICENTE PACAYA, Chamaltenango area",,,,,,,,6.0,Richter,13.881,-90.45,08:47,,1988,10.0,15.0,1988,10.0,15.0,,,,1550.0,1550.0,,,,,,,43.6426415919528,,,,
1988-0043-GTM,1988,43,,Natural,Geophysical,Earthquake,Ground movement,,,Guatemala,GTM,Central America,Americas,South,,"Slide (land, mud, snow, rock)",,,,,,7.0,Richter,13.881,-90.45,08:47,,1988,11.0,3.0,1988,11.0,3.0,5.0,,500.0,,500.0,,,,,,,43.6426415919528,,,,
1991-0230-GTM,1991,230,,Natural,Geophysical,Earthquake,Ground movement,,,Guatemala,GTM,Central America,Americas,"Escuintla, Chimaltenango, Solola, Sacatepeguez",,"Slide (land, mud, snow, rock)",,,No,No,,5.0,Richter,14.646 N,90.986 W,03:48,,1991,9.0,18.0,1991,9.0,18.0,14.0,90.0,23800.0,,23890.0,,,,,,,50.2608528318391,,,,
1999-0639-GTM,1999,639,,Natural,Geophysical,Earthquake,Ground movement,,,Guatemala,GTM,Central America,Americas,San Pedro Sula,,,,,,,,7.0,Richter,15.782,88.33,8:14,,1999,7.0,11.0,1999,7.0,11.0,2.0,40.0,205.0,35.0,280.0,,,,,,,61.473667176908,,,,
