Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
1982-0103-GTM,1982,103,,Natural,Hydrological,Flood,,,,Guatemala,GTM,Central America,Americas,Western coast,,,,Yes,,,,,Km2,,,,,1982,9.0,20.0,1982,9.0,20.0,620.0,256.0,20000.0,,20256.0,,,,,100000.0,280798.0,35.6128405860485,,,,
1987-0170-GTM,1987,170,,Natural,Hydrological,Flood,,,,Guatemala,GTM,Central America,Americas,Huehuetenango,,,,,,,,,Km2,,,,,1987,9.0,30.0,1987,9.0,30.0,84.0,15.0,6500.0,,6515.0,,,,,,,41.9327356221299,,,,
1988-0418-GTM,1988,418,,Natural,Hydrological,Flood,,,,Guatemala,GTM,Central America,Americas,Playa Grande area (El Quiche province),,,,,,,,,Km2,,,,,1988,9.0,8.0,1988,9.0,8.0,,,6000.0,,6000.0,,,,,,,43.6426415919528,,,,
1994-0337-GTM,1994,337,,Natural,Hydrological,Flood,,,,Guatemala,GTM,Central America,Americas,Suchitepequez province,,,,,,,,,Km2,,,,,1994,9.0,27.0,1994,9.0,27.0,10.0,,600.0,,600.0,,,,,,,54.7016925431883,,,,
1995-0172-GTM,1995,172,,Natural,Hydrological,Flood,,,,Guatemala,GTM,Central America,Americas,"Nuevo Progreso, Malacatan, El Quetzal, La Reforma (San marcos Department), La Gomera, Iztapa municipalities, Guatemala City, El Progresso, Chiquimula Departments",,,,,,,,,Km2,,,,,1995,8.0,9.0,1995,8.0,9.0,31.0,55.0,7100.0,280.0,7435.0,,,,,,,56.2363000218675,,,,
1999-0361-GTM,1999,361,,Natural,Hydrological,Flood,,,,Guatemala,GTM,Central America,Americas,"Zacapa, Chiquimunda",,,,,,,,,Km2,,,,,1999,9.0,1.0,1999,9.0,1.0,12.0,,2283.0,3740.0,6023.0,,,,,1000.0,1627.0,61.473667176908,,,,
2000-0299-GTM,2000,299,,Natural,Hydrological,Flood,Riverine flood,,,Guatemala,GTM,Central America,Americas,"Guatemala district (Guatemala province), Alta Verapaz, Escuintla, Huehuetenango, Jalapa, Quiché, Totonicapan, Zacapa provinces",Heavy rain,,,,,Yes,,11600.0,Km2,,,,Motagua river,2000,6.0,6.0,2000,6.0,21.0,16.0,24.0,2500.0,,2524.0,,,,,,,63.5495473431008,1;2,64825;64828;64833;64834;64836;64839;64841,64843,"Alta Verapaz, Escuintla, Huehuetenango, Jalapa, Quiché, Totonicapan, Zacapa (Adm1). Guatemala (Adm2)."
2000-0609-GTM,2000,609,,Natural,Hydrological,Flood,Riverine flood,,,Guatemala,GTM,Central America,Americas,"Teleman area (Panzos district, Alta Verapaz province), Guatemala district (Guatemala province), Zacapa district (Zacapa province)",Heavy rain,"Slide (land, mud, snow, rock)",,,,,,13970.0,Km2,,,,Concepcion river,2000,9.0,15.0,2000,9.0,17.0,20.0,12.0,200.0,250.0,462.0,,,,,,,63.5495473431008,2,,64843;65102;65129,"Guatemala, Panzos, Zacapa (Adm2)."
2002-0103-GTM,2002,103,,Natural,Hydrological,Flood,Riverine flood,,,Guatemala,GTM,Central America,Americas,"Alta Verapaz, Baja Verapaz, Chimaltenango, Chiquimula, El Progreso, Escuintla, Guatemala, Huehuetenango, Izabal, Jalapa, Jutiapa, Petén, Quetzaltenango, Quiché, Retalhuleu, Sacatepéquez, San Marcos, Santa Rosa, Sololá, Suchitepéquez, Totonicapán, Zacapa provinces",Heavy rains,,,,,,,,Km2,,,,,2002,2.0,4.0,2002,2.0,4.0,,,98740.0,,98740.0,,,,,,,66.3819636999782,1,64821;64822;64823;64824;64825;64826;64827;64828;64829;64830;64831;64832;64833;64834;64835;64836;64837;64838;64839;64840;64841;64842,,"Alta Verapaz, Baja Verapaz, Chimaltenango, Chiquimula, El Progreso, Escuintla, Guatemala, Huehuetenango, Izabal, Jalapa, Jutiapa, Petén, Quetzaltenango, Quiché, Retalhuleu, Sacatepéquez, San Marcos, Santa Rosa, Solola, Suchitepéquez, Totonicapan, Zacapa (Adm1)."
2005-0593-GTM,2005,593,,Natural,Hydrological,Flood,Riverine flood,,,Guatemala,GTM,Central America,Americas,"Alta Verapaz, Baja Verapaz, Chimaltenango, Chiquimula, El Progreso, Escuintla, Guatemala, Huehuetenango, Izabal, Jalapa, Jutiapa, Petén, Quetzaltenango, Quiché, Retalhuleu, Sacatepéquez, San Marcos, Santa Rosa, Sololá, Suchitepéquez, Totonicapán, Zacapa provinces",Heavy rains,,,,,,,,Km2,,,,,2005,10.0,3.0,2005,10.0,3.0,,,,,,,,,,,,72.0714104526569,1,64821;64822;64823;64824;64825;64826;64827;64828;64829;64830;64831;64832;64833;64834;64835;64836;64837;64838;64839;64840;64841;64842,,"Alta Verapaz, Baja Verapaz, Chimaltenango, Chiquimula, El Progreso, Escuintla, Guatemala, Huehuetenango, Izabal, Jalapa, Jutiapa, Petén, Quetzaltenango, Quiché, Retalhuleu, Sacatepéquez, San Marcos, Santa Rosa, Solola, Suchitepéquez, Totonicapan, Zacapa (Adm1)."
