Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
1969-0091-GTM,1969,91,,Natural,Meteorological,Storm,Tropical cyclone,,Francelia,Guatemala,GTM,Central America,Americas,Pacific Coast region,,,,Yes,,,,,Kph,,,,,1969,9.0,5.0,1969,9.0,5.0,269.0,,10200.0,,10200.0,,,,,15000.0,110801.0,13.5378001312049,,,,
1996-0172-GTM,1996,172,,Natural,Meteorological,Storm,Tropical cyclone,,Cesar and Douglas,Guatemala,GTM,Central America,Americas,,,,,,No,No,,,Kph,,,,,1996,7.0,28.0,1996,7.0,30.0,,,,,,,,,,500.0,864.0,57.8847058823529,,,,
1998-0371-GTM,1998,371,,Natural,Meteorological,Storm,Tropical cyclone,,Mitch,Guatemala,GTM,Central America,Americas,,,,,Yes,,,,270.0,Kph,,,,,1998,10.0,26.0,1998,10.0,26.0,384.0,,105700.0,,105700.0,,,,,748000.0,1243405.0,60.1574108900066,,,,
2001-0570-GTM,2001,570,,Natural,Meteorological,Storm,Tropical cyclone,,Iris,Guatemala,GTM,Central America,Americas,"Peten, Zacapa, Quetzaltenango provinces",,,,,,,,,Kph,,,,,2001,10.0,8.0,2001,10.0,11.0,8.0,11.0,6435.0,,6446.0,,,,,100.0,153.0,65.345558714192,1,64829;64837;64839,,"Petén, Quetzaltenango, Zacapa (Adm1)."
2002-0849-GTM,2002,849,,Natural,Meteorological,Storm,Tropical cyclone,,Isidore,Guatemala,GTM,Central America,Americas,"Retalhuleu, Suchitepequez, Escuintla, San Marcos provinces",,,,,,,,,Kph,,,,,2002,9.0,20.0,2002,9.0,24.0,2.0,,1500.0,,1500.0,,,,,100.0,151.0,66.3819636999782,1,64825;64830;64831;64832,,"Escuintla, Retalhuleu, San Marcos, Suchitepéquez (Adm1)."
2005-0567-GTM,2005,567,,Natural,Meteorological,Storm,Tropical cyclone,,Stan,Guatemala,GTM,Central America,Americas,"Escuintla, Jutiapa, Santa Rosa, Suchitepéquez, San Marcos, Quezaltenango, Huehuetenango, Solola, Totonicapan, Retalhuleu, Quiché, Sacatepequez, Chimaltenango provinces",,"Slide (land, mud, snow, rock)",Flood,Yes,,Yes,25257.0,,Kph,,,,,2005,10.0,1.0,2005,10.0,13.0,1513.0,386.0,474928.0,,475314.0,,,,,988300.0,1371279.0,72.0714104526569,1,64823;64824;64825;64826;64827;64828;64829;64830;64831;64832;64833;64834;64842,,"Chimaltenango, Escuintla, Huehuetenango, Jutiapa, Quetzaltenango, Quiché, Retalhuleu, Sacatepéquez, San Marcos, Santa Rosa, Solola, Suchitepéquez, Totonicapan (Adm1)."
2007-0439-GTM,2007,439,TC-2007-000150,Natural,Meteorological,Storm,Tropical cyclone,,Felix,Guatemala,GTM,Central America,Americas,"Puerto Barrios, Morales districts (Izabal province)",,Flood,"Slide (land, mud, snow, rock)",,,,,,Kph,14.62,-83.64,,,2007,9.0,4.0,2007,9.0,12.0,,,3905.0,,3905.0,,,,,,,76.5186792040236,2,,65124;65127,"Morales, Puerto Barrios (Adm2)."
2008-0304-GTM,2008,304,TC-2008-000111,Natural,Meteorological,Storm,Tropical cyclone,,Hurricane Dolly,Guatemala,GTM,Central America,Americas,"La Union district (Zacapa province), San Pedro Soloma area (Soloma district, Huehuetenango province)",,Flood,"Slide (land, mud, snow, rock)",,,,,,Kph,,,,,2008,7.0,21.0,2008,7.0,21.0,17.0,,,,,,,,,,,79.4563043953641,2,,65043;65137,"La Union, Soloma (Adm2)."
2010-0211-GTM,2010,211,TC-2010-000105,Natural,Meteorological,Storm,Tropical cyclone,,Hurricane Agatha,Guatemala,GTM,Central America,Americas,"Guatemala district (Guatemala province), Alta Verapaz, El Progreso, Zacapa, Izabal, Sololá, Quetzaltenango, Retalhuleu, Suchitepéquez, Sacatepéque, Escuintla, Totonicapan, Huethuetenango, Quiché provinces",,"Slide (land, mud, snow, rock)",,Yes,,,,,Kph,,,,,2010,5.0,28.0,2010,6.0,1.0,174.0,154.0,397808.0,,397962.0,,,,,650000.0,807732.0,80.472285151979,1;2,64822;64823;64825;64827;64828;64829;64830;64831;64833;64834;64836;64838;64839,64843,"Alta Verapaz, El Progreso, Escuintla, Huehuetenango, Izabal, Quetzaltenango, Quiché, Retalhuleu, Sacatepéquez, Solola, Suchitepéquez, Totonicapan, Zacapa (Adm1). Guatemala (Adm2)."
2010-0260-GTM,2010,260,,Natural,Meteorological,Storm,Tropical cyclone,,"Tropical storm ""Alex""",Guatemala,GTM,Central America,Americas,"Santa Lucía Utatlán district (Solola province), Suchitepéquez, San Marcos, Jutiapa provinces",,,,,,,,,Kph,,,,,2010,6.0,27.0,2010,6.0,27.0,,,2180.0,,2180.0,975000.0,1211597.0,,,,,80.472285151979,1;2,64830;64832;64842,64930,"Jutiapa, San Marcos, Suchitepéquez (Adm1). Santa Lucia Utatlan (Adm2)."
