Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
1993-0048-GIN,1993,48,,Natural,Hydrological,Flood,,,,Guinea,GIN,Western Africa,Africa,Gueckedou area,,,,,,,15.0,,Km2,,,,,1993,8.0,12.0,1993,8.0,12.0,,,6066.0,,6066.0,,,,,,,53.3116203804942,,,,
2001-0549-GIN,2001,549,,Natural,Hydrological,Flood,Riverine flood,,,Guinea,GIN,Western Africa,Africa,Kankan province,Heavy rain,,,,,,773.0,200.0,Km2,,,,"Niger River and its tributaries Sankarani, Fie, Milo, Djon, Niandan, Sankarani, Tinkisso and Mafou",2001,8.0,18.0,2001,10.0,9.0,9.0,,220000.0,,220000.0,,,,,,,65.345558714192,1,40703,,Kankan (Adm1).
2006-0531-GIN,2006,531,,Natural,Hydrological,Flood,Riverine flood,,,Guinea,GIN,Western Africa,Africa,Kindia district (Kindia province),Torrential rain,,,,,,55.0,,Km2,,,,,2006,8.0,31.0,2006,9.0,1.0,,,1200.0,,1200.0,,,,,,,74.3963874917997,2,,40730,Kindia (Adm2).
2008-0364-GIN,2008,364,,Natural,Hydrological,Flood,Riverine flood,,,Guinea,GIN,Western Africa,Africa,"Dinguiraye district (Faranah province), Siguiri district (Kankan province)",,,,,,,,,Km2,,,,,2008,8.0,8.0,2008,8.0,8.0,,,4200.0,,4200.0,,,,,,,79.4563043953641,2,,40718;40725,"Dinguiraye, Siguiri (Adm2)."
2009-0308-GIN,2009,308,,Natural,Hydrological,Flood,Riverine flood,,,Guinea,GIN,Western Africa,Africa,"Kindia town (Kindia district, Kindia province), Conakry province,",Heavy rains,,,,,,,,Km2,,,,,2009,8.0,3.0,2009,8.0,3.0,2.0,,40000.0,,40000.0,,,,,,,79.1738027553029,1;2,40701,40730,Conakry (Adm1). Kindia (Adm2).
2010-0346-GIN,2010,346,,Natural,Hydrological,Flood,Riverine flood,,,Guinea,GIN,Western Africa,Africa,Conakry province,Heavy rains,,,,,,,,Km2,,,,,2010,7.0,6.0,2010,7.0,6.0,7.0,,7615.0,,7615.0,,,,,,,80.472285151979,1,40701,,Conakry (Adm1).
2010-0526-GIN,2010,526,FL-2010-000119,Natural,Hydrological,Flood,Riverine flood,,,Guinea,GIN,Western Africa,Africa,"Mamou, Dounet towns (Mamou district, Mamou province), Labe town (Labe district, Labe province), Norassoba, Kouremale, Nounkounkan towns (Siguiri district, Kankan province), Lola town (Lola district, Nzerekore province)",,,,,,,,,Km2,,,,,2010,9.0,15.0,2010,9.0,18.0,1.0,6.0,40405.0,,40411.0,,,,,,,80.472285151979,2,,40725;40733;40738;40742,"Labe, Lola, Mamou, Siguiri (Adm2)."
2013-0385-GIN,2013,385,,Natural,Hydrological,Flood,Riverine flood,,,Guinea,GIN,Western Africa,Africa,"Dinguiraye district (Faranah province), Siguiri district (Kankan province), Macenta district (Nzerekore province)",,,,,,,,,Km2,,,,,2013,8.0,1.0,2013,8.0,17.0,,,11106.0,,11106.0,,,,,,,85.9716422479773,2,,40718;40725;40743,"Dinguiraye, Macenta, Siguiri (Adm2)."
2015-0480-GIN,2015,480,FL-2015-000105,Natural,Hydrological,Flood,,,,Guinea,GIN,Western Africa,Africa,"Coyah, Macenta districts (Nzerekore province), Siguiri district (Kankan province), Telemele, Forecariah, Beyla districts (Kindia province), Conakry province",Heavy rains,,,,,,,,Km2,,,,,2015,7.0,24.0,2015,8.0,3.0,9.0,29.0,29599.0,,29628.0,,,,,,,87.4699322108025,1;2,40701,40725;40726;40728;40731;40740;40743,"Conakry (Adm1). Beyla, Coyah, Forecariah, Macenta, Siguiri, Telemele (Adm2)."
2017-0304-GIN,2017,304,FL-2017-000083,Natural,Hydrological,Flood,,,,Guinea,GIN,Western Africa,Africa,"Quartier commercial, Kwitiapolou, Wessoua, Dorota 1, Horaya, Gbanghana, Belle-Vue, Nyeh (Nzerekore prefecture)",Heavy rain,,,,,,,,Km2,,,,,2017,7.0,4.0,2017,7.0,4.0,,13.0,3274.0,,3287.0,,,,,,,90.4601793133611,2,,40744,Nzerekore (Adm2).
