Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
1909-0012-HTI,1909,12,,Natural,Meteorological,Storm,Tropical cyclone,,,Haiti,HTI,Caribbean,Americas,"Cul de Sac,Leogane",,,,,,,,,Kph,,,,,1909,11.0,12.0,1909,11.0,12.0,150.0,,,,,,,,,,,3.3232581812022,,,,
1915-0006-HTI,1915,6,,Natural,Meteorological,Storm,Tropical cyclone,,,Haiti,HTI,Caribbean,Americas,"South, Southwest area",,,,,,,,,Kph,,,,,1915,8.0,12.0,1915,8.0,12.0,1600.0,,,,,,,,,,,3.741742544761,,,,
1935-0012-HTI,1935,12,,Natural,Meteorological,Storm,Tropical cyclone,,Jeremie & Jacmel,Haiti,HTI,Caribbean,Americas,,,,,,,,,,Kph,,,,,1935,10.0,21.0,1935,10.0,21.0,2150.0,,,,,,,,,,,5.0710458172419,,,,
1954-0022-HTI,1954,22,,Natural,Meteorological,Storm,Tropical cyclone,,Hazel,Haiti,HTI,Caribbean,Americas,Southwestern,,,,,No,No,,249.0,Kph,,,,,1954,10.0,5.0,1954,10.0,18.0,410.0,,250000.0,,250000.0,,,,,,,9.9328494527043,,,,
1963-0028-HTI,1963,28,,Natural,Meteorological,Storm,Tropical cyclone,,Flora,Haiti,HTI,Caribbean,Americas,South West End Hispaniola,,,,,No,No,,,Kph,,,,,1963,10.0,4.0,1963,10.0,8.0,5000.0,,,,,,,,,180000.0,1592639.0,11.3019986879511,,,,
1964-0047-HTI,1964,47,,Natural,Meteorological,Storm,Tropical cyclone,,Cleo,Haiti,HTI,Caribbean,Americas,Les Cayes area,,,,Yes,,,,,Kph,,,,,1964,8.0,24.0,1964,8.0,24.0,100.0,,80000.0,,80000.0,,,,,10000.0,87363.0,11.4465427509293,,,,
1966-0075-HTI,1966,75,,Natural,Meteorological,Storm,Tropical cyclone,,Inez,Haiti,HTI,Caribbean,Americas,South Hispaniola,,,,Yes,,,,,Kph,,,,,1966,9.0,29.0,1966,9.0,29.0,480.0,881.0,67000.0,,67881.0,,,,,20000.0,166965.0,11.9785873605948,,,,
1979-0083-HTI,1979,83,,Natural,Meteorological,Storm,Tropical cyclone,,David,Haiti,HTI,Caribbean,Americas,"North, North West, South",,,,Yes,,,,,Kph,,,,,1979,8.0,31.0,1979,8.0,31.0,8.0,,1110.0,,1110.0,,,,,,,26.7834419418325,,,,
1980-0078-HTI,1980,78,,Natural,Meteorological,Storm,Tropical cyclone,,Allen,Haiti,HTI,Caribbean,Americas,"South-West, Port-Au-Prince",,Flood,,Yes,No,No,,270.0,Kph,,,,,1980,8.0,5.0,1980,8.0,5.0,220.0,,330000.0,835000.0,1165000.0,,,,,400000.0,1315254.0,30.4123857424011,,,,
1988-0424-HTI,1988,424,,Natural,Meteorological,Storm,Tropical cyclone,,Gilbert,Haiti,HTI,Caribbean,Americas,"Anse-a-Veau, Camp-Perrin, Cavaillon, Cayes, Ile-a-Vache, Jacmel, Jeremlie, Kenscoff, Port-Salut",,,,Yes,,,,,Kph,,,,,1988,9.0,11.0,1988,9.0,11.0,54.0,,870000.0,,870000.0,,,,,91286.0,209167.0,43.6426415919528,,,,
1990-0041-HTI,1990,41,,Natural,Meteorological,Storm,Tropical cyclone,,Arthur,Haiti,HTI,Caribbean,Americas,,,,,,,,,145.0,Kph,,,,,1990,7.0,27.0,1990,7.0,27.0,,,,,,,,,,,,48.2187972884321,,,,
1994-0510-HTI,1994,510,,Natural,Meteorological,Storm,Tropical cyclone,,Gordon,Haiti,HTI,Caribbean,Americas,"Jacmel, Port au Prince, les mones du massif de la Selle, Leogane, Southern Haiti",,Flood,"Slide (land, mud, snow, rock)",Yes,No,No,7488.0,26430.0,Kph,,,,,1994,11.0,5.0,1994,11.0,15.0,1122.0,,1500000.0,87000.0,1587000.0,,,,,50000.0,91405.0,54.7016925431883,,,,
1996-0244-HTI,1996,244,,Natural,Meteorological,Storm,,,,Haiti,HTI,Caribbean,Americas,Henne Bay,,,,,,,,,Kph,,,,,1996,10.0,23.0,1996,10.0,23.0,40.0,,,115.0,115.0,,,,,,,57.8847058823529,,,,
1996-0502-HTI,1996,502,,Natural,Meteorological,Storm,Tropical cyclone,,Marcos,Haiti,HTI,Caribbean,Americas,,,,,,No,No,,,Kph,,,,,1996,11.0,9.0,1996,11.0,21.0,26.0,,,,,,,,,100.0,173.0,57.8847058823529,,,,
1998-0380-HTI,1998,380,,Natural,Meteorological,Storm,Tropical cyclone,,Georges,Haiti,HTI,Caribbean,Americas,"Cap-Haitien, Jacmel, Cayes, Port Au Prince",,,,Yes,No,No,,210.0,Kph,,,,,1998,9.0,20.0,1998,9.0,30.0,190.0,29.0,12000.0,,12029.0,,,,,180000.0,299215.0,60.1574108900066,,,,
2001-0611-HTI,2001,611,,Natural,Meteorological,Storm,Tropical cyclone,,Michelle,Haiti,HTI,Caribbean,Americas,"Grande Anse, Centre, Sud, Nippes, Ouest, Artibonite, Nord Ouest, Nord, Nord Est, Sud Est provinces",,,,,,,,,Kph,,,,,2001,10.0,30.0,2001,11.0,5.0,,,,,,,,,,20.0,31.0,65.345558714192,1,1409;1410;1412;1413;1414;1415;1416;1417;72911;72912,,"Artibonite, Centre, Grande Anse, Nippes, Nord, Nord Est, Nord Ouest, Ouest, Sud, Sud Est (Adm1)."
2002-0657-HTI,2002,657,,Natural,Meteorological,Storm,Tropical cyclone,,Lili,Haiti,HTI,Caribbean,Americas,"Grande Anse, Centre, Sud, Nippes, Ouest, Artibonite, Nord Ouest, Nord, Nord Est, Sud Est provinces",,Flood,,,,,,150.0,Kph,,,,,2002,9.0,30.0,2002,9.0,30.0,4.0,,250.0,,250.0,,,,,,,66.3819636999782,1,1409;1410;1412;1413;1414;1415;1416;1417;72911;72912,,"Artibonite, Centre, Grande Anse, Nippes, Nord, Nord Est, Nord Ouest, Ouest, Sud, Sud Est (Adm1)."
2003-0495-HTI,2003,495,,Natural,Meteorological,Storm,,,,Haiti,HTI,Caribbean,Americas,Port-au-Prince district (Ouest province),,"Slide (land, mud, snow, rock)",,,,,,,Kph,,,,,2003,10.0,6.0,2003,10.0,6.0,26.0,5.0,,150.0,155.0,,,,,,,67.8888956921058,2,,17198,Port-Au-Prince (Adm2).
2004-0462-HTI,2004,462,,Natural,Meteorological,Storm,Tropical cyclone,,Ivan,Haiti,HTI,Caribbean,Americas,"Cap-Haitien district (Nord province), Cayes district (Sud province)",,Rain,,,,,,,Kph,,,,,2004,9.0,13.0,2004,9.0,13.0,3.0,,4000.0,2500.0,6500.0,,,,,1000.0,1435.0,69.7064421605073,2,,17190;17203,"Cap Haitien, Cayes (Adm2)."
2004-0473-HTI,2004,473,,Natural,Meteorological,Storm,Tropical cyclone,,Jeanne,Haiti,HTI,Caribbean,Americas,"Artibonite, Centre, Sud, Nord Ouest provinces",,Flood,"Slide (land, mud, snow, rock)",Yes,,Yes,40208.0,,Kph,,,,,2004,9.0,17.0,2004,9.0,18.0,2754.0,2620.0,298926.0,14048.0,315594.0,,,,,50000.0,71729.0,69.7064421605073,1,1409;1410;1414;1416,,"Artibonite, Centre, Nord Ouest, Sud (Adm1)."
2005-0351-HTI,2005,351,,Natural,Meteorological,Storm,Tropical cyclone,,"Hurricane ""Dennis""",Haiti,HTI,Caribbean,Americas,"Sud, Ouest, Nippes, Sud Est, Grande Anse provinces",,Rain,Flood,Yes,,,,,Kph,,,,,2005,7.0,7.0,2005,7.0,7.0,40.0,36.0,15000.0,,15036.0,,,,,50000.0,69376.0,72.0714104526569,1,1415;1416;1417;72911;72912,,"Grande Anse, Nippes, Ouest, Sud, Sud Est (Adm1)."
2005-0382-HTI,2005,382,,Natural,Meteorological,Storm,Tropical cyclone,,Emily,Haiti,HTI,Caribbean,Americas,Saint-Marc district (Artibonite province),,Flood,,,,,,,Kph,,,,,2005,7.0,17.0,2005,7.0,17.0,6.0,,565.0,185.0,750.0,,,,,,,72.0714104526569,2,,17170,Saint-Marc (Adm2).
2005-0585-HTI,2005,585,,Natural,Meteorological,Storm,Tropical cyclone,,"Hurricane ""Wilma""",Haiti,HTI,Caribbean,Americas,"Sud, Sud Est provinces",,Flood,,,,,,,Kph,,,,,2005,10.0,19.0,2005,10.0,24.0,12.0,,,,,,,,,500.0,694.0,72.0714104526569,1,1416;1417,,"Sud, Sud Est (Adm1)."
2005-0597-HTI,2005,597,,Natural,Meteorological,Storm,Tropical cyclone,,Alpha,Haiti,HTI,Caribbean,Americas,"Dame Marie, Les Irois villages (Anse-D'Ainault district, Grande Anse province), Carrefour, Gressier, Port-au-Prince villages (Port-Au-Prince district, Ouest province), Leogane district (Ouest province), Anse à Pitre village (Belle Anse district, Sud Est province), Jacmel district (Sud Est province), Anse Rouge village (Gros Morne district, Artibonite province), Hinche district (Centre province)",,Flood,"Slide (land, mud, snow, rock)",,,,,,Kph,,,,,2005,10.0,22.0,2005,10.0,24.0,12.0,17.0,2175.0,,2192.0,,,,,,,72.0714104526569,2,,17167;17172;17175;17197;17198;17200;17201,"Anse-D'Ainault, Belle Anse, Gros Morne, Hinche, Jacmel, Leogane, Port-Au-Prince (Adm2)."
2006-0466-HTI,2006,466,,Natural,Meteorological,Storm,Tropical cyclone,,Ernesto,Haiti,HTI,Caribbean,Americas,"Sud, Grande Anse, Ouest, Nippes, Artibonite provinces",,Flood,,,,,,,Kph,,,,,2006,8.0,25.0,2006,8.0,26.0,5.0,,15000.0,,15000.0,,,,,,,74.3963874917997,1,1409;1415;1416;72911;72912,,"Artibonite, Grande Anse, Nippes, Ouest, Sud (Adm1)."
2007-0360-HTI,2007,360,TC-2007-000135,Natural,Meteorological,Storm,Tropical cyclone,,Dean,Haiti,HTI,Caribbean,Americas,"Sud, Sud Est, Grande Anse, Nippes, Ouest, Artibonite, Centre, Nord, Nord Est, Nord Ouest provinces",,Flood,,,,,,,Kph,14.64,-61.02,,,2007,8.0,18.0,2007,8.0,24.0,9.0,6.0,3960.0,,3966.0,,,,,,,76.5186792040236,1,1409;1410;1412;1413;1414;1415;1416;1417;72911;72912,,"Artibonite, Centre, Grande Anse, Nippes, Nord, Nord Est, Nord Ouest, Ouest, Sud, Sud Est (Adm1)."
2007-0523-HTI,2007,523,TC-2007-000198,Natural,Meteorological,Storm,Tropical cyclone,,Noel,Haiti,HTI,Caribbean,Americas,"Port-au-Prince district (Ouest province), Gonaïves district (Artibonite province), Jacmel district (Sud Est province), Cayes district (Sud province)",,Flood,,Yes,,,,,Kph,18.53,-70.06,,,2007,10.0,28.0,2007,11.0,2.0,90.0,133.0,108630.0,,108763.0,,,,,,,76.5186792040236,2,,17168;17198;17201;17203,"Cayes, Gonaives, Jacmel, Port-Au-Prince (Adm2)."
2007-0612-HTI,2007,612,ST-2007-000224,Natural,Meteorological,Storm,Tropical cyclone,,Olga,Haiti,HTI,Caribbean,Americas,"Nord, Nord Est, Nord Ouest provinces",,Flood,,,,,,,Kph,18.93,-71.03,,,2007,12.0,11.0,2007,12.0,17.0,3.0,2.0,2090.0,260.0,2352.0,,,,,,,76.5186792040236,1,1412;1413;1414,,"Nord, Nord Est, Nord Ouest (Adm1)."
2008-0338-HTI,2008,338,,Natural,Meteorological,Storm,Tropical cyclone,,"Tropical Storm ""Fay""",Haiti,HTI,Caribbean,Americas,"Grande Anse, Centre, Sud, Nippes, Ouest, Artibonite, Nord Ouest, Nord, Nord Est, Sud Est provinces",,Transport accident,,,,,,,Kph,,,,,2008,8.0,18.0,2008,8.0,18.0,10.0,,190.0,30.0,220.0,,,,,,,79.4563043953641,1,1409;1410;1412;1413;1414;1415;1416;1417;72911;72912,,"Artibonite, Centre, Grande Anse, Nippes, Nord, Nord Est, Nord Ouest, Ouest, Sud, Sud Est (Adm1)."
