Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
1965-0057-HND,1965,57,,Natural,Hydrological,Flood,,,,Honduras,HND,Central America,Americas,"Central, South",,,,Yes,,,,,Km2,,,,,1965,9.0,24.0,1965,9.0,24.0,,,6000.0,,6000.0,,,,,500.0,4300.0,11.6279903783075,,,,
1988-0431-HND,1988,431,,Natural,Hydrological,Flood,Coastal flood,,,Honduras,HND,Central America,Americas,,,,,,,,,,Km2,,,,,1988,9.0,14.0,1988,9.0,14.0,15.0,,1200.0,925.0,2125.0,,,,,,,43.6426415919528,,,,
1990-0115-HND,1990,115,,Natural,Hydrological,Flood,Riverine flood,,,Honduras,HND,Central America,Americas,"Choloma, Villanueva, Pimienta, Potrerillos (Cortes Department), El Progreso, Santa Rita (Yoro Department), Brus Laguna, Puerto Lempira (Gracias a Dios department)",Heavy rain,,,Yes,No,No,,41830.0,Km2,,,,,1990,11.0,9.0,1990,11.0,21.0,5.0,,42000.0,6000.0,48000.0,,,,,100000.0,207388.0,48.2187972884321,,,,
1993-0073-HND,1993,73,,Natural,Hydrological,Flood,Coastal flood,,,Honduras,HND,Central America,Americas,Mosquitta region,,,,Yes,,,,,Km2,,,,,1993,9.0,2.0,1993,9.0,2.0,39.0,,67447.0,,67447.0,,,,,57600.0,108044.0,53.3116203804942,,,,
1993-0084-HND,1993,84,,Natural,Hydrological,Flood,Flash flood,,,Honduras,HND,Central America,Americas,"Yoro, Colon, Atlantida provinces",Brief torrential rain,,,Yes,No,Yes,786.0,6650.0,Km2,,,,"Aguan, Tocoa, Lean, Cerro Azul",1993,10.0,31.0,1993,11.0,3.0,374.0,,15000.0,,15000.0,,,,,56700.0,106356.0,53.3116203804942,,,,
1994-0348-HND,1994,348,,Natural,Hydrological,Flood,,,,Honduras,HND,Central America,Americas,,,,,,,,,,Km2,,,,,1994,9.0,26.0,1994,9.0,26.0,1.0,,,500.0,500.0,,,,,,,54.7016925431883,,,,
1995-0186-HND,1995,186,,Natural,Hydrological,Flood,,,,Honduras,HND,Central America,Americas,"El Guayaba, Tegucigalpa, El Progreso, Valle de Sula, La Lima (Usulutan, San Vicente Provinces)",,"Slide (land, mud, snow, rock)",,,No,No,,9440.0,Km2,,,,Ulua,1995,9.0,9.0,1995,9.0,12.0,14.0,,25000.0,,25000.0,,,,,4000.0,7113.0,56.2363000218675,,,,
1996-0265-HND,1996,265,,Natural,Hydrological,Flood,,,,Honduras,HND,Central America,Americas,"Cortes, Yoro, Atlantida, Colon Regions",,,,Yes,,,987.0,134.0,Km2,,,,,1996,11.0,20.0,1996,11.0,20.0,7.0,,75000.0,,75000.0,,,,,31000.0,53555.0,57.8847058823529,,,,
2002-0329-HND,2002,329,,Natural,Hydrological,Flood,Riverine flood,,,Honduras,HND,Central America,Americas,"Distrito Central, Talanga districts (Francisco Morazan province), Juticalpa district (Olancho province), Choluteca, Paraiso, Santa Barbara, Valle, Yoro provinces",Heavy rain,,,,,,1823.0,,Km2,,,,Juticalpa,2002,5.0,23.0,2002,6.0,5.0,10.0,,825.0,144.0,969.0,,,,,100000.0,150643.0,66.3819636999782,1;2,1421;1435;1436;1437;1438,17301;17322;17423,"Choluteca, Paraiso, Santa Barbara, Valle, Yoro (Adm1). Distrito Central, Juticalpa, Talanga (Adm2)."
2002-0598-HND,2002,598,,Natural,Hydrological,Flood,Coastal flood,,,Honduras,HND,Central America,Americas,"Marcovia, Choluteca districts (Choluteca province)",,,,,,,,,Km2,,,,,2002,9.0,9.0,2002,9.0,9.0,,,1720.0,,1720.0,,,,,,,66.3819636999782,2,,17217;17222,"Choluteca, Marcovia (Adm2)."
