Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
1931-0010-HND,1931,10,,Natural,Meteorological,Storm,Tropical cyclone,,,Honduras,HND,Central America,Americas,,,,,,,,,,Kph,,,,,1931,9.0,10.0,1931,9.0,10.0,1500.0,,,,,,,,,,,5.6249221807756,,,,
1969-0089-HND,1969,89,,Natural,Meteorological,Storm,Tropical cyclone,,Francelia,Honduras,HND,Central America,Americas,"Roatan, Utila, Guanaja provinces",,,,,,,,,Kph,,,,,1969,9.0,1.0,1969,9.0,1.0,,2.0,8000.0,,8002.0,,,,,19000.0,140348.0,13.5378001312049,,,,
1971-0132-HND,1971,132,,Natural,Meteorological,Storm,Tropical cyclone,,,Honduras,HND,Central America,Americas,,,,,,,,,,Kph,,,,,1971,9.0,9.0,1971,9.0,9.0,,,,,,,,,,,,14.9432495079816,,,,
1974-0047-HND,1974,47,,Natural,Meteorological,Storm,Tropical cyclone,,Fifi,Honduras,HND,Central America,Americas,Widespread,,,,Yes,No,No,,,Kph,,,,,1974,9.0,18.0,1974,9.0,21.0,8000.0,,600000.0,,600000.0,,,,,540000.0,2967524.0,18.196991034332,,,,
1978-0116-HND,1978,116,,Natural,Meteorological,Storm,Tropical cyclone,,Greta,Honduras,HND,Central America,Americas,North Coast Gracias Dios,,,,Yes,,,,193.0,Kph,,,,,1978,9.0,17.0,1978,9.0,17.0,,,,7500.0,7500.0,,,,,1000.0,4154.0,24.0740345506232,,,,
1982-0061-HND,1982,61,,Natural,Meteorological,Storm,Tropical cyclone,,Alleta,Honduras,HND,Central America,Americas,Choluteca,,,,Yes,,,,,Kph,,,,,1982,5.0,24.0,1982,5.0,24.0,130.0,,20000.0,,20000.0,,,,,101000.0,283606.0,35.6128405860485,,,,
1988-0484-HND,1988,484,,Natural,Meteorological,Storm,Tropical cyclone,,Joan,Honduras,HND,Central America,Americas,,,,,,No,No,,,Kph,,,,,1988,10.0,16.0,1988,10.0,25.0,,12.0,,,12.0,,,,,,,43.6426415919528,,,,
1995-0117-HND,1995,117,,Natural,Meteorological,Storm,Tropical cyclone,,Allison,Honduras,HND,Central America,Americas,Near Tegucigalpa,,,,,,,,97.0,Kph,,,,,1995,6.0,3.0,1995,6.0,3.0,18.0,22.0,,,22.0,,,,,,,56.2363000218675,,,,
1996-0172-HND,1996,172,,Natural,Meteorological,Storm,Tropical cyclone,,Cesar and Douglas,Honduras,HND,Central America,Americas,,,,,,No,No,,,Kph,,,,,1996,7.0,28.0,1996,7.0,30.0,,,,,,,,,,500.0,864.0,57.8847058823529,,,,
1996-0502-HND,1996,502,,Natural,Meteorological,Storm,Tropical cyclone,,Marcos,Honduras,HND,Central America,Americas,,,,,,No,No,,,Kph,,,,,1996,11.0,9.0,1996,11.0,21.0,1.0,,,,,,,,,1000.0,1728.0,57.8847058823529,,,,
