Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
1960-0040-HKG,1960,40,,Natural,Hydrological,Flood,,,,Hong Kong,HKG,Eastern Asia,Asia,"Yuen Long, Sheung Shui (New Territories)",,,,,,,,,Km2,,,,,1960,5.0,6.0,1960,5.0,6.0,15.0,,7000.0,,7000.0,,,,,,,10.9145068882572,,,,
1961-0030-HKG,1961,30,,Natural,Hydrological,Flood,,,,Hong Kong,HKG,Eastern Asia,Asia,Tsuen Wan area (New Territories),,,,,,,,,Km2,,,,,1961,4.0,24.0,1961,4.0,24.0,,,135.0,,135.0,,,,,,,11.0313667176908,,,,
1966-0050-HKG,1966,50,,Natural,Hydrological,Flood,,,,Hong Kong,HKG,Eastern Asia,Asia,,,,,Yes,,,,,Km2,,,,,1966,6.0,11.0,1966,6.0,11.0,65.0,68.0,8561.0,2672.0,11301.0,,,,,8000.0,66786.0,11.9785873605948,,,,
1969-0133-HKG,1969,133,,Natural,Hydrological,Flood,,,,Hong Kong,HKG,Eastern Asia,Asia,,,,,,,,,,Km2,,,,,1969,8.0,11.0,1969,8.0,11.0,,,2000.0,,2000.0,,,,,,,13.5378001312049,,,,
1970-0097-HKG,1970,97,,Natural,Hydrological,Flood,,,,Hong Kong,HKG,Eastern Asia,Asia,Sha Tin area,,,,,,,,,Km2,,,,,1970,5.0,13.0,1970,5.0,13.0,,,529.0,,529.0,,,,,,,14.3281696916685,,,,
1970-0099-HKG,1970,99,,Natural,Hydrological,Flood,Flash flood,,,Hong Kong,HKG,Eastern Asia,Asia,Taipo area,,,,,,,,,Km2,,,,,1970,9.0,16.0,1970,9.0,16.0,,,541.0,368.0,909.0,,,,,,,14.3281696916685,,,,
1972-0100-HKG,1972,100,,Natural,Hydrological,Flood,,,,Hong Kong,HKG,Eastern Asia,Asia,,,,,,,,,,Km2,,,,,1972,5.0,7.0,1972,5.0,7.0,,,1510.0,6055.0,7565.0,,,,,,,15.4322326700197,,,,
1972-0101-HKG,1972,101,,Natural,Hydrological,Flood,,,,Hong Kong,HKG,Eastern Asia,Asia,,,,,,,,,,Km2,,,,,1972,6.0,16.0,1972,6.0,16.0,138.0,56.0,6751.0,7800.0,14607.0,,,,,,,15.4322326700197,,,,
1975-0110-HKG,1975,110,,Natural,Hydrological,Flood,,,,Hong Kong,HKG,Eastern Asia,Asia,"Saikung, Kowloon, Chai Wa",,,,,,,,,Km2,,,,,1975,4.0,30.0,1975,4.0,30.0,3.0,,1194.0,,1194.0,,,,,,,19.8607741089,,,,
1975-0112-HKG,1975,112,,Natural,Hydrological,Flood,,,,Hong Kong,HKG,Eastern Asia,Asia,,,,,,,,,,Km2,,,,,1975,5.0,20.0,1975,5.0,20.0,,,,150.0,150.0,,,,,,,19.8607741089,,,,
1977-0196-HKG,1977,196,,Natural,Hydrological,Flood,,,,Hong Kong,HKG,Eastern Asia,Asia,"Lam Tin, Lei U Mun, Sau Mau Ping",,,,,,,,,Km2,,,,,1977,6.0,23.0,1977,6.0,23.0,,,37.0,60.0,97.0,,,,,,,22.367198775421,,,,
1978-0213-HKG,1978,213,,Natural,Hydrological,Flood,,,,Hong Kong,HKG,Eastern Asia,Asia,"Shatin,Chaiwan, Taipot",,,,,,,,,Km2,,,,,1978,6.0,2.0,1978,6.0,2.0,,,300.0,,300.0,,,,,,,24.0740345506232,,,,
1983-0307-HKG,1983,307,,Natural,Hydrological,Flood,,,,Hong Kong,HKG,Eastern Asia,Asia,,,,,,,,,,Km2,,,,,1983,6.0,17.0,1983,6.0,17.0,1.0,12.0,,600.0,612.0,,,,,,,36.7568773234201,,,,
1985-0216-HKG,1985,216,,Natural,Hydrological,Flood,,,,Hong Kong,HKG,Eastern Asia,Asia,Lam Tin In Kwun Tong,,,,,,,,,Km2,,,,,1985,6.0,25.0,1985,6.0,25.0,,,235.0,,235.0,,,,,,,39.696934178876,,,,
1985-0220-HKG,1985,220,,Natural,Hydrological,Flood,,,,Hong Kong,HKG,Eastern Asia,Asia,Aberdeen,,,,,,,,,Km2,,,,,1985,8.0,26.0,1985,8.0,26.0,,,131.0,,131.0,,,,,,,39.696934178876,,,,
1987-0293-HKG,1987,293,,Natural,Hydrological,Flood,,,,Hong Kong,HKG,Eastern Asia,Asia,"Hong Kong, Kwai Chung",,,,,,,,,Km2,,,,,1987,7.0,22.0,1987,7.0,22.0,,,1000.0,,1000.0,,,,,,,41.9327356221299,,,,
1992-0196-HKG,1992,196,,Natural,Hydrological,Flood,Riverine flood,,,Hong Kong,HKG,Eastern Asia,Asia,"Tsim Sha Tsui (Mount Davis, Happy Valley)",Heavy rain,"Slide (land, mud, snow, rock)",,,No,No,,,Km2,,,,,1992,4.0,1.0,1992,5.0,8.0,5.0,6.0,1500.0,122.0,1628.0,,,,,50000.0,96556.0,51.7831620380495,,,,
1994-0166-HKG,1994,166,,Natural,Hydrological,Flood,Riverine flood,,,Hong Kong,HKG,Eastern Asia,Asia,,Heavy rain,,,,No,No,,,Km2,,,,Shenzhen,1994,7.0,22.0,1994,7.0,24.0,1.0,17.0,4000.0,,4017.0,,,,,37000.0,67640.0,54.7016925431883,,,,
1997-0144-HKG,1997,144,,Natural,Hydrological,Flood,Riverine flood,,,Hong Kong,HKG,Eastern Asia,Asia,,,,,,No,No,,,Km2,,,,,1997,5.0,7.0,1997,5.0,9.0,80.0,,,,,,,,,10000.0,16881.0,59.2378657336541,,,,
2005-0346-HKG,2005,346,,Natural,Hydrological,Flood,Riverine flood,,,Hong Kong,HKG,Eastern Asia,Asia,"Hong Kong city (Administrative unit not available, Administrative unit not available)",Heavy rains,"Slide (land, mud, snow, rock)",,,,,,,Km2,,,,,2005,6.0,23.0,2005,6.0,24.0,,,,,,,,,,,,72.0714104526569,2,,13116,Administrative unit not available (Adm2).
