Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
1906-0015-HKG,1906,15,,Natural,Meteorological,Storm,Tropical cyclone,,,Hong Kong,HKG,Eastern Asia,Asia,,,,,,No,No,,,Kph,,,,,1906,9.0,8.0,1906,9.0,8.0,10000.0,,,,,,,,,20000.0,601819.0,3.3232581812022,,,,
1923-0018-HKG,1923,18,,Natural,Meteorological,Storm,Tropical cyclone,,,Hong Kong,HKG,Eastern Asia,Asia,,,,,,,,,,Kph,,,,,1923,8.0,12.0,1923,8.0,12.0,100.0,,,,,,,,,,,6.3018821806502,,,,
1937-0011-HKG,1937,11,,Natural,Meteorological,Storm,Tropical cyclone,,,Hong Kong,HKG,Eastern Asia,Asia,,,,,,No,No,,,Kph,,,,,1937,9.0,1.0,1937,9.0,2.0,11000.0,,,,,,,,,,,5.3172130899236,,,,
1947-0011-HKG,1947,11,,Natural,Meteorological,Storm,Tropical cyclone,,,Hong Kong,HKG,Eastern Asia,Asia,,,,,,,,,,Kph,,,,,1947,10.0,7.0,1947,10.0,7.0,2000.0,,,,,,,,,,,8.2589119984693,,,,
1957-0021-HKG,1957,21,,Natural,Meteorological,Storm,Tropical cyclone,,Gloria,Hong Kong,HKG,Eastern Asia,Asia,,,,,,,,,,Kph,,,,,1957,9.0,20.0,1957,9.0,20.0,8.0,111.0,,,111.0,,,,,,,10.3670850645091,,,,
1960-0042-HKG,1960,42,,Natural,Meteorological,Storm,Tropical cyclone,,Mary,Hong Kong,HKG,Eastern Asia,Asia,"(Aberdeen, Stanley, Cheung Chau",,,,,,,,,Kph,,,,,1960,6.0,4.0,1960,6.0,4.0,45.0,127.0,15000.0,,15127.0,,,,,,,10.9145068882572,,,,
1961-0037-HKG,1961,37,,Natural,Meteorological,Storm,Tropical cyclone,,Olga,Hong Kong,HKG,Eastern Asia,Asia,,,,,,,,,,Kph,,,,,1961,9.0,9.0,1961,9.0,9.0,7.0,,,1171.0,1171.0,,,,,,,11.0313667176908,,,,
1962-0015-HKG,1962,15,,Natural,Meteorological,Storm,Tropical cyclone,,Wanda,Hong Kong,HKG,Eastern Asia,Asia,"Tai Po, Shatin, Sha Tau Kok areas",,,,,No,No,,,Kph,,,,,1962,8.0,28.0,1962,8.0,28.0,183.0,,,,,,,,,,,11.1636125082004,,,,
1964-0082-HKG,1964,82,,Natural,Meteorological,Storm,Tropical cyclone,,Ruby,Hong Kong,HKG,Eastern Asia,Asia,,,,,,,,,,Kph,,,,,1964,9.0,5.0,1964,9.0,5.0,44.0,300.0,,,300.0,,,,,,,11.4465427509293,,,,
1964-0085-HKG,1964,85,,Natural,Meteorological,Storm,Tropical cyclone,,Dot,Hong Kong,HKG,Eastern Asia,Asia,,,,,,,,,,Kph,,,,,1964,10.0,12.0,1964,10.0,12.0,26.0,85.0,,,85.0,,,,,,,11.4465427509293,,,,
1965-0085-HKG,1965,85,,Natural,Meteorological,Storm,Tropical cyclone,,Agnes,Hong Kong,HKG,Eastern Asia,Asia,New Territories,,,,,,,,,Kph,,,,,1965,9.0,26.0,1965,9.0,26.0,5.0,3.0,,200.0,203.0,,,,,,,11.6279903783075,,,,
1966-0105-HKG,1966,105,,Natural,Meteorological,Storm,Convective storm,Lightning/Thunderstorms,,Hong Kong,HKG,Eastern Asia,Asia,,,,,,,,,,Kph,,,,,1966,4.0,4.0,1966,4.0,4.0,15.0,,,,,,,,,,,11.9785873605948,,,,
1967-0096-HKG,1967,96,,Natural,Meteorological,Storm,Tropical cyclone,,Kate,Hong Kong,HKG,Eastern Asia,Asia,,,,,,,,,,Kph,,,,,1967,8.0,19.0,1967,8.0,19.0,,3.0,1500.0,,1503.0,,,,,,,12.3107281871857,,,,
1968-0067-HKG,1968,67,,Natural,Meteorological,Storm,Tropical cyclone,,Shirley,Hong Kong,HKG,Eastern Asia,Asia,"North Point, Tai Po Kan, Kwangtung, Tate's Cairn, Waglan Isl.",,,,,,,,,Kph,,,,,1968,8.0,21.0,1968,8.0,21.0,,4.0,3000.0,,3004.0,,,,,,,12.8366149136235,,,,
1969-0131-HKG,1969,131,,Natural,Meteorological,Storm,Tropical cyclone,,Viola,Hong Kong,HKG,Eastern Asia,Asia,,,,,,,,,,Kph,,,,,1969,7.0,28.0,1969,7.0,28.0,,,374.0,,374.0,,,,,,,13.5378001312049,,,,
1971-0049-HKG,1971,49,,Natural,Meteorological,Storm,Tropical cyclone,,Rose,Hong Kong,HKG,Eastern Asia,Asia,West of Cheung Chau,,,,,,,,,Kph,,,,,1971,8.0,17.0,1971,8.0,17.0,115.0,286.0,200.0,1000.0,1486.0,,,,,,,14.9432495079816,,,,
1973-0103-HKG,1973,103,,Natural,Meteorological,Storm,Tropical cyclone,,Dot,Hong Kong,HKG,Eastern Asia,Asia,"uen Long, Tai Po, Sha Tin, Tin Shui Wai",,,,,,,,,Kph,,,,,1973,7.0,15.0,1973,7.0,15.0,1.0,38.0,238.0,,276.0,,,,,,,16.3855937021648,,,,
1974-0110-HKG,1974,110,,Natural,Meteorological,Storm,Tropical cyclone,,Carmen,Hong Kong,HKG,Eastern Asia,Asia,,,,,,,,,,Kph,,,,,1974,10.0,17.0,1974,10.0,17.0,1.0,,1000.0,,1000.0,,,,,,,18.196991034332,,,,
1974-0111-HKG,1974,111,,Natural,Meteorological,Storm,Tropical cyclone,,Elaine,Hong Kong,HKG,Eastern Asia,Asia,,,,,,,,,,Kph,,,,,1974,10.0,28.0,1974,10.0,28.0,,,1400.0,,1400.0,,,,,,,18.196991034332,,,,
1975-0119-HKG,1975,119,,Natural,Meteorological,Storm,Tropical cyclone,,Elsie,Hong Kong,HKG,Eastern Asia,Asia,,,,,,,,,,Kph,,,,,1975,10.0,12.0,1975,10.0,12.0,,46.0,671.0,1280.0,1997.0,,,,,,,19.8607741089,,,,
1976-0138-HKG,1976,138,,Natural,Meteorological,Storm,Tropical cyclone,,Ruby,Hong Kong,HKG,Eastern Asia,Asia,,,,,,,,,,Kph,,,,,1976,6.0,26.0,1976,6.0,26.0,5.0,2.0,,,2.0,,,,,,,21.0017319046578,,,,
1976-0139-HKG,1976,139,,Natural,Meteorological,Storm,Tropical cyclone,,Violet,Hong Kong,HKG,Eastern Asia,Asia,,,,,,,,,,Kph,,,,,1976,7.0,22.0,1976,7.0,22.0,3.0,1.0,,,1.0,,,,,,,21.0017319046578,,,,
1976-0141-HKG,1976,141,,Natural,Meteorological,Storm,Tropical cyclone,,Ellen,Hong Kong,HKG,Eastern Asia,Asia,"Sau Mau Ping, Lantao Isl., Ping Shan, Ngau Tam Mei, Lo Wu",,,,,,,,,Kph,,,,,1976,8.0,24.0,1976,8.0,24.0,30.0,65.0,,2424.0,2489.0,,,,,,,21.0017319046578,,,,
1977-0200-HKG,1977,200,,Natural,Meteorological,Storm,Tropical cyclone,,Freda,Hong Kong,HKG,Eastern Asia,Asia,,,,,,,,,,Kph,,,,,1977,9.0,22.0,1977,9.0,22.0,1.0,37.0,,71.0,108.0,,,,,,,22.367198775421,,,,
1978-0218-HKG,1978,218,,Natural,Meteorological,Storm,Tropical cyclone,,Agnes,Hong Kong,HKG,Eastern Asia,Asia,,,,,,,,,,Kph,,,,,1978,7.0,28.0,1978,7.0,28.0,3.0,134.0,1142.0,,1276.0,,,,,,,24.0740345506232,,,,
1978-0220-HKG,1978,220,,Natural,Meteorological,Storm,Tropical cyclone,,Elaine,Hong Kong,HKG,Eastern Asia,Asia,,,,,,,,,,Kph,,,,,1978,8.0,23.0,1978,8.0,23.0,1.0,51.0,1143.0,,1194.0,,,,,,,24.0740345506232,,,,
1978-0221-HKG,1978,221,,Natural,Meteorological,Storm,Tropical cyclone,,Kit,Hong Kong,HKG,Eastern Asia,Asia,"Tai Hom, Wong Tai Sin",,,,,,,,,Kph,,,,,1978,9.0,22.0,1978,9.0,22.0,7.0,,8.0,418.0,426.0,,,,,,,24.0740345506232,,,,
1979-0074-HKG,1979,74,,Natural,Meteorological,Storm,Tropical cyclone,,Hope,Hong Kong,HKG,Eastern Asia,Asia,"Tin Sam, Tai Po",,,,,,,,,Kph,,,,,1979,7.0,28.0,1979,7.0,28.0,12.0,260.0,11034.0,796.0,12090.0,,,,,10000.0,37337.0,26.7834419418325,,,,
