Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
1970-0028-HUN,1970,28,,Natural,Hydrological,Flood,,,,Hungary,HUN,Eastern Europe,Europe,Tisza,,,,,No,No,,,Km2,,,,,1970,5.0,1.0,1970,6.0,30.0,300.0,,,,,,,,,85000.0,593237.0,14.3281696916685,,,,
1996-0088-HUN,1996,88,,Natural,Hydrological,Flood,,,,Hungary,HUN,Eastern Europe,Europe,Gyongyosoroszi,,,,,No,No,,,Km2,,,,,1996,5.0,14.0,1996,5.0,14.0,,,,200.0,200.0,,,,,,,57.8847058823529,,,,
1997-0154-HUN,1997,154,,Natural,Hydrological,Flood,Riverine flood,,,Hungary,HUN,Eastern Europe,Europe,,,,,,No,No,,,Km2,,,,,1997,7.0,4.0,1997,8.0,9.0,,,,,,,,,,10000.0,16881.0,59.2378657336541,,,,
1999-0064-HUN,1999,64,,Natural,Hydrological,Flood,Riverine flood,,,Hungary,HUN,Eastern Europe,Europe,"North-Eastern, South-Eastern",Heavy rain,,,,No,No,,6000.0,Km2,,,,,1999,2.0,21.0,1999,3.0,18.0,,,90000.0,700.0,90700.0,,,,,165000.0,268408.0,61.473667176908,,,,
1999-0203-HUN,1999,203,,Natural,Hydrological,Flood,Riverine flood,,,Hungary,HUN,Eastern Europe,Europe,Heves conty (Nord-Eastern),Rain storms,"Slide (land, mud, snow, rock)",,Yes,No,No,,2370.0,Km2,,,,,1999,7.0,9.0,1999,7.0,16.0,8.0,,41441.0,1354.0,42795.0,,,11000.0,17894.0,128400.0,208870.0,61.473667176908,,,,
2000-0191-HUN,2000,191,,Natural,Hydrological,Flood,Riverine flood,,,Hungary,HUN,Eastern Europe,Europe,"Borsod-Abauj-Zemplen, Szabolcs-Szatmar-Bereg province, Szolnok city (Jasz-nagykun-Szolnok province)",,,,Yes,,,83.0,2500.0,Km2,,,,,2000,4.0,6.0,2000,5.0,1.0,1.0,,2000.0,,2000.0,,,,,55000.0,86547.0,63.5495473431008,1,1443;1450;1455,,"Borsod-abauj-zemplen, Jasz-nagykun-szolnok, Szabolcs-szatmar-bereg (Adm1)."
2001-0095-HUN,2001,95,,Natural,Hydrological,Flood,Riverine flood,,,Hungary,HUN,Eastern Europe,Europe,Szabolcs-Szatmar-Bereg province,Heavy rain,,,Yes,,,85.0,,Km2,,,,"Tisza, Tur",2001,3.0,4.0,2001,3.0,17.0,,,10000.0,,10000.0,,,,,5000.0,7652.0,65.345558714192,1,1455,,Szabolcs-szatmar-bereg (Adm1).
2002-0506-HUN,2002,506,,Natural,Hydrological,Flood,Riverine flood,,,Hungary,HUN,Eastern Europe,Europe,"Budapest city (Budapest province), Visegrad city (Pest province)",Heavy rain,,,,,,,,Km2,,,,,2002,8.0,7.0,2002,8.0,28.0,,,1430.0,,1430.0,,,,,30000.0,45193.0,66.3819636999782,1,1444;1453,,"Budapest, Pest (Adm1)."
2004-0369-HUN,2004,369,,Natural,Hydrological,Flood,Riverine flood,,,Hungary,HUN,Eastern Europe,Europe,Tokaj city (Borsod-Abauj-Zemplen province),Heavy rains,,,,,,,,Km2,,,,Hernad,2004,7.0,27.0,2004,8.0,2.0,,,384.0,9.0,393.0,,,,,,,69.7064421605073,1,1443,,Borsod-abauj-zemplen (Adm1).
2005-0131-HUN,2005,131,,Natural,Hydrological,Flood,Riverine flood,,,Hungary,HUN,Eastern Europe,Europe,Szeged city (Csongrad province),Heavy rains and melting snow,,,,,,,940.0,Km2,,,,"Koros, Danube",2005,3.0,17.0,2005,3.0,25.0,,,,,,,,,,,,72.0714104526569,1,1445,,Csongrad (Adm1).
2005-0473-HUN,2005,473,,Natural,Hydrological,Flood,Riverine flood,,,Hungary,HUN,Eastern Europe,Europe,Szikszo village (Borsod-abauj-zemplen province),Heavy rains,,,,,,,,Km2,,,,,2005,8.0,14.0,2005,8.0,26.0,,,,,,,,,,48000.0,66601.0,72.0714104526569,1,1443,,Borsod-abauj-zemplen (Adm1).
