Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
1926-0008-IND,1926,8,,Natural,Hydrological,Flood,Riverine flood,,,India,IND,Southern Asia,Asia,Bengal,,,,,,,,,Km2,,,,,1926,7.0,19.0,1926,7.0,19.0,,,,,,,,,,,,6.5480494533318,,,,
1928-0018-IND,1928,18,,Natural,Hydrological,Flood,,,,India,IND,Southern Asia,Asia,"Godavari, Vizagapatnam",,,,,,,,,Km2,,,,,1928,10.0,19.0,1928,10.0,19.0,36.0,,,2000.0,2000.0,,,,,,,6.3511156351865,,,,
1950-0006-IND,1950,6,,Natural,Hydrological,Flood,Riverine flood,,,India,IND,Southern Asia,Asia,Saurashtra,,,,,,,,,Km2,,,,,1950,7.0,11.0,1950,7.0,11.0,45.0,,25000.0,,25000.0,,,,,,,8.8989469074416,,,,
1956-0012-IND,1956,12,,Natural,Hydrological,Flood,,,,India,IND,Southern Asia,Asia,"Gujarat, Saurashtra, Kutch",,,,,,,,,Km2,,,,,1956,8.0,1.0,1956,8.0,1.0,,,,2000.0,2000.0,,,,,,,10.0318740432976,,,,
1956-0016-IND,1956,16,,Natural,Hydrological,Flood,,,,India,IND,Southern Asia,Asia,"Bihar, Uttar Pradesh",,,,,,,,,Km2,,,,,1956,9.0,9.0,1956,9.0,9.0,100.0,,,75000.0,75000.0,,,,,,,10.0318740432976,,,,
1957-0010-IND,1957,10,,Natural,Hydrological,Flood,,,,India,IND,Southern Asia,Asia,"Madya Pradesh, Uttar Pradesh",,,,,,,,,Km2,,,,,1957,9.0,9.0,1957,9.0,9.0,42.0,,10000.0,,10000.0,,,,,,,10.3670850645091,,,,
1958-0015-IND,1958,15,,Natural,Hydrological,Flood,,,,India,IND,Southern Asia,Asia,Madras city,,,,,,,,,Km2,,,,,1958,11.0,15.0,1958,11.0,15.0,5.0,,5000.0,,5000.0,,,,,,,10.6500240542314,,,,
1959-0007-IND,1959,7,,Natural,Hydrological,Flood,,,,India,IND,Southern Asia,Asia,Kutch,,,,,,,,,Km2,,,,,1959,7.0,4.0,1959,7.0,4.0,17.0,,13000.0,,13000.0,,,,,,,10.75766455281,,,,
1960-0032-IND,1960,32,,Natural,Hydrological,Flood,,,,India,IND,Southern Asia,Asia,"Maduri, Madras City",,,,,,,,,Km2,,,,,1960,11.0,10.0,1960,11.0,10.0,5.0,,160000.0,,160000.0,,,,,,,10.9145068882572,,,,
1961-0009-IND,1961,9,,Natural,Hydrological,Flood,,,,India,IND,Southern Asia,Asia,"Central, West India",,,,,,,,,Km2,,,,,1961,9.0,6.0,1961,9.0,6.0,,,,2000.0,2000.0,,,,,,,11.0313667176908,,,,
1961-0012-IND,1961,12,,Natural,Hydrological,Flood,,,,India,IND,Southern Asia,Asia,Uttar Pradesh,,,,,,,,,Km2,,,,,1961,10.0,9.0,1961,10.0,9.0,57.0,,,,,,,,,,,11.0313667176908,,,,
1967-0055-IND,1967,55,,Natural,Hydrological,Flood,,,,India,IND,Southern Asia,Asia,"North, Central",,,,,,,,,Km2,,,,,1967,9.0,5.0,1967,9.0,5.0,300.0,,1000000.0,,1000000.0,,,,,,,12.3107281871857,,,,
1968-0051-IND,1968,51,,Natural,Hydrological,Flood,,,,India,IND,Southern Asia,Asia,Assam,,,,,,,,,Km2,,,,,1968,6.0,12.0,1968,6.0,12.0,,,1000000.0,,1000000.0,,,,,,,12.8366149136235,,,,
1970-0105-IND,1970,105,,Natural,Hydrological,Flood,,,,India,IND,Southern Asia,Asia,"Gujarat, Orissa states",,,,,,,,,Km2,,,,,1970,9.0,2.0,1970,9.0,2.0,400.0,,,,,,,,,,,14.3281696916685,,,,
1971-0052-IND,1971,52,,Natural,Hydrological,Flood,,,,India,IND,Southern Asia,Asia,Uttar Pradesh,,,,,,,,,Km2,,,,,1971,9.0,9.0,1971,9.0,9.0,300.0,,35000.0,,35000.0,,,,,,,14.9432495079816,,,,
1974-0129-IND,1974,129,,Natural,Hydrological,Flood,,,,India,IND,Southern Asia,Asia,"Tinsukia, Dhemaji, Nowgong, Majuli, Jorhat, Dhubri",,,,,,,,,Km2,,,,,1974,7.0,2.0,1974,7.0,2.0,260.0,,,,,,,,,,,18.196991034332,,,,
1979-0225-IND,1979,225,,Natural,Hydrological,Flood,,,,India,IND,Southern Asia,Asia,"Uttar Pradesh, Bihar, West Bengal",,,,,,,,,Km2,,,,,1979,8.0,25.0,1979,8.0,25.0,,,26000000.0,,26000000.0,,,,,,,26.7834419418325,,,,
1981-0063-IND,1981,63,,Natural,Hydrological,Flood,,,,India,IND,Southern Asia,Asia,,,,,,,,,,Km2,,,,,1981,7.0,4.0,1981,7.0,4.0,553.0,,16000000.0,,16000000.0,,,,,250000.0,745036.0,33.5554165755522,,,,
1984-0318-IND,1984,318,,Natural,Hydrological,Flood,,,,India,IND,Southern Asia,Asia,"West Bengal, Uttar Pradesh, Assam, Bihar",,,,,,,,,Km2,,,,,1984,6.0,25.0,1984,6.0,25.0,200.0,,3000000.0,,3000000.0,,,,,,,38.3376251913405,,,,
1984-0322-IND,1984,322,,Natural,Hydrological,Flood,Flash flood,,,India,IND,Southern Asia,Asia,Ladakh area,,,,,,,,,Km2,,,,,1984,8.0,16.0,1984,8.0,16.0,14.0,,,,,,,,,,,38.3376251913405,,,,
1985-0343-IND,1985,343,,Natural,Hydrological,Flood,Riverine flood,,,India,IND,Southern Asia,Asia,"Kerala, Assam, Bombay, Karnataka, Goa states",,,,,,,,254240.0,Km2,,,,,1985,6.0,23.0,1985,6.0,23.0,95.0,,25000.0,,25000.0,,,,,,,39.696934178876,,,,
1985-0131-IND,1985,131,,Natural,Hydrological,Flood,,,,India,IND,Southern Asia,Asia,Tamil Nadu,,,,Yes,,,,,Km2,,,,,1985,11.0,12.0,1985,11.0,12.0,130.0,,500000.0,400000.0,900000.0,,,,,,,39.696934178876,,,,
1986-0239-IND,1986,239,,Natural,Hydrological,Flood,,,,India,IND,Southern Asia,Asia,,,,,,No,No,,,Km2,,,,,1986,10.0,10.0,1986,10.0,10.0,50.0,,,,,,,,,276100.0,682564.0,40.4504089219331,,,,
1987-0394-IND,1987,394,,Natural,Hydrological,Flood,,,,India,IND,Southern Asia,Asia,Andhra Pradesh,,,,,,,,,Km2,,,,,1987,7.0,9.0,1987,7.0,9.0,30.0,,,,,,,,,,,41.9327356221299,,,,
1987-0410-IND,1987,410,,Natural,Hydrological,Flood,,,,India,IND,Southern Asia,Asia,Uttar Pradesh,,,,,,,,3000.0,Km2,,,,,1987,9.0,18.0,1987,9.0,18.0,59.0,,300000.0,,300000.0,,,,,,,41.9327356221299,,,,
1988-0438-IND,1988,438,,Natural,Hydrological,Flood,Riverine flood,,,India,IND,Southern Asia,Asia,"Punjab, Himachal Pradesh, Haryana, Jamuu and Kashmir, Delhi",,,,,No,No,,,Km2,,,,,1988,9.0,22.0,1988,10.0,9.0,1000.0,,221000.0,,221000.0,,,,,18000.0,41244.0,43.6426415919528,,,,
