Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
1966-0036-IDN,1966,36,,Natural,Hydrological,Flood,Riverine flood,,,Indonesia,IDN,South-Eastern Asia,Asia,"Central, East Java",,,,Yes,,,,,Km2,,,,,1966,3.0,14.0,1966,3.0,14.0,176.0,100.0,524000.0,,524100.0,,,,,33000.0,275492.0,11.9785873605948,,,,
1967-0013-IDN,1967,13,,Natural,Hydrological,Flood,,,,Indonesia,IDN,South-Eastern Asia,Asia,Jakarta,,,,Yes,,,,,Km2,,,,,1967,1.0,9.0,1967,1.0,9.0,,,102000.0,40000.0,142000.0,,,,,,,12.3107281871857,,,,
1967-0076-IDN,1967,76,,Natural,Hydrological,Flood,,,,Indonesia,IDN,South-Eastern Asia,Asia,Central Java,,,,,,,,,Km2,,,,,1967,11.0,30.0,1967,11.0,30.0,160.0,,,,,,,,,,,12.3107281871857,,,,
1976-0073-IDN,1976,73,,Natural,Hydrological,Flood,Flash flood,,,Indonesia,IDN,South-Eastern Asia,Asia,"East Java, Lumajang",,,,Yes,,,,,Km2,,,,,1976,11.0,13.0,1976,11.0,13.0,163.0,20.0,20000.0,,20020.0,,,,,,,21.0017319046578,,,,
1978-0142-IDN,1978,142,,Natural,Hydrological,Flood,,,,Indonesia,IDN,South-Eastern Asia,Asia,Aceh,,,,Yes,,,,,Km2,,,,,1978,12.0,17.0,1978,12.0,17.0,8.0,,51600.0,15000.0,66600.0,,,,,,,24.0740345506232,,,,
1979-0028-IDN,1979,28,,Natural,Hydrological,Flood,,,,Indonesia,IDN,South-Eastern Asia,Asia,Flores Island,,,,Yes,,,,,Km2,,,,,1979,2.0,27.0,1979,2.0,27.0,128.0,350.0,20000.0,4000.0,24350.0,,,,,3200.0,11948.0,26.7834419418325,,,,
1980-0110-IDN,1980,110,,Natural,Hydrological,Flood,,,,Indonesia,IDN,South-Eastern Asia,Asia,Central Java,,,,Yes,,,,,Km2,,,,,1980,12.0,26.0,1980,12.0,26.0,153.0,,2946.0,,2946.0,,,,,3400.0,11180.0,30.4123857424011,,,,
1981-0235-IDN,1981,235,,Natural,Hydrological,Flood,,,,Indonesia,IDN,South-Eastern Asia,Asia,Central Java,,,,,,,,,Km2,,,,,1981,1.0,22.0,1981,1.0,22.0,,,140000.0,,140000.0,,,,,,,33.5554165755522,,,,
1981-0051-IDN,1981,51,,Natural,Hydrological,Flood,,,,Indonesia,IDN,South-Eastern Asia,Asia,Mont Semeru,,,,,,,,,Km2,,,,,1981,5.0,14.0,1981,5.0,14.0,500.0,,,,,,,,,2200.0,6556.0,33.5554165755522,,,,
1981-0113-IDN,1981,113,,Natural,Hydrological,Flood,Flash flood,,,Indonesia,IDN,South-Eastern Asia,Asia,Jarkarta,,,,,,,,,Km2,,,,,1981,12.0,25.0,1981,12.0,25.0,9.0,,206000.0,6000.0,212000.0,,,,,,,33.5554165755522,,,,
1982-0062-IDN,1982,62,,Natural,Hydrological,Flood,,,,Indonesia,IDN,South-Eastern Asia,Asia,Irian Jaya,,,,,,,,,Km2,,,,,1982,5.0,28.0,1982,5.0,28.0,,,12500.0,,12500.0,,,,,,,35.6128405860485,,,,
1982-0134-IDN,1982,134,,Natural,Hydrological,Flood,,,,Indonesia,IDN,South-Eastern Asia,Asia,Central Sumatra,,,,,,,,,Km2,,,,,1982,12.0,26.0,1982,12.0,26.0,3.0,,1500.0,,1500.0,,,,,,,35.6128405860485,,,,
1984-0327-IDN,1984,327,,Natural,Hydrological,Flood,,,,Indonesia,IDN,South-Eastern Asia,Asia,"Central, East, West Java, Jogyakarta, North Sumatar",,,,,,,,,Km2,,,,,1984,2.0,3.0,1984,2.0,3.0,26.0,,300000.0,20000.0,320000.0,,,,,,,38.3376251913405,,,,
1984-0037-IDN,1984,37,,Natural,Hydrological,Flood,,,,Indonesia,IDN,South-Eastern Asia,Asia,West Java,,,,,,,,,Km2,,,,,1984,4.0,27.0,1984,4.0,27.0,,,2700.0,,2700.0,,,,,1500.0,3913.0,38.3376251913405,,,,
1984-0121-IDN,1984,121,,Natural,Hydrological,Flood,,,,Indonesia,IDN,South-Eastern Asia,Asia,Bandung Region (West Java),,,,,,,,,Km2,,,,,1984,12.0,3.0,1984,12.0,3.0,,,37500.0,,37500.0,,,,,,,38.3376251913405,,,,
1985-0009-IDN,1985,9,,Natural,Hydrological,Flood,Flash flood,,,Indonesia,IDN,South-Eastern Asia,Asia,Northern Sulawesi,,,,,,,,16540.0,Km2,,,,,1985,2.0,4.0,1985,2.0,4.0,21.0,,300.0,,300.0,,,,,,,39.696934178876,,,,
1985-0062-IDN,1985,62,,Natural,Hydrological,Flood,Riverine flood,,,Indonesia,IDN,South-Eastern Asia,Asia,"Central and East Java, Eastern Isl.",,,,,,,,77090.0,Km2,,,,,1985,2.0,19.0,1985,2.0,19.0,10.0,,2000.0,,2000.0,,,,,,,39.696934178876,,,,
1985-0075-IDN,1985,75,,Natural,Hydrological,Flood,Coastal flood,,,Indonesia,IDN,South-Eastern Asia,Asia,West coast of Sumatra,,,,,,,,,Km2,,,,,1985,6.0,30.0,1985,6.0,30.0,11.0,,2000.0,,2000.0,,,,,,,39.696934178876,,,,
1986-0222-IDN,1986,222,,Natural,Hydrological,Flood,,,,Indonesia,IDN,South-Eastern Asia,Asia,Timor province (Java),,,,,,,,10.0,Km2,,,,,1986,1.0,16.0,1986,1.0,16.0,77.0,,19000.0,,19000.0,,,,,,,40.4504089219331,,,,
1986-0223-IDN,1986,223,,Natural,Hydrological,Flood,,,,Indonesia,IDN,South-Eastern Asia,Asia,,,,,,,,,,Km2,,,,,1986,3.0,6.0,1986,3.0,6.0,,,,50000.0,50000.0,,,,,,,40.4504089219331,,,,
1986-0053-IDN,1986,53,,Natural,Hydrological,Flood,,,,Indonesia,IDN,South-Eastern Asia,Asia,West Java,,,,,,,,,Km2,,,,,1986,4.0,15.0,1986,4.0,15.0,2.0,,38000.0,,38000.0,,,,,,,40.4504089219331,,,,
1986-0126-IDN,1986,126,,Natural,Hydrological,Flood,Riverine flood,,,Indonesia,IDN,South-Eastern Asia,Asia,"Bengkulu, Lampung provinces (South Sumatra)",,,,,,,,,Km2,,,,,1986,10.0,24.0,1986,10.0,24.0,96.0,,20000.0,,20000.0,,,,,,,40.4504089219331,,,,
1987-0063-IDN,1987,63,,Natural,Hydrological,Flood,Riverine flood,,,Indonesia,IDN,South-Eastern Asia,Asia,Esatern Java,,,,,,,,,Km2,,,,,1987,2.0,23.0,1987,2.0,23.0,3.0,,26000.0,,26000.0,,,,,1700.0,4054.0,41.9327356221299,,,,
1987-0228-IDN,1987,228,,Natural,Hydrological,Flood,,,,Indonesia,IDN,South-Eastern Asia,Asia,West Sumatra,,,,,,,,,Km2,,,,,1987,12.0,14.0,1987,12.0,14.0,38.0,84.0,,800.0,884.0,,,,,,,41.9327356221299,,,,
1987-0232-IDN,1987,232,,Natural,Hydrological,Flood,,,,Indonesia,IDN,South-Eastern Asia,Asia,"Esp. Polmas, Pinrang (Sulawesi)",,,,,,,,,Km2,,,,,1987,12.0,25.0,1987,12.0,25.0,119.0,,,,,,,,,60000.0,143086.0,41.9327356221299,,,,
1988-0504-IDN,1988,504,,Natural,Hydrological,Flood,Riverine flood,,,Indonesia,IDN,South-Eastern Asia,Asia,Flores IsL.,,,,,,,,,Km2,,,,,1988,11.0,6.0,1988,11.0,6.0,21.0,,,,,,,,,,,43.6426415919528,,,,
1988-0494-IDN,1988,494,,Natural,Hydrological,Flood,Riverine flood,,,Indonesia,IDN,South-Eastern Asia,Asia,"Central & West Java, Sumatra, Kalimantan",,,,Yes,,,,,Km2,,,,,1988,12.0,20.0,1988,12.0,20.0,158.0,,100000.0,,100000.0,,,,,4600.0,10540.0,43.6426415919528,,,,
1989-0159-IDN,1989,159,,Natural,Hydrological,Flood,,,,Indonesia,IDN,South-Eastern Asia,Asia,Madiun Regency (East Java),,,,,,,,,Km2,,,,,1989,6.0,3.0,1989,6.0,3.0,,,29000.0,,29000.0,,,,,,,45.749276186311,,,,
1989-0262-IDN,1989,262,,Natural,Hydrological,Flood,,,,Indonesia,IDN,South-Eastern Asia,Asia,Ambon (Malucu Isl.),,,,,,,,,Km2,,,,,1989,6.0,20.0,1989,6.0,20.0,18.0,,32500.0,,32500.0,,,,,,,45.749276186311,,,,
1990-0005-IDN,1990,5,,Natural,Hydrological,Flood,Riverine flood,,,Indonesia,IDN,South-Eastern Asia,Asia,"Semarang, Temanggung, Batang, Kendal, Pati, Sragen, Grobongan, Cilacap, Demak, Rembang, Banyumas municipalities (Central Java)",Heavy rain,Broken Dam/Burst bank,"Slide (land, mud, snow, rock)",Yes,No,No,,23640.0,Km2,,,,Banjir Kanal Barat river,1990,1.0,26.0,1990,2.0,1.0,169.0,,21000.0,,21000.0,,,,,4800.0,9955.0,48.2187972884321,,,,
1990-0709-IDN,1990,709,,Natural,Hydrological,Flood,,,,Indonesia,IDN,South-Eastern Asia,Asia,Bogor (Jakarta),,,,,No,No,,,Km2,,,,,1990,4.0,4.0,1990,4.0,5.0,22.0,,,,,,,,,,,48.2187972884321,,,,
1991-0512-IDN,1991,512,,Natural,Hydrological,Flood,Riverine flood,,,Indonesia,IDN,South-Eastern Asia,Asia,Kalimatan province,,,,,No,No,,,Km2,,,,,1991,6.0,6.0,1991,6.0,6.0,97.0,,,,,,,,,,,50.2608528318391,,,,
1991-0692-IDN,1991,692,,Natural,Hydrological,Flood,Riverine flood,,,Indonesia,IDN,South-Eastern Asia,Asia,"Riau, Jambi, Lampung provinces (Sumatra)",Heavy rain,,,,No,No,,,Km2,,,,,1991,12.0,16.0,1991,12.0,19.0,15.0,,240000.0,,240000.0,,,,,14800.0,29446.0,50.2608528318391,,,,
1993-0003-IDN,1993,3,,Natural,Hydrological,Flood,Riverine flood,,,Indonesia,IDN,South-Eastern Asia,Asia,Northern coast from Indramayu District in West Java to Gresik District in East Java,Monsoonal rain,,,,No,No,175.0,19200.0,Km2,,,,,1993,2.0,2.0,1993,2.0,5.0,59.0,,259553.0,,259553.0,,,,,19301.0,36204.0,53.3116203804942,,,,
