Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
1903-0016-IRN,1903,16,,Natural,Geophysical,Earthquake,Ground movement,,,Iran (Islamic Republic of),IRN,Southern Asia,Asia,Kashmar,,,,,,,,7.0,Richter,35.2,58.2,04:50,,1903,9.0,25.0,1903,9.0,25.0,350.0,,,,,,,,,,,3.3232581812022,,,,
1909-0007-IRN,1909,7,,Natural,Geophysical,Earthquake,Ground movement,,,Iran (Islamic Republic of),IRN,Southern Asia,Asia,"Boroujerd, Silakor",,,,,,,,8.0,Richter,33.55,48.48,16:18,,1909,1.0,23.0,1909,1.0,23.0,5000.0,,,,,,,,,,,3.3232581812022,,,,
1911-0022-IRN,1911,22,,Natural,Geophysical,Earthquake,Ground movement,,,Iran (Islamic Republic of),IRN,Southern Asia,Asia,Ravar,,,,,,,,7.0,Richter,32.23,57.03,21:44,,1911,4.0,18.0,1911,4.0,18.0,700.0,,,,,,,,,,,3.4463418175431,,,,
1923-0020-IRN,1923,20,,Natural,Geophysical,Earthquake,Ground movement,,,Iran (Islamic Republic of),IRN,Southern Asia,Asia,Turbat-Haklari,,,,,,,,6.0,Richter,35.2,59.2,01:51,,1923,5.0,26.0,1923,5.0,26.0,2200.0,,,,,,,,,,,6.3018821806502,,,,
1923-0025-IRN,1923,25,,Natural,Geophysical,Earthquake,Ground movement,,,Iran (Islamic Republic of),IRN,Southern Asia,Asia,"Qaleh Jaq Kmen, Bodzhnurd",,,,,,,,6.0,Richter,36.617,57.046,10:39,,1923,9.0,17.0,1923,9.0,17.0,157.0,,,,,,,,,,,6.3018821806502,,,,
1923-0026-IRN,1923,26,,Natural,Geophysical,Earthquake,Ground movement,,,Iran (Islamic Republic of),IRN,Southern Asia,Asia,Sirjan,,,,,,,,7.0,Richter,29.196,56.833,,,1923,9.0,23.0,1923,9.0,23.0,290.0,,,,,,,,,,,6.3018821806502,,,,
1925-0015-IRN,1925,15,,Natural,Geophysical,Earthquake,Ground movement,,,Iran (Islamic Republic of),IRN,Southern Asia,Asia,Bajestan,,,,,,,,6.0,Richter,34.6,58.1,,,1925,12.0,14.0,1925,12.0,14.0,500.0,,,,,,,,,,,6.4865076351614,,,,
1929-0012-IRN,1929,12,,Natural,Geophysical,Earthquake,Ground movement,,,Iran (Islamic Republic of),IRN,Southern Asia,Asia,"Kopet-Dagh, Beinin",,,,,,,,7.0,Richter,37.8,57.8,19:07,,1929,5.0,1.0,1929,5.0,1.0,3253.0,1121.0,,,1121.0,,,,,,,6.3511156351865,,,,
1930-0025-IRN,1930,25,,Natural,Geophysical,Earthquake,Ground movement,,,Iran (Islamic Republic of),IRN,Southern Asia,Asia,Salmas,,,,,,,,7.0,Richter,38.087,44.781,19:34,,1930,5.0,6.0,1930,5.0,6.0,1360.0,,,,,,,,,,,6.1787985443093,,,,
1932-0016-IRN,1932,16,,Natural,Geophysical,Earthquake,Ground movement,,,Iran (Islamic Republic of),IRN,Southern Asia,Asia,Torbet-I-Kheydarly,,,,,,,,5.0,Richter,36.6,53.4,,,1932,5.0,20.0,1932,5.0,20.0,1070.0,,,,,,,,,,,5.0464290899737,,,,
