Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
1954-0013-IRN,1954,13,,Natural,Hydrological,Flood,Flash flood,,,Iran (Islamic Republic of),IRN,Southern Asia,Asia,Kazvin district (Teheran),,,,,,,,,Km2,,,,,1954,8.0,1.0,1954,8.0,1.0,2000.0,,,,,,,,,,,9.9328494527043,,,,
1966-0069-IRN,1966,69,,Natural,Hydrological,Flood,,,,Iran (Islamic Republic of),IRN,Southern Asia,Asia,Northwest,,,,,,,,,Km2,,,,,1966,9.0,13.0,1966,9.0,13.0,42.0,70.0,,,70.0,,,,,,,11.9785873605948,,,,
1968-0079-IRN,1968,79,,Natural,Hydrological,Flood,,,,Iran (Islamic Republic of),IRN,Southern Asia,Asia,Caspian Coast,,,,,,,,,Km2,,,,,1968,10.0,28.0,1968,10.0,28.0,30.0,,,,,,,,,,,12.8366149136235,,,,
1969-0064-IRN,1969,64,,Natural,Hydrological,Flood,,,,Iran (Islamic Republic of),IRN,Southern Asia,Asia,Azerbaijan,,,,,,,,,Km2,,,,,1969,4.0,4.0,1969,4.0,4.0,20.0,,,,,,,,,,,13.5378001312049,,,,
1981-0048-IRN,1981,48,,Natural,Hydrological,Flood,,,,Iran (Islamic Republic of),IRN,Southern Asia,Asia,Korassan,,,,,,,,,Km2,,,,,1981,5.0,3.0,1981,5.0,3.0,58.0,,100.0,,100.0,,,,,,,33.5554165755522,,,,
1986-0225-IRN,1986,225,,Natural,Hydrological,Flood,,,,Iran (Islamic Republic of),IRN,Southern Asia,Asia,,,,,,,,,,Km2,,,,,1986,4.0,28.0,1986,4.0,28.0,65.0,,,,,,,,,30000.0,74165.0,40.4504089219331,,,,
1986-0129-IRN,1986,129,,Natural,Hydrological,Flood,Riverine flood,,,Iran (Islamic Republic of),IRN,Southern Asia,Asia,"Fars, Busher, Shiraz, Khuzestan, Buir Ahmad provinces",Heavy rains,,,,No,No,,155900.0,Km2,,,,,1986,11.0,30.0,1986,12.0,11.0,200.0,,40000.0,,40000.0,,,400.0,989.0,1561000.0,3859046.0,40.4504089219331,,,,
1987-0383-IRN,1987,383,,Natural,Hydrological,Flood,,,,Iran (Islamic Republic of),IRN,Southern Asia,Asia,,,,,,,,,,Km2,,,,,1987,3.0,7.0,1987,3.0,7.0,30.0,,,,,,,,,,,41.9327356221299,,,,
1987-0133-IRN,1987,133,,Natural,Hydrological,Flood,Riverine flood,,,Iran (Islamic Republic of),IRN,Southern Asia,Asia,"Teheran, East, Southwest of Iran",,,,,,,,,Km2,,,,,1987,7.0,24.0,1987,7.0,24.0,147.0,,,,,,,,,,,41.9327356221299,,,,
1987-0402-IRN,1987,402,,Natural,Hydrological,Flood,,,,Iran (Islamic Republic of),IRN,Southern Asia,Asia,,,,,,,,,,Km2,,,,,1987,8.0,7.0,1987,8.0,7.0,50.0,,,,,,,,,,,41.9327356221299,,,,
1987-0412-IRN,1987,412,,Natural,Hydrological,Flood,,,,Iran (Islamic Republic of),IRN,Southern Asia,Asia,"Bachtaran, Liam, Hamadan",,,,,,,,,Km2,,,,,1987,10.0,27.0,1987,10.0,27.0,41.0,,,,,,,,,,,41.9327356221299,,,,
1988-0392-IRN,1988,392,,Natural,Hydrological,Flood,,,,Iran (Islamic Republic of),IRN,Southern Asia,Asia,Damavand/Rou Dehan/Abe-Ali,,,,,,,,,Km2,,,,,1988,8.0,26.0,1988,8.0,26.0,90.0,,150000.0,,150000.0,,,,,150000.0,343701.0,43.6426415919528,,,,
1989-0041-IRN,1989,41,,Natural,Hydrological,Flood,,,,Iran (Islamic Republic of),IRN,Southern Asia,Asia,Zabol (Balouchestan),,,,,,,,,Km2,,,,,1989,4.0,4.0,1989,4.0,4.0,,,150000.0,,150000.0,,,,,2000.0,4372.0,45.749276186311,,,,
