Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
1972-0021-IRN,1972,21,,Natural,Meteorological,Storm,Convective storm,Winter storm/Blizzard,,Iran (Islamic Republic of),IRN,Southern Asia,Asia,,,,,,,,,,Kph,,,,,1972,2.0,10.0,1972,2.0,10.0,60.0,,,,,,,,,,,15.4322326700197,,,,
1975-0030-IRN,1975,30,,Natural,Meteorological,Storm,,,,Iran (Islamic Republic of),IRN,Southern Asia,Asia,Damaghan,,,,,,,,,Kph,,,,,1975,4.0,21.0,1975,4.0,21.0,14.0,,,,,,,,,,,19.8607741089,,,,
1981-0092-IRN,1981,92,,Natural,Meteorological,Storm,,,,Iran (Islamic Republic of),IRN,Southern Asia,Asia,Hormuz,,,,,,,,,Kph,,,,,1981,10.0,19.0,1981,10.0,19.0,200.0,,,,,,,,,,,33.5554165755522,,,,
1991-0549-IRN,1991,549,,Natural,Meteorological,Storm,,,,Iran (Islamic Republic of),IRN,Southern Asia,Asia,"Bushehr, Ilam Provinces",,,,,,,,160.0,Kph,,,,,1991,12.0,12.0,1991,12.0,12.0,22.0,,,,,,,,,,,50.2608528318391,,,,
1992-0476-IRN,1992,476,,Natural,Meteorological,Storm,,,,Iran (Islamic Republic of),IRN,Southern Asia,Asia,Fars province,,,,,,,,,Kph,,,,,1992,12.0,31.0,1992,12.0,31.0,,,3700.0,,3700.0,,,,,,,51.7831620380495,,,,
1993-0162-IRN,1993,162,,Natural,Meteorological,Storm,Convective storm,Hail,,Iran (Islamic Republic of),IRN,Southern Asia,Asia,Near Neyshabur,,,,,,,,,Kph,,,,,1993,5.0,25.0,1993,5.0,25.0,,,,,,,,,,15000.0,28136.0,53.3116203804942,,,,
2000-0009-IRN,2000,9,,Natural,Meteorological,Storm,,,,Iran (Islamic Republic of),IRN,Southern Asia,Asia,Gilan province,,Fire,,,,,,120.0,Kph,,,,,2000,1.0,18.0,2000,1.0,18.0,3.0,,,5500.0,5500.0,,,,,,,63.5495473431008,1,1545,,Gilan (Adm1).
2004-0084-IRN,2004,84,,Natural,Meteorological,Storm,,,,Iran (Islamic Republic of),IRN,Southern Asia,Asia,Astara district (Gilan province),,,,,,,,,Kph,,,,,2004,2.0,15.0,2004,2.0,15.0,,,2500.0,,2500.0,,,,,240.0,344.0,69.7064421605073,2,,40884,Astara (Adm2).
2005-0084-IRN,2005,84,,Natural,Meteorological,Storm,,,,Iran (Islamic Republic of),IRN,Southern Asia,Asia,Gilan province,,,,,,,,,Kph,,,,,2005,2.0,13.0,2005,2.0,13.0,,,8000.0,,8000.0,,,,,,,72.0714104526569,1,1545,,Gilan (Adm1).
2007-0164-IRN,2007,164,TC-2007-000075,Natural,Meteorological,Storm,Tropical cyclone,,Cyclone 'Gonu',Iran (Islamic Republic of),IRN,Southern Asia,Asia,"Ghalehganj villages (Kahnug district, Kerman province), Chahbahar, Zarabad, Konarak, Kahir villages (Chahbahar district, Sistan-o baluchestan province), Sarbaz, Iranshahr villages (Iranshahr district, Sistan-o baluchestan province), Zahedan, Khash, Saravan, Nikshahr districts (Sistan-o baluchestan province), Jask, Bandar-e abbas, Geshm districts (Hormozgan province)",,Flood,,,,,,220.0,Kph,,,,,2007,6.0,6.0,2007,6.0,10.0,12.0,9.0,185000.0,,185009.0,,,,,,,76.5186792040236,2,,40896;40918;40963;40976;40979;40985;40997;41051;41090;41139,"Bandar-e abbas, Chahbahar, Geshm, Iranshahr, Jask, Kahnug, Khash, Nikshahr, Saravan, Zahedan (Adm2)."
2016-0544-IRN,2016,544,,Natural,Meteorological,Storm,Convective storm,Lightning/Thunderstorms,,Iran (Islamic Republic of),IRN,Southern Asia,Asia,"Golestan, Amol (Mazandaran Province)",,Flood,,,,,,,Kph,,,,,2016,9.0,1.0,2016,9.0,2.0,4.0,,,2000.0,2000.0,,,,,,,88.573452875574,1;2,33111,40872,Golestan (Adm1). Amol (Adm2).
2021-0430-IRN,2021,430,,Natural,Meteorological,Storm,Convective storm,Severe storm,,Iran (Islamic Republic of),IRN,Southern Asia,Asia,"East Azerbaijan, West Azerbaijan, Alborz, Isfahan, Bushehr, Chaharmahal, Bakhtiari, Kohgiluyeh, Boyer-Ahmad, Kerman, Fars, Sistan and Baluchestan, Semnan, Mazandaran, Hormozgan, Yazd, Kurdistan",,Lightening,Flood,,,,,,Kph,,,,,2021,7.0,14.0,2021,7.0,21.0,10.0,,2600.0,,2600.0,,,,,,,100.0,1;2,1540;1541;1542;1543;1544;1545;1548;1550;1553;1557;1558;1559;1561;1562,40914,"Bushehr, Chaharmahal-o bakhtiyar, East Azarbayejan, Esfahan, Fars, Gilan, Hormozgan, Kerman, Kordestan, Mazandaran, Semnan, Sistan-o baluchestan, West Azarbayejan, Yazd (Adm1). Boyyerahmad (Adm2)."
2021-0645-IRN,2021,645,,Natural,Meteorological,Storm,Tropical cyclone,,Cyclone 'Shaheen',Iran (Islamic Republic of),IRN,Southern Asia,Asia,Chabahar City (south Sistan-Baluchestan Province),,,,,,,,,Kph,,,,,2021,10.0,1.0,2021,10.0,3.0,2.0,122.0,,,122.0,,,,,,,100.0,2,,40918,Chahbahar (Adm2).
