Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
1967-0035-IRQ,1967,35,,Natural,Hydrological,Flood,,,,Iraq,IRQ,Western Asia,Asia,Euphrates River Valley,,,,Yes,,,,,Km2,,,,,1967,5.0,11.0,1967,5.0,11.0,,,200000.0,60000.0,260000.0,,,,,5000.0,40615.0,12.3107281871857,,,,
2004-0012-IRQ,2004,12,,Natural,Hydrological,Flood,Flash flood,,,Iraq,IRQ,Western Asia,Asia,"Marshland area (Nassriya district, Thi-Qar province)",Heavy rains,,,,,,,,Km2,,,,,2004,1.0,10.0,2004,1.0,19.0,,,8000.0,,8000.0,,,,,,,69.7064421605073,2,,36844,Nassriya (Adm2).
2006-0065-IRQ,2006,65,,Natural,Hydrological,Flood,Riverine flood,,,Iraq,IRQ,Western Asia,Asia,"Erbil, Salah al-Din, Kirkuk, Diyala, Missan provinces","Heavy rains, melting ice",,,,,,,77640.0,Km2,34.21,45.49,,Tigris,2006,2.0,4.0,2006,2.0,12.0,,,41890.0,,41890.0,,,,,1300.0,1747.0,74.3963874917997,1,1569;1570;1575;1577;1579,,"Diyala, Erbil, Kirkuk, Missan, Salah al-Din (Adm1)."
2006-0599-IRQ,2006,599,,Natural,Hydrological,Flood,Flash flood,,,Iraq,IRQ,Western Asia,Asia,"Khalifan city (Soran district, Erbil province)",Heavy rains,,,,,,,19960.0,Km2,36.23,44.81,,,2006,11.0,5.0,2006,11.0,7.0,20.0,20.0,18000.0,,18020.0,,,,,,,74.3963874917997,2,,123559,Soran (Adm2).
2008-0523-IRQ,2008,523,,Natural,Hydrological,Flood,Riverine flood,,,Iraq,IRQ,Western Asia,Asia,"Choman district (Erbil province), Pshdar district (Sulaymaniah province)",,,,,,,,3310.0,Km2,36.16,45.11,,,2008,9.0,10.0,2008,9.0,11.0,4.0,,,600.0,600.0,,,,,,,79.4563043953641,2,,36766;123560,"Choman, Pshdar (Adm2)."
2009-0489-IRQ,2009,489,,Natural,Hydrological,Flood,Flash flood,,,Iraq,IRQ,Western Asia,Asia,"Mergasur, Choman, Soran districts (Erbil province) Sumel district (Dahuk province)",,"Slide (land, mud, snow, rock)",,,,,,,Km2,,,,,2009,10.0,30.0,2009,11.0,2.0,2.0,,3000.0,,3000.0,,,,,,,79.1738027553029,2,,36796;123558;123559;123560,"Choman, Mergasur, Soran, Sumel (Adm2)."
2011-0184-IRQ,2011,184,FF-2011-000049,Natural,Hydrological,Flood,Flash flood,,,Iraq,IRQ,Western Asia,Asia,"Mosul district (Ninewa province), Erbil, Sulaymaniyah, Kirkuk, Dahuk, Kerbala, Salah al-Din provinces",Heavy rains,,,,,,,,Km2,,,,,2011,4.0,22.0,2011,4.0,22.0,6.0,1.0,,2000.0,2001.0,,,,,,,83.0126743931774,1;2,1569;1570;1574;1576;1579;1580,36823,"Dahuk, Erbil, Kerbala, Kirkuk, Salah al-Din, Sulaymaniyah (Adm1). Mosul (Adm2)."
2012-0491-IRQ,2012,491,,Natural,Hydrological,Flood,Riverine flood,,,Iraq,IRQ,Western Asia,Asia,Baghdad province,Heavy rains,,,,,,,,Km2,,,,,2012,12.0,25.0,2012,12.0,26.0,4.0,,,,,,,,,,,84.7304788978789,1,1572,,Baghdad (Adm1).
2013-0504-IRQ,2013,504,,Natural,Hydrological,Flood,Riverine flood,,,Iraq,IRQ,Western Asia,Asia,"Nassriya district (Thi-Qar province), Diwaniya district (Qadissiya province), Hilla district (Babil province), Baghdad province",Heavy rains,,,,,,,,Km2,,,,,2013,11.0,18.0,2013,11.0,19.0,11.0,,,,,,,,,,,85.9716422479773,1;2,1572,36776;36829;36844,"Baghdad (Adm1). Diwaniya, Hilla, Nassriya (Adm2)."
2015-0485-IRQ,2015,485,,Natural,Hydrological,Flood,Flash flood,,,Iraq,IRQ,Western Asia,Asia,"Baghdad, Wassit provinces",,,,,,,,,Km2,,,,,2015,10.0,28.0,2015,10.0,30.0,58.0,,65000.0,,65000.0,,,,,,,87.4699322108025,1,1572;1581,,"Baghdad, Wassit (Adm1)."
2018-0427-IRQ,2018,427,,Natural,Hydrological,Flood,Flash flood,,,Iraq,IRQ,Western Asia,Asia,Ach-Charqat/Al Shirkat district; Salaheddine and Ninewa provinces,Heavy rains,,,,,,,,Km2,,,,,2018,11.0,22.0,2018,11.0,23.0,21.0,,25000.0,,25000.0,,,,,,,92.6696698010059,1,1578;1579,,"Ninewa, Salah al-Din (Adm1)."
2019-0141-IRQ,2019,141,,Natural,Hydrological,Flood,,,,Iraq,IRQ,Western Asia,Asia,"Anbar, Basra, Dahuk, Diyala, Kirkuk, Missan, Muthanna, Ninewa, Salah al-Din, Sulaymaniyah, and Wassit governorates",,,Storm,,,,,,Km2,,,,,2019,3.0,24.0,2019,4.0,2.0,10.0,,5865.0,,5865.0,,,,,,,94.3490924994534,1,1564;1565;1566;1570;1574;1575;1577;1578;1579;1580;1581,,"Anbar, Basrah, Dahuk, Diyala, Kirkuk, Missan, Muthanna, Ninewa, Salah al-Din, Sulaymaniyah, Wassit (Adm1)."
2020-0116-IRQ,2020,116,,Natural,Hydrological,Flood,,,,Iraq,IRQ,Western Asia,Asia,"Baqubah City (Diyala Governorate), Nineveh and Salah ad-Din Governorates, Mosul City (Nineveh)",Heavy rains,,,,,,,,Km2,,,,Tigris river,2020,3.0,18.0,2020,3.0,21.0,8.0,,1500.0,,1500.0,,,,,100000.0,104698.0,95.5129674174503,1;2,1578;1579,36798,"Ninewa, Salah al-Din (Adm1). Ba'quba (Adm2)."
2021-0705-IRQ,2021,705,,Natural,Hydrological,Flood,,,,Iraq,IRQ,Western Asia,Asia,Erbil Governorate (Kurdistan region),Heavy rains,Storm,Lightening,,,,,,Km2,,,,,2021,10.0,29.0,2021,10.0,30.0,2.0,3.0,3200.0,,3203.0,,,,,,,100.0,1,1569,,Erbil (Adm1).
2021-0818-IRQ,2021,818,FL-2021-000208,Natural,Hydrological,Flood,Flash flood,,,Iraq,IRQ,Western Asia,Asia,Erbil (Kudistan),Heavy rains,,,,,,,,Km2,,,,,2021,12.0,16.0,2021,12.0,17.0,14.0,,7500.0,,7500.0,,,,,14000.0,14000.0,100.0,1,1569,,Erbil (Adm1).
