Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
1983-0362-IRL,1983,362,,Natural,Meteorological,Storm,,,,Ireland,IRL,Northern Europe,Europe,,,,,,,,,,Kph,,,,,1983,1.0,13.0,1983,1.0,13.0,10.0,,,,,,,,,,,36.7568773234201,,,,
1986-0103-IRL,1986,103,,Natural,Meteorological,Storm,Tropical cyclone,,Charlie,Ireland,IRL,Northern Europe,Europe,East and South regions,,,,,,,,,Kph,,,,,1986,8.0,25.0,1986,8.0,25.0,11.0,,,,,,,,,,,40.4504089219331,,,,
1990-0717-IRL,1990,717,,Natural,Meteorological,Storm,,,Daria,Ireland,IRL,Northern Europe,Europe,,,,,,No,No,,,Kph,,,,,1990,1.0,24.0,1990,1.0,26.0,,,,,,,,,,30000.0,62216.0,48.2187972884321,,,,
1990-0720-IRL,1990,720,,Natural,Meteorological,Storm,,,Nana,Ireland,IRL,Northern Europe,Europe,,,,,,No,No,,,Kph,,,,,1990,2.0,11.0,1990,2.0,12.0,1.0,,,,,,,30000.0,62216.0,60000.0,124433.0,48.2187972884321,,,,
1990-0722-IRL,1990,722,,Natural,Meteorological,Storm,,,Vivian,Ireland,IRL,Northern Europe,Europe,,,,,,No,No,,,Kph,,,,,1990,2.0,25.0,1990,2.0,27.0,1.0,,,,,,,,,20000.0,41478.0,48.2187972884321,,,,
1991-0005-IRL,1991,5,,Natural,Meteorological,Storm,,,Undine,Ireland,IRL,Northern Europe,Europe,,,,,,No,No,,160.0,Kph,,,,,1991,1.0,5.0,1991,1.0,7.0,,,,,,,,,,4000.0,7958.0,50.2608528318391,,,,
1996-0252-IRL,1996,252,,Natural,Meteorological,Storm,Tropical cyclone,,Lilli,Ireland,IRL,Northern Europe,Europe,,,,,,No,No,,,Kph,,,,,1996,10.0,27.0,1996,10.0,30.0,2.0,,,,,,,,,1000.0,1728.0,57.8847058823529,,,,
1998-0419-IRL,1998,419,,Natural,Meteorological,Storm,,,,Ireland,IRL,Northern Europe,Europe,,,,,,No,No,,,Kph,,,,,1998,12.0,24.0,1998,12.0,25.0,2.0,,,,,,,,,50.0,83.0,60.1574108900066,,,,
1999-0571-IRL,1999,571,,Natural,Meteorological,Storm,Extra-tropical storm,,Lothar,Ireland,IRL,Northern Europe,Europe,,,,,,No,No,,,Kph,,,,,1999,12.0,25.0,1999,12.0,27.0,8.0,,,,,,,,,100000.0,162671.0,61.473667176908,,,,
2004-0596-IRL,2004,596,,Natural,Meteorological,Storm,,,,Ireland,IRL,Northern Europe,Europe,"Cork, Waterford provinces ; Dungarvan city (Waterford province), Clonmel city (Tipperary province)",,Flood,,,,,,6530.0,Kph,,,,"Lee, Suir, Slaney",2004,10.0,27.0,2004,10.0,31.0,,,200.0,,200.0,,,,,,,69.7064421605073,1,1585;1604;1605,,"Cork, Tipperary, Waterford (Adm1)."
2005-0011-IRL,2005,11,,Natural,Meteorological,Storm,Extra-tropical storm,,Erwin,Ireland,IRL,Northern Europe,Europe,"Dublin, Kildare, Laois, Longford, Meath, Offaly, Westmeath, Wicklow provinces",,,,,,,,125.0,Kph,,,,,2005,1.0,7.0,2005,1.0,8.0,,,,,,,,,,,,72.0714104526569,1,1587;1590;1592;1595;1598;1601;1606;1608,,"Dublin, Kildare, Laois, Longford, Meath, Offaly, Westmeath, Wicklow (Adm1)."
2014-0067-IRL,2014,67,,Natural,Meteorological,Storm,Extra-tropical storm,,Ulla,Ireland,IRL,Northern Europe,Europe,"Dublin, Kildare, Laois, Longford, Meath, Offaly, Westmeath, Wicklow, Carlow, Cavan, Clare, Cork, Donegal, Galway, Kerry, Kilkenny, Leitrim, Limerick, Louth, Mayo, Monaghan, Munster, Roscommon, Sligo, Tipperary, Waterford, Wexford provinces",,,,,,,,,Kph,,,,,2014,2.0,12.0,2014,2.0,14.0,1.0,,,,,,,,,,,87.3662978351193,1,1582;1583;1584;1585;1586;1587;1588;1589;1590;1591;1592;1593;1594;1595;1596;1597;1598;1599;1600;1601;1602;1603;1604;1605;1606;1607;1608,,"Carlow, Cavan, Clare, Cork, Donegal, Dublin, Galway, Kerry, Kildare, Kilkenny, Laois, Leitrim, Limerick, Longford, Louth, Mayo, Meath, Monaghan, Munster, Offaly, Roscommon, Sligo, Tipperary, Waterford, Westmeath, Wexford, Wicklow (Adm1)."
