Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
1905-0001-ITA,1905,1,,Natural,Geophysical,Earthquake,Ground movement,,,Italy,ITA,Southern Europe,Europe,"MONTELEONE, TROPEA, MONTE PORO (Calabria)",,,,,,,,7.0,Richter,38.67,16.07,01:43,,1905,9.0,8.0,1905,9.0,8.0,557.0,2000.0,,20100.0,22100.0,,,,,,,3.3232581812022,,,,
1908-0007-ITA,1908,7,,Natural,Geophysical,Earthquake,Ground movement,,,Italy,ITA,Southern Europe,Europe,"Messina, Regio, Calabria, Sicilia",,Tsunami/Tidal wave,,,,,,7.0,Richter,38.17,15.58,05:20,,1908,12.0,28.0,1908,12.0,28.0,75000.0,,150000.0,,150000.0,,,,,116000.0,3490550.0,3.3232581812022,,,,
1914-0028-ITA,1914,28,,Natural,Geophysical,Earthquake,Ground movement,,,Italy,ITA,Southern Europe,Europe,"Catania, Etna",,,,,,,,5.0,Richter,37.7,15.2,19.01,,1914,5.0,8.0,1914,5.0,8.0,120.0,,,669.0,669.0,,,,,,,3.7048174538587,,,,
1915-0002-ITA,1915,2,,Natural,Geophysical,Earthquake,Ground movement,,,Italy,ITA,Southern Europe,Europe,"Avezzano, Marsica (Abruzze)",,,,,,,,8.0,Richter,42.02,13.26,07:52,,1915,1.0,13.0,1915,1.0,13.0,29980.0,,,,,,,,,60000.0,1603531.0,3.741742544761,,,,
1920-0014-ITA,1920,14,,Natural,Geophysical,Earthquake,Ground movement,,,Italy,ITA,Southern Europe,Europe,"Carrara, Farfagnana",,,,,,,,6.0,Richter,44.3,10.3,06:55,,1920,9.0,7.0,1920,9.0,7.0,1400.0,,,,,,,,,,,7.4096349077176,,,,
1930-0008-ITA,1930,8,,Natural,Geophysical,Earthquake,Ground movement,,,Italy,ITA,Southern Europe,Europe,"Irpina, Naples",,,,,,,,6.0,Richter,40.922,15.377,02:08,,1930,7.0,23.0,1930,7.0,23.0,1883.0,,10000.0,,10000.0,,,,,5000.0,80922.0,6.1787985443093,,,,
1930-0033-ITA,1930,33,,Natural,Geophysical,Earthquake,Ground movement,,,Italy,ITA,Southern Europe,Europe,Senigalia,,,,,,,,6.0,Richter,43.667,13.267,08:10,,1930,10.0,30.0,1930,10.0,30.0,18.0,,,,,,,,,,,6.1787985443093,,,,
1933-0027-ITA,1933,27,,Natural,Geophysical,Earthquake,Ground movement,,,Italy,ITA,Southern Europe,Europe,Central,,,,,,,,,Richter,42.0,14.2,04:33,,1933,9.0,26.0,1933,9.0,26.0,10.0,,,,,,,,,,,4.787953453658,,,,
1962-0045-ITA,1962,45,,Natural,Geophysical,Earthquake,Ground movement,,,Italy,ITA,Southern Europe,Europe,Irpinia,,,,,,,,6.0,Richter,41.4,15.5,19:19,,1962,8.0,21.0,1962,8.0,21.0,16.0,,,30000.0,30000.0,,,,,,,11.1636125082004,,,,
1968-0023-ITA,1968,23,,Natural,Geophysical,Earthquake,Ground movement,,,Italy,ITA,Southern Europe,Europe,Belice Valley (Western Sicily),,,,Yes,,,,6.0,Richter,37.702,13.033,03:01,,1968,1.0,15.0,1968,1.0,15.0,224.0,563.0,55000.0,,55563.0,,,,,250000.0,1947554.0,12.8366149136235,,,,
1971-0014-ITA,1971,14,,Natural,Geophysical,Earthquake,Ground movement,,,Italy,ITA,Southern Europe,Europe,Toscana,,,,,,,,5.0,Richter,42.5,11.8,15:00,,1971,2.0,6.0,1971,2.0,6.0,22.0,100.0,4120.0,,4220.0,,,,,41600.0,278387.0,14.9432495079816,,,,
1972-0084-ITA,1972,84,,Natural,Geophysical,Earthquake,Ground movement,,,Italy,ITA,Southern Europe,Europe,Ancona,,,,,,,,5.0,Richter,43.8,13.3,03:42,,1972,2.0,4.0,1972,2.0,4.0,1.0,,450.0,,450.0,,,,,,,15.4322326700197,,,,
1972-0150-ITA,1972,150,,Natural,Geophysical,Earthquake,Ground movement,,,Italy,ITA,Southern Europe,Europe,Ancona,,,,,,,,4.0,Richter,43.8,13.3,16:06,,1972,6.0,21.0,1972,6.0,21.0,2.0,,,,,,,,,300000.0,1943983.0,15.4322326700197,,,,
1976-0037-ITA,1976,37,,Natural,Geophysical,Earthquake,Ground movement,,,Italy,ITA,Southern Europe,Europe,Friuli region,,,,,,,,7.0,Richter,46.356,13.275,21:00,,1976,5.0,6.0,1976,5.0,6.0,922.0,1750.0,111472.0,105000.0,218222.0,,,,,3600000.0,17141443.0,21.0017319046578,,,,
1976-0195-ITA,1976,195,,Natural,Geophysical,Earthquake,Ground movement,,,Italy,ITA,Southern Europe,Europe,Friuli,,,,Yes,No,No,,,Richter,,,,,1976,9.0,9.0,1976,9.0,9.0,12.0,,,32000.0,32000.0,,,,,,,21.0017319046578,,,,
1976-0196-ITA,1976,196,,Natural,Geophysical,Earthquake,Ground movement,,,Italy,ITA,Southern Europe,Europe,Northeastern,,,,,,,,,Richter,46.302,13.197,05:15,,1976,9.0,15.0,1976,9.0,15.0,11.0,,,,,,,,,,,21.0017319046578,,,,
1978-0057-ITA,1978,57,,Natural,Geophysical,Earthquake,Ground movement,,,Italy,ITA,Southern Europe,Europe,Sicily,,,,,,,,6.0,Richter,38.391,15.066,00:33,,1978,4.0,16.0,1978,4.0,16.0,5.0,,900.0,,900.0,,,,,,,24.0740345506232,,,,
