Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
1951-0042-ITA,1951,42,,Natural,Hydrological,Flood,,,,Italy,ITA,Southern Europe,Europe,Reggio Calabria,,,,,No,No,,,Km2,,,,,1951,10.0,16.0,1951,10.0,16.0,63.0,,,3500.0,3500.0,,,,,,,9.6005236345842,,,,
1951-0020-ITA,1951,20,,Natural,Hydrological,Flood,,,,Italy,ITA,Southern Europe,Europe,"Po river Valley, Polesine",,,,,No,No,,,Km2,,,,,1951,11.0,14.0,1951,11.0,14.0,100.0,,,170000.0,170000.0,,,,,300000.0,3124830.0,9.6005236345842,,,,
1953-0056-ITA,1953,56,,Natural,Hydrological,Flood,,,,Italy,ITA,Southern Europe,Europe,Catanzaro (Reggio Calabria),,,,,No,No,,,Km2,,,,,1953,10.0,21.0,1953,10.0,21.0,100.0,,,4000.0,4000.0,,,,,,,9.8959243618021,,,,
1965-0052-ITA,1965,52,,Natural,Hydrological,Flood,,,,Italy,ITA,Southern Europe,Europe,Rome to Sicily,,,,,,,,,Km2,,,,,1965,9.0,2.0,1965,9.0,2.0,55.0,,,,,,,,,,,11.6279903783075,,,,
1966-0086-ITA,1966,86,,Natural,Hydrological,Flood,,,,Italy,ITA,Southern Europe,Europe,"Florence, Venice",,,,Yes,No,No,,,Km2,,,,,1966,11.0,3.0,1966,11.0,3.0,70.0,,,1300000.0,1300000.0,,,,,2000000.0,16696460.0,11.9785873605948,,,,
1968-0081-ITA,1968,81,,Natural,Hydrological,Flood,,,,Italy,ITA,Southern Europe,Europe,"Piedmont, Asti, Biella, Novarra",,,,,No,No,,,Km2,,,,,1968,11.0,2.0,1968,11.0,2.0,72.0,,,3000.0,3000.0,,,,,,,12.8366149136235,,,,
1970-0055-ITA,1970,55,,Natural,Hydrological,Flood,Riverine flood,,,Italy,ITA,Southern Europe,Europe,Genoa provinces,,,,Yes,,,,,Km2,,,,,1970,10.0,7.0,1970,10.0,7.0,37.0,,1300000.0,1650.0,1301650.0,,,,,268300.0,1872535.0,14.3281696916685,,,,
1985-0081-ITA,1985,81,,Natural,Hydrological,Flood,Flash flood,,,Italy,ITA,Southern Europe,Europe,Cavalese-Stava (Dolomites),,Broken Dam/Burst bank,,,No,No,,,Km2,,,,,1985,7.0,19.0,1985,7.0,19.0,329.0,30.0,,,30.0,,,,,15000.0,37786.0,39.696934178876,,,,
1986-0031-ITA,1986,31,,Natural,Hydrological,Flood,,,,Italy,ITA,Southern Europe,Europe,Venice,,,,,,,,,Km2,,,,,1986,2.0,2.0,1986,2.0,2.0,2.0,,,,,,,,,20000.0,49443.0,40.4504089219331,,,,
1992-0266-ITA,1992,266,,Natural,Hydrological,Flood,Riverine flood,,,Italy,ITA,Southern Europe,Europe,Genoa,Heavy rain,,,,No,No,,,Km2,,,,,1992,9.0,28.0,1992,9.0,28.0,2.0,,,,,,,,,10000.0,19311.0,51.7831620380495,,,,
1992-0376-ITA,1992,376,,Natural,Hydrological,Flood,Riverine flood,,,Italy,ITA,Southern Europe,Europe,Toscane,Heavy rain,,,,No,No,,,Km2,,,,,1992,10.0,31.0,1992,10.0,31.0,,,1000.0,,1000.0,,,,,687300.0,1327265.0,51.7831620380495,,,,
1994-0557-ITA,1994,557,,Natural,Hydrological,Flood,Riverine flood,,,Italy,ITA,Southern Europe,Europe,"Piemont, Ligura, Cuneo, Tuscany, Piacenza",Heavy rain,,,,No,No,,90170.0,Km2,,,,Po,1994,11.0,1.0,1994,11.0,10.0,68.0,,7000.0,10300.0,17300.0,,,,,9300000.0,17001302.0,54.7016925431883,,,,
1996-0148-ITA,1996,148,,Natural,Hydrological,Flood,Flash flood,,,Italy,ITA,Southern Europe,Europe,"Tuscany, Lucca, Massa, Carrara, Udine, Florence, Veneto,Emiglia Romagni, Lombardia",Heavy rain,"Slide (land, mud, snow, rock)",,,No,No,,66760.0,Km2,,,,"Tagliamento, Seveso, Lambro",1996,6.0,19.0,1996,6.0,21.0,17.0,,300.0,,300.0,,,13000.0,22458.0,32000.0,55282.0,57.8847058823529,,,,
1996-0235-ITA,1996,235,,Natural,Hydrological,Flood,,,,Italy,ITA,Southern Europe,Europe,Cuneo Town,,,,,,,,,Km2,,,,,1996,10.0,9.0,1996,10.0,9.0,,,200.0,,200.0,,,,,,,57.8847058823529,,,,
2000-0577-ITA,2000,577,,Natural,Hydrological,Flood,Riverine flood,,,Italy,ITA,Southern Europe,Europe,"Soverato town (Catanzaro district, Calabria province)",,,,,,,,,Km2,,,,,2000,9.0,10.0,2000,9.0,10.0,16.0,22.0,,,22.0,,,,,,,63.5495473431008,2,,18323,Catanzaro (Adm2).
2000-0632-ITA,2000,632,,Natural,Hydrological,Flood,,,,Italy,ITA,Southern Europe,Europe,"Lodrone city (Trento district, Trentino-alto Adige province), Veneto province",,,,,,,,,Km2,,,,,2000,9.0,20.0,2000,9.0,20.0,,,1000.0,,1000.0,,,,,,,63.5495473431008,1;2,1635,18410,Veneto (Adm1). Trento (Adm2).
