Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
1965-0041-ITA,1965,41,,Natural,Meteorological,Storm,Convective storm,Tornado,,Italy,ITA,Southern Europe,Europe,North,,,,,,,,,Kph,,,,,1965,7.0,5.0,1965,7.0,5.0,37.0,,,,,,,,,,,11.6279903783075,,,,
1970-0047-ITA,1970,47,,Natural,Meteorological,Storm,Tropical cyclone,,,Italy,ITA,Southern Europe,Europe,Venice,,,,,,,,,Kph,,,,,1970,9.0,11.0,1970,9.0,11.0,35.0,,200.0,,200.0,,,,,3200.0,22334.0,14.3281696916685,,,,
1973-0001-ITA,1973,1,,Natural,Meteorological,Storm,,,,Italy,ITA,Southern Europe,Europe,South Sicily,,,,,,,,,Kph,,,,,1973,1.0,1.0,1973,1.0,1.0,24.0,,5000.0,,5000.0,,,,,360000.0,2197052.0,16.3855937021648,,,,
1973-0032-ITA,1973,32,,Natural,Meteorological,Storm,,,,Italy,ITA,Southern Europe,Europe,Riviera,,,,,,,,,Kph,,,,,1973,7.0,14.0,1973,7.0,14.0,14.0,,,,,,,,,,,16.3855937021648,,,,
1978-0082-ITA,1978,82,,Natural,Meteorological,Storm,Convective storm,Tornado,,Italy,ITA,Southern Europe,Europe,Udine,,,,,,,,,Kph,,,,,1978,6.0,25.0,1978,6.0,25.0,1.0,19.0,,,19.0,,,,,1000.0,4154.0,24.0740345506232,,,,
1987-0347-ITA,1987,347,,Natural,Meteorological,Storm,,,,Italy,ITA,Southern Europe,Europe,"Sondrio, Bergame, Come",,,,,,,,,Kph,,,,,1987,7.0,9.0,1987,7.0,9.0,24.0,,,,,,,,,625700.0,1492152.0,41.9327356221299,,,,
1987-0352-ITA,1987,352,,Natural,Meteorological,Storm,,,,Italy,ITA,Southern Europe,Europe,"North region, Alpes region",,,,,No,No,,,Kph,,,,,1987,8.0,24.0,1987,8.0,26.0,9.0,,,,,,,,,500000.0,1192386.0,41.9327356221299,,,,
1990-0723-ITA,1990,723,,Natural,Meteorological,Storm,,,Wiebke,Italy,ITA,Southern Europe,Europe,,,,,,No,No,,,Kph,,,,,1990,2.0,28.0,1990,3.0,1.0,6.0,,,,,,,,,20000.0,41478.0,48.2187972884321,,,,
1993-0212-ITA,1993,212,,Natural,Meteorological,Storm,,,,Italy,ITA,Southern Europe,Europe,Lombardi region,,Flood,,,No,No,,,Kph,,,,,1993,9.0,22.0,1993,9.0,25.0,8.0,,1000.0,,1000.0,,,,,625000.0,1172352.0,53.3116203804942,,,,
1994-0179-ITA,1994,179,,Natural,Meteorological,Storm,Convective storm,Tornado,,Italy,ITA,Southern Europe,Europe,"Genoa, Parma",,,,,,,,,Kph,,,,,1994,8.0,24.0,1994,8.0,24.0,3.0,100.0,,,100.0,,,,,,,54.7016925431883,,,,
