Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
1901-0004-JPN,1901,4,,Natural,Geophysical,Earthquake,Tsunami,,,Japan,JPN,Eastern Asia,Asia,Sanriku,Earthquake,Tsunami/Tidal wave,,,,,,8.0,Richter,40.5,142.5,03:33,,1901,8.0,10.0,1901,8.0,10.0,18.0,,,24.0,24.0,,,,,,,3.0770909085206,,,,
1905-0009-JPN,1905,9,,Natural,Geophysical,Earthquake,Ground movement,,,Japan,JPN,Eastern Asia,Asia,Aki,,,,,,,,8.0,Richter,34.0,132.0,14:39,,1905,6.0,2.0,1905,6.0,2.0,11.0,,177.0,,177.0,,,,,,,3.3232581812022,,,,
1905-0007-JPN,1905,7,,Natural,Geophysical,Earthquake,Tsunami,,,Japan,JPN,Eastern Asia,Asia,Fukushima,Earthquake,Tsunami/Tidal wave,,,,,,7.0,Richter,37.4,142.6,01:21,,1907,7.0,7.0,1907,7.0,7.0,41.0,,,,,,,,,,,3.3232581812022,,,,
1909-0021-JPN,1909,21,,Natural,Geophysical,Earthquake,Ground movement,,,Japan,JPN,Eastern Asia,Asia,Oomi,,Tsunami/Tidal wave,,,,,,7.0,Richter,35.4,136.3,15:30,,1909,8.0,14.0,1909,8.0,14.0,41.0,,,2928.0,2928.0,,,,,,,3.3232581812022,,,,
1911-0024-JPN,1911,24,,Natural,Geophysical,Earthquake,Ground movement,,,Japan,JPN,Eastern Asia,Asia,Ryukyu Islands,,,,,,,,8.0,Richter,28.0,130.0,23:26,,1911,6.0,15.0,1911,6.0,15.0,12.0,,,1266.0,1266.0,,,,,,,3.4463418175431,,,,
1914-0025-JPN,1914,25,,Natural,Geophysical,Earthquake,Ground movement,,,Japan,JPN,Eastern Asia,Asia,Akita Senboku,,,,,,,,7.0,Richter,39.2,139.8,05:00,,1914,3.0,16.0,1914,3.0,16.0,94.0,,,1920.0,1920.0,,,,,,,3.7048174538587,,,,
1922-0015-JPN,1922,15,,Natural,Geophysical,Earthquake,Ground movement,,,Japan,JPN,Eastern Asia,Asia,Kyushu,,,,,,,,,Richter,32.7,130.3,,,1922,12.0,8.0,1922,12.0,8.0,27.0,,,,,,,,,,,6.1911069079434,,,,
1923-0006-JPN,1923,6,,Natural,Geophysical,Earthquake,Ground movement,,,Japan,JPN,Eastern Asia,Asia,"Kanto plaine (Yokohama,Tokyo)",,Fire,Tsunami/Tidal wave,,,,,8.0,Richter,35.413,139.298,11:58,,1923,9.0,1.0,1923,9.0,1.0,143000.0,103733.0,100000.0,,203733.0,,,,,600000.0,9520965.0,6.3018821806502,,,,
1925-0011-JPN,1925,11,,Natural,Geophysical,Earthquake,Ground movement,,,Japan,JPN,Eastern Asia,Asia,Tajima (Honshu),,,,,,,,7.0,Richter,35.423,135.007,11:09,,1925,5.0,23.0,1925,5.0,23.0,395.0,,,9999.0,9999.0,,,,,,,6.4865076351614,,,,
1927-0004-JPN,1927,4,,Natural,Geophysical,Earthquake,Ground movement,,,Japan,JPN,Eastern Asia,Asia,"Tango, Honshu",,,,,,,,7.0,Richter,35.632,135.013,18:27,,1927,3.0,7.0,1927,3.0,7.0,3022.0,3295.0,29463.0,46782.0,79540.0,,,,,40000.0,622571.0,6.4249658169911,,,,
1930-0012-JPN,1930,12,,Natural,Geophysical,Earthquake,Ground movement,,,Japan,JPN,Eastern Asia,Asia,Idu (Honshu),,,,,,,,7.0,Richter,35.05,139.129,04:02,,1930,11.0,26.0,1930,11.0,26.0,259.0,1825.0,,24297.0,26122.0,,,,,,,6.1787985443093,,,,
1933-0001-JPN,1933,1,,Natural,Geophysical,Earthquake,Tsunami,,,Japan,JPN,Eastern Asia,Asia,Sanriku,Earthquake,,,,,,,8.0,Richter,39.224,144.622,02:1,,1933,3.0,3.0,1933,3.0,3.0,3000.0,,,,,,,,,,,4.787953453658,,,,
1939-0026-JPN,1939,26,,Natural,Geophysical,Earthquake,Ground movement,,,Japan,JPN,Eastern Asia,Asia,Honshu,,Tsunami/Tidal wave,,,,,,7.0,Richter,39.945,139.682,14:58,,1939,5.0,1.0,1939,5.0,1.0,27.0,52.0,,1437.0,1489.0,,,,,,,5.1448959990464,,,,
