Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
1910-0019-JPN,1910,19,,Natural,Hydrological,Flood,,,,Japan,JPN,Eastern Asia,Asia,,,,,,,,,,Km2,,,,,1910,8.0,6.0,1910,8.0,6.0,1379.0,,,,,,,,,,,3.4463418175431,,,,
1938-0017-JPN,1938,17,,Natural,Hydrological,Flood,,,,Japan,JPN,Eastern Asia,Asia,,,,,,,,,,Km2,,,,,1938,6.0,28.0,1938,6.0,28.0,933.0,,,,,,,,,,,5.2064378172168,,,,
1943-0028-JPN,1943,28,,Natural,Hydrological,Flood,,,,Japan,JPN,Eastern Asia,Asia,,,,,,,,,,Km2,,,,,1943,9.0,20.0,1943,9.0,20.0,990.0,,,,,,,,,,,6.4003490897228,,,,
1953-0013-JPN,1953,13,,Natural,Hydrological,Flood,,,,Japan,JPN,Eastern Asia,Asia,Most of the nation,,,,,,,,,Km2,,,,,1953,6.0,23.0,1953,6.0,23.0,2566.0,,1886760.0,,1886760.0,,,,,,,9.8959243618021,,,,
1965-0044-JPN,1965,44,,Natural,Hydrological,Flood,,,,Japan,JPN,Eastern Asia,Asia,West,,,,,,,,,Km2,,,,,1965,7.0,20.0,1965,7.0,20.0,28.0,,,,,,,,,,,11.6279903783075,,,,
1965-0056-JPN,1965,56,,Natural,Hydrological,Flood,,,,Japan,JPN,Eastern Asia,Asia,South,,,,,,,,,Km2,,,,,1965,9.0,18.0,1965,9.0,18.0,114.0,,3000000.0,,3000000.0,,,,,90000.0,773994.0,11.6279903783075,,,,
1967-0043-JPN,1967,43,,Natural,Hydrological,Flood,,,,Japan,JPN,Eastern Asia,Asia,Central,,,,,,,,,Km2,,,,,1967,7.0,7.0,1967,7.0,7.0,347.0,,,,,,,,,20000.0,162460.0,12.3107281871857,,,,
1967-0054-JPN,1967,54,,Natural,Hydrological,Flood,,,,Japan,JPN,Eastern Asia,Asia,"Niigata, Yamagata",,,,,,,,,Km2,,,,,1967,8.0,26.0,1967,8.0,26.0,142.0,34.0,117.0,,151.0,,,,,,,12.3107281871857,,,,
1972-0147-JPN,1972,147,,Natural,Hydrological,Flood,,,,Japan,JPN,Eastern Asia,Asia,,,,,,,,,,Km2,,,,,1972,7.0,3.0,1972,7.0,3.0,458.0,,,,,,,,,,,15.4322326700197,,,,
1977-0102-JPN,1977,102,,Natural,Hydrological,Flood,,,,Japan,JPN,Eastern Asia,Asia,"Central, Eastern",,,,,,,,,Km2,,,,,1977,8.0,6.0,1977,8.0,6.0,5.0,,,,,,,,,12000.0,53650.0,22.367198775421,,,,
1980-0296-JPN,1980,296,,Natural,Hydrological,Flood,,,,Japan,JPN,Eastern Asia,Asia,South West,,,,,,,,,Km2,,,,,1980,8.0,30.0,1980,8.0,30.0,20.0,,,,,,,,,,,30.4123857424011,,,,
1982-0086-JPN,1982,86,,Natural,Hydrological,Flood,,,,Japan,JPN,Eastern Asia,Asia,Nagasaki,,,,,,,,,Km2,,,,,1982,7.0,23.0,1982,7.0,23.0,345.0,347.0,27000.0,,27347.0,,,,,32000.0,89855.0,35.6128405860485,,,,
1988-0696-JPN,1988,696,,Natural,Hydrological,Flood,Riverine flood,,,Japan,JPN,Eastern Asia,Asia,,,,,,,,,,Km2,,,,,1988,7.0,9.0,1988,7.0,9.0,27.0,,,,,,,,,,,43.6426415919528,,,,
1990-0572-JPN,1990,572,,Natural,Hydrological,Flood,Riverine flood,,,Japan,JPN,Eastern Asia,Asia,Kyushu,,,,,No,No,,,Km2,,,,,1990,6.0,25.0,1990,7.0,4.0,27.0,81.0,,507.0,588.0,,,36200.0,75074.0,1700000.0,3525596.0,48.2187972884321,,,,
1993-0149-JPN,1993,149,,Natural,Hydrological,Flood,,,,Japan,JPN,Eastern Asia,Asia,Shimabara (Nagasaki prefecture),,,,,,,,,Km2,,,,,1993,4.0,29.0,1993,4.0,29.0,,,4800.0,,4800.0,,,,,,,53.3116203804942,,,,
1998-0248-JPN,1998,248,,Natural,Hydrological,Flood,Coastal flood,,,Japan,JPN,Eastern Asia,Asia,"Fukushima, Ibaraki, Tochigi, Saitama, Shizuoka prefectures",,,,,,,,,Km2,,,,,1998,8.0,26.0,1998,8.0,26.0,16.0,33.0,24000.0,,24033.0,,,,,,,60.1574108900066,,,,
1999-0243-JPN,1999,243,,Natural,Hydrological,Flood,Riverine flood,,,Japan,JPN,Eastern Asia,Asia,"Kobe, Nagasaki, Fukuoka (Hiroshima State)",Heavy rain,,,,No,No,,,Km2,,,,,1999,6.0,28.0,1999,6.0,30.0,45.0,28.0,24000.0,111.0,24139.0,,,,,107000.0,174058.0,61.473667176908,,,,
1999-0356-JPN,1999,356,,Natural,Hydrological,Flood,Riverine flood,,,Japan,JPN,Eastern Asia,Asia,Tokyo,,,,,,,,,Km2,,,,,1999,8.0,14.0,1999,8.0,14.0,15.0,,,,,,,,,,,61.473667176908,,,,
2000-0606-JPN,2000,606,,Natural,Hydrological,Flood,Coastal flood,,,Japan,JPN,Eastern Asia,Asia,"Aiti, Sizuoka, Mie, Gifu provinces",Tropical cyclone,"Slide (land, mud, snow, rock)",,,,,,,Km2,,,,"Shonai, Shin, Kiso, Ishigase, 8 rivers in Aichi prefecture",2000,9.0,10.0,2000,9.0,17.0,18.0,110.0,360000.0,,360110.0,,,990000.0,1557840.0,7440000.0,11707400.0,63.5495473431008,1,1651;1658;1672;1687,,"Aiti, Gifu, Mie, Sizuoka (Adm1)."
2003-0343-JPN,2003,343,,Natural,Hydrological,Flood,Riverine flood,,,Japan,JPN,Eastern Asia,Asia,"Minamata district (Kumamoto province), Hisikarityoo district (Kagosima province), Kinkaityoo district (Nagasaki province)",Torrential rains,"Slide (land, mud, snow, rock)",,,,,,8080.0,Km2,,,,"Minamata, Hogawachikawa",2003,7.0,19.0,2003,7.0,21.0,23.0,14.0,800.0,,814.0,,,,,7000.0,10311.0,67.8888956921058,2,,34720;34956;35396,"Hisikarityoo, Kinkaityoo, Minamatasi (Adm2)."
2004-0339-JPN,2004,339,,Natural,Hydrological,Flood,Flash flood,,,Japan,JPN,Eastern Asia,Asia,"Niigata, Hukusima provinces",Heavy rains,"Slide (land, mud, snow, rock)",,,,,,7060.0,Km2,,,,,2004,7.0,12.0,2004,7.0,14.0,21.0,7.0,20000.0,5800.0,25807.0,,,279000.0,400250.0,1950000.0,2797446.0,69.7064421605073,1,1657;1678,,"Hukusima, Niigata (Adm1)."
2004-0563-JPN,2004,563,,Natural,Hydrological,Flood,Riverine flood,,,Japan,JPN,Eastern Asia,Asia,Sizuoka province,Heavy rains,,,,,,,,Km2,,,,,2004,11.0,11.0,2004,11.0,12.0,1.0,,2290.0,,2290.0,,,,,,,69.7064421605073,1,1687,,Sizuoka (Adm1).
2005-0394-JPN,2005,394,,Natural,Hydrological,Flood,Riverine flood,,,Japan,JPN,Eastern Asia,Asia,Niigata province,Heavy rains,,,,,,,,Km2,,,,,2005,6.0,28.0,2005,6.0,28.0,,,900.0,,900.0,,,,,,,72.0714104526569,1,1678,,Niigata (Adm1).
2006-0378-JPN,2006,378,,Natural,Hydrological,Flood,Riverine flood,,,Japan,JPN,Eastern Asia,Asia,"Matumotosi, Okayasi, Minowamati districts (Nagano province), Izumosi district (Simane province), Aminotyoo, Kumihamatyoo, Oomiyatyoo, Tangotyoo, Yasakatyoo districts (Kyooto province), Tateyamamati district (Toyama province)",Heavy rain,"Slide (land, mud, snow, rock)",,,,,,47890.0,Km2,35.34,136.22,,Tenryu river,2006,6.0,19.0,2006,7.0,20.0,34.0,32.0,6200.0,,6232.0,,,,,,,74.3963874917997,2,,35011;35024;35047;35053;35061;35295;35300;35319;36066;36409,"Aminotyoo, Izumosi, Kumihamatyoo, Matumotosi, Minowamati, Okayasi, Oomiyatyoo, Tangotyoo, Tateyamamati, Yasakatyoo (Adm2)."
2006-0390-JPN,2006,390,,Natural,Hydrological,Flood,Riverine flood,,,Japan,JPN,Eastern Asia,Asia,"Akunesi district (Kagoshima province), Minamatasi district (Kumamoto province)",Heavy rain,"Slide (land, mud, snow, rock)",,,,,,6130.0,Km2,31.54,130.99,,Minimata river,2006,7.0,22.0,2006,7.0,26.0,8.0,,4300.0,,4300.0,,,,,,,74.3963874917997,2,,34711;34956,"Akunesi, Minamatasi (Adm2)."
2007-0319-JPN,2007,319,,Natural,Hydrological,Flood,Riverine flood,,,Japan,JPN,Eastern Asia,Asia,"Ehime, Hukuoka, Kagawa, Kagosima, Kooti, Kumamoto, Miyazaki, Nagasaki, Ooita, Saga, Tokusima provinces",Heavy rains,"Slide (land, mud, snow, rock)",,,,,,2670.0,Km2,,,,,2007,7.0,4.0,2007,7.0,12.0,2.0,,10000.0,,10000.0,,,,,,,76.5186792040236,1,1654;1656;1666;1667;1669;1670;1674;1676;1679;1683;1689,,"Ehime, Hukuoka, Kagawa, Kagosima, Kooti, Kumamoto, Miyazaki, Nagasaki, Ooita, Saga, Tokusima (Adm1)."
2008-0293-JPN,2008,293,FL-2008-000120,Natural,Hydrological,Flood,Riverine flood,,,Japan,JPN,Eastern Asia,Asia,"Koobesi_Higasinadaku, Koobesi_Hyoogoku, Koobesi_Kitaku, Koobesi_Nadaku, Koobesi_Nagataku, Koobesi_Nisiku, Koobesi_Sumaku, Koobesi_Tarumiku, Koobesi_Tyuuooku districts (Hyoogo province), Kanazawasi district (Isikawa province)",Torrential rain,,,,,,,52420.0,Km2,35.88,136.38,,Togagawa river,2008,7.0,28.0,2008,7.0,29.0,5.0,3.0,50000.0,,50003.0,,,,,,,79.4563043953641,2,,34424;34425;34426;34427;34428;34429;34430;34431;34432;34570,"Kanazawasi, Koobesi_Higasinadaku, Koobesi_Hyoogoku, Koobesi_Kitaku, Koobesi_Nadaku, Koobesi_Nagataku, Koobesi_Nisiku, Koobesi_Sumaku, Koobesi_Tarumiku, Koobesi_Tyuuooku (Adm2)."
2010-0311-JPN,2010,311,,Natural,Hydrological,Flood,Riverine flood,,,Japan,JPN,Eastern Asia,Asia,"Gifu, Simane, Hirosima provinces",Heavy rains,,,,,,,,Km2,,,,,2010,7.0,18.0,2010,7.0,18.0,10.0,,,,,,,,,,,80.472285151979,1,1658;1660;1686,,"Gifu, Hirosima, Simane (Adm1)."
2011-0663-JPN,2011,663,,Natural,Hydrological,Flood,,,,Japan,JPN,Eastern Asia,Asia,"Yasudamati, Kamosi districts (Niigata province), Hukusima province",Heavy rains,Broken Dam/Burst bank,"Slide (land, mud, snow, rock)",,,,,,Km2,,,,,2011,7.0,29.0,2011,7.0,31.0,6.0,,2000.0,,2000.0,,,,,,,83.0126743931774,1;2,1657,35515;35596,"Hukusima (Adm1). Kamosi, Yasudamati (Adm2)."
2012-0195-JPN,2012,195,,Natural,Hydrological,Flood,Riverine flood,,,Japan,JPN,Eastern Asia,Asia,"Kumamoto, Ooita provinces",,"Slide (land, mud, snow, rock)",,,,,,,Km2,,,,,2012,7.0,12.0,2012,7.0,13.0,30.0,,48135.0,,48135.0,,,,,1400000.0,1652298.0,84.7304788978789,1,1670;1679,,"Kumamoto, Ooita (Adm1)."
2013-0265-JPN,2013,265,,Natural,Hydrological,Flood,Riverine flood,,,Japan,JPN,Eastern Asia,Asia,"Simane, Yamaguti provinces",,"Slide (land, mud, snow, rock)",,,,,,,Km2,,,,,2013,7.0,28.0,2013,7.0,28.0,5.0,,3633.0,,3633.0,,,,,2000.0,2326.0,85.9716422479773,1,1686;1696,,"Simane, Yamaguti (Adm1)."
2015-0418-JPN,2015,418,,Natural,Hydrological,Flood,Riverine flood,,,Japan,JPN,Eastern Asia,Asia,"Joso city (Mitukaidoosi district, Ibaraki province), Miyagi, Totigi provinces","Heavy rains, tropical storm Etau","Slide (land, mud, snow, rock)",,,,,,,Km2,,,,"Kinugawa, Yoshida",2015,9.0,9.0,2015,9.0,11.0,21.0,46.0,45000.0,,45046.0,,,650000.0,743113.0,1400000.0,1600550.0,87.4699322108025,1;2,1673;1688,34520,"Miyagi, Totigi (Adm1). Mitukaidoosi (Adm2)."
2016-0221-JPN,2016,221,,Natural,Hydrological,Flood,,,,Japan,JPN,Eastern Asia,Asia,Kumamoto province,Torrential rain,"Slide (land, mud, snow, rock)",,,,,,18481.0,Km2,32.603,130.99,,,2016,6.0,20.0,2016,6.0,23.0,7.0,,6000.0,,6000.0,,,,,,,88.573452875574,1,1670,,Kumamoto (Adm1).
2017-0246-JPN,2017,246,,Natural,Hydrological,Flood,Riverine flood,,,Japan,JPN,Eastern Asia,Asia,"Fukuoka (Asakura), Oita prefectures (Kyushu Isl.), Shimane, Kunamoto, Hiroshima, Nagasaki, Miyazaki, Kagoshima",Tropical Storm Nanmadol,"Slide (land, mud, snow, rock)",,,,,,,Km2,,,,Kagetsu,2017,7.0,6.0,2017,7.0,7.0,37.0,34.0,2610.0,300.0,2944.0,,,140000.0,154764.0,700000.0,773821.0,90.4601793133611,1,1656;1660;1667;1670;1674;1676;1679;1686,,"Hirosima, Hukuoka, Kagosima, Kumamoto, Miyazaki, Nagasaki, Ooita, Simane (Adm1)."
2018-0190-JPN,2018,190,FL-2018-000082,Natural,Hydrological,Flood,,,,Japan,JPN,Eastern Asia,Asia,"Kochi, Gifu,Nagano prefectures, Tokushima; Okayama, Hiroshima; Chugoku, Kansai, Kyushu regions",Tropical Storm Praipiroon,"Slide (land, mud, snow, rock)",,Yes,,,,109672.0,Km2,35.65,137.895,,,2018,6.0,29.0,2018,7.0,8.0,246.0,102.0,1500000.0,,1500102.0,,,2400000.0,2589844.0,9500000.0,10251466.0,92.6696698010059,1,1658;1660;1669;1675;1680;1689,,"Gifu, Hirosima, Kooti, Nagano, Okayama, Tokusima (Adm1)."
2019-0289-JPN,2019,289,,Natural,Hydrological,Flood,,,,Japan,JPN,Eastern Asia,Asia,"Kyushu and Amami Islands; Kagoshima, Kirishima, Aira cities (Kagoshima Prefecture); Miyazaki, Kumamoto, Ishikawa prefectures",Torrential rains; Meiyu front (Baiu font),,,,,,,32382.0,Km2,32.591,130.866,,,2019,6.0,29.0,2019,7.0,4.0,2.0,,600.0,,600.0,,,,,,,94.3490924994534,1,1656;1664;1667;1670;1674;1676;1679;1683,,"Hukuoka, Isikawa, Kagosima, Kumamoto, Miyazaki, Nagasaki, Ooita, Saga (Adm1)."
2019-0409-JPN,2019,409,,Natural,Hydrological,Flood,,,,Japan,JPN,Eastern Asia,Asia,"Fukuoka, Nagasaki, Takeo City, Saga Prefecture (Kyushu Island)",Heavy rains,"Slide (land, mud, snow, rock)",,,,,,10883.0,Km2,32.951,130.545,,,2019,8.0,27.0,2019,8.0,29.0,1.0,2.0,300.0,,302.0,,,,,100000.0,105989.0,94.3490924994534,1;2,1656;1676,35898,"Hukuoka, Nagasaki (Adm1). Takeosi (Adm2)."
