Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
1934-0008-JPN,1934,8,,Natural,Meteorological,Storm,Tropical cyclone,,,Japan,JPN,Eastern Asia,Asia,Muruto,,,,,No,No,,,Kph,,,,,1934,9.0,21.0,1934,9.0,21.0,3006.0,,,,,,,,,50000.0,1010517.0,4.9479621809012,,,,
1945-0002-JPN,1945,2,,Natural,Meteorological,Storm,Tropical cyclone,,Makurazaki,Japan,JPN,Eastern Asia,Asia,"Kyushu, Kanto",,,,,,,,,Kph,,,,,1945,9.0,18.0,1945,9.0,18.0,3746.0,,1340691.0,,1340691.0,,,,,400000.0,6007066.0,6.6588247260385,,,,
1947-0009-JPN,1947,9,,Natural,Meteorological,Storm,Tropical cyclone,,Catherine,Japan,JPN,Eastern Asia,Asia,Honshu Island,,,,,,,,,Kph,,,,,1947,9.0,15.0,1947,9.0,15.0,1930.0,,,,,,,,,,,8.2589119984693,,,,
1953-0018-JPN,1953,18,,Natural,Meteorological,Storm,Tropical cyclone,,,Japan,JPN,Eastern Asia,Asia,Nagoya,,,,,,,,,Kph,,,,,1953,9.0,25.0,1953,9.0,25.0,250.0,,1000000.0,,1000000.0,,,,,,,9.8959243618021,,,,
1954-0019-JPN,1954,19,,Natural,Meteorological,Storm,Tropical cyclone,,,Japan,JPN,Eastern Asia,Asia,North Japan,,,,,,,,,Kph,,,,,1954,9.0,26.0,1954,9.0,26.0,1761.0,,,,,,,,,,,9.9328494527043,,,,
1958-0011-JPN,1958,11,,Natural,Meteorological,Storm,Tropical cyclone,,,Japan,JPN,Eastern Asia,Asia,Tokyo,,,,,,,,,Kph,,,,,1958,9.0,21.0,1958,9.0,21.0,681.0,,,,,,,,,,,10.6500240542314,,,,
1958-0012-JPN,1958,12,,Natural,Meteorological,Storm,Tropical cyclone,,Ida,Japan,JPN,Eastern Asia,Asia,Central Honshu,,,,,,,,,Kph,,,,,1958,9.0,27.0,1958,9.0,27.0,1175.0,,,,,,,,,,,10.6500240542314,,,,
1959-0013-JPN,1959,13,,Natural,Meteorological,Storm,Tropical cyclone,,Vera,Japan,JPN,Eastern Asia,Asia,Entire nation,,,,,No,No,,,Kph,,,,,1959,9.0,26.0,1959,9.0,26.0,5098.0,,1500000.0,,1500000.0,,,,,600000.0,5577419.0,10.75766455281,,,,
1961-0011-JPN,1961,11,,Natural,Meteorological,Storm,Tropical cyclone,,,Japan,JPN,Eastern Asia,Asia,Honshu + other Isles,,,,,,,,,Kph,,,,,1961,9.0,16.0,1961,9.0,16.0,202.0,,,,,,,,,,,11.0313667176908,,,,
1965-0036-JPN,1965,36,,Natural,Meteorological,Storm,Tropical cyclone,,Dinah,Japan,JPN,Eastern Asia,Asia,,,,,,,,,,Kph,,,,,1965,6.0,10.0,1965,6.0,10.0,61.0,,30000.0,,30000.0,,,,,,,11.6279903783075,,,,
