Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
1993-0037-KAZ,1993,37,,Natural,Hydrological,Flood,Riverine flood,,,Kazakhstan,KAZ,Central Asia,Asia,"Embinskyi, Kzylkoginskyi, Denizskiyi districts (Atyrauskaya region), Zapadna-Kazakhstanskaya and Aktjubinskaya Regions",Snowmelt and Heavy rains,,,,No,No,353.0,213200.0,Km2,,,,,1993,5.0,26.0,1993,6.0,4.0,10.0,,30000.0,,30000.0,,,,,36532.0,68525.0,53.3116203804942,,,,
2001-0774-KAZ,2001,774,,Natural,Hydrological,Flood,,,,Kazakhstan,KAZ,Central Asia,Asia,"Glubokovskiy, Ulan districts (Vostochno-kazachstanskaya province)",,,,,,,,,Km2,,,,,2001,5.0,13.0,2001,5.0,13.0,,,3668.0,,3668.0,,,,,,,65.345558714192,2,,37296;37304,"Glubokovskiy, Ulan (Adm2)."
2005-0116-KAZ,2005,116,,Natural,Hydrological,Flood,Flash flood,,,Kazakhstan,KAZ,Central Asia,Asia,Kyzylordinskaya province,Dam/levy break or release,,,,,,,,Km2,,,,Syr Darya,2005,2.0,24.0,2005,3.0,23.0,,,25000.0,,25000.0,,,,,7662.0,10631.0,72.0714104526569,1,1721,,Kyzylordinskaya (Adm1).
2008-0095-KAZ,2008,95,FL-2008-000032,Natural,Hydrological,Flood,Riverine flood,,,Kazakhstan,KAZ,Central Asia,Asia,"Saryaghash, Ordabasy, Arys, Shymkent City area, Shardara districts (Yujno-kazachstanskaya province), Kyzylordinskaya province",Heavy rain and snowmelt,,,,,,416.0,51580.0,Km2,42.3,68.55,,Syr Darya,2008,2.0,20.0,2008,3.0,3.0,1.0,,13000.0,,13000.0,,,,,130000.0,163612.0,79.4563043953641,1;2,1721,37309;37313;37316;37318;37319,"Kyzylordinskaya (Adm1). Arys, Ordabasy, Saryaghash, Shardara, Shymkent City area (Adm2)."
2010-0291-KAZ,2010,291,,Natural,Hydrological,Flood,Riverine flood,,,Kazakhstan,KAZ,Central Asia,Asia,"Tarbagatay, Abay, Kurshum, Zaysan, Ulan districts (Vostochno-kazachstanskaya province)",,,,,,,,,Km2,,,,,2010,3.0,17.0,2010,3.0,24.0,,,8000.0,5000.0,13000.0,,,,,,,80.472285151979,2,,37292;37299;37303;37304;37306,"Abay, Kurshum, Tarbagatay, Ulan, Zaysan (Adm2)."
2011-0178-KAZ,2011,178,FL-2011-000038,Natural,Hydrological,Flood,Riverine flood,,,Kazakhstan,KAZ,Central Asia,Asia,"Oural city (Zelyenov district, Zapadno-kazachstanskaya province), Akzhaiyk, Burly, Kaztalov, Shyngyrlau, Taskala, Terekty districts (Zapadno-kazachstanskaya province)",Abundant snowmelt and heavy rains,,,,,,,213195.0,Km2,51.448,53.67,,,2011,4.0,9.0,2011,4.0,15.0,2.0,,12238.0,3762.0,16000.0,,,,,67000.0,80711.0,83.0126743931774,2,,37324;37325;37327;37328;37330;37331;37333,"Akzhaiyk, Burly, Kaztalov, Shyngyrlau, Taskala, Terekty, Zelyenov (Adm2)."
2012-0059-KAZ,2012,59,FL-2012-000030,Natural,Hydrological,Flood,Riverine flood,,,Kazakhstan,KAZ,Central Asia,Asia,"Ordabasy, Arys, Otyrar, Kazygurt, Baydibek, Sayram, Tolebi districts (Yujno-kazachstanskaya province)",Quick snow melting and heavy rains,,,,,,,,Km2,,,,,2012,2.0,18.0,2012,2.0,20.0,,,9400.0,,9400.0,,,,,,,84.7304788978789,2,,37309;37310;37311;37313;37315;37317;37321,"Arys, Baydibek, Kazygurt, Ordabasy, Otyrar, Sayram, Tolebi (Adm2)."
2014-0123-KAZ,2014,123,,Natural,Hydrological,Flood,Flash flood,,,Kazakhstan,KAZ,Central Asia,Asia,"Kokpekty village (Bukhar-Zhyrau district, Karagandinskaya province)","Dam burst, snowmelt",,,,,,,213897.0,Km2,48.4049,65.59,,,2014,3.0,23.0,2014,4.0,15.0,5.0,9.0,2700.0,,2709.0,,,,,,,87.3662978351193,2,,37227,Bukhar-Zhyrau (Adm2).
2015-0154-KAZ,2015,154,FL-2015-000039,Natural,Hydrological,Flood,Flash flood,,,Kazakhstan,KAZ,Central Asia,Asia,"Temirtaou city (Bukhar-Zhyrau district, Karagandinskaya province), Karkaraly, Shet, Abay district (Karagandinskaya province), Akmolinskaya, Pavlodarskaya provinces","Sudden rise of temperature, snow melt",,,,,Yes,,,Km2,,,,,2015,4.0,8.0,2015,4.0,12.0,2.0,,12670.0,,12670.0,,,,,5300.0,6059.0,87.4699322108025,1;2,1714;1725,37225;37227;37228;37231,"Akmolinskaya, Pavlodarskaya (Adm1). Abay, Bukhar-Zhyrau, Karkaraly, Shet (Adm2)."
2017-0220-KAZ,2017,220,FL-2017-000040,Natural,Hydrological,Flood,Riverine flood,,,Kazakhstan,KAZ,Central Asia,Asia,"Akmola (Atsbasar), Aktobe, East Kazakhstan, Zhambyl, Karaganda, Kostanay, and North regions",Snowmelt,,,,,,,397488.0,Km2,51.254,70.047,,,2017,4.0,14.0,2017,4.0,21.0,,,7000.0,,7000.0,,,,,,,90.4601793133611,1,1714;1715;1718;1719;1720;1726;1727,,"Akmolinskaya, Aktyubinskaya, Jambylslkaya, Karagandinskaya, Kustanayskaya, Severo-kazachstanskaya, Vostochno-kazachstanskaya (Adm1)."
