Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
1990-0352-KEN,1990,352,,Natural,Hydrological,Flood,Riverine flood,,,Kenya,KEN,Eastern Africa,Africa,,,,,,No,No,,,Km2,,,,,1990,4.0,14.0,1990,4.0,15.0,44.0,,,,,,,,,,,48.2187972884321,,,,
1996-0474-KEN,1996,474,,Natural,Hydrological,Flood,Riverine flood,,,Kenya,KEN,Eastern Africa,Africa,Nyanza province,Heavy rains,,,,No,No,,,Km2,,,,,1996,4.0,6.0,1996,4.0,11.0,,,,1000.0,1000.0,,,,,,,57.8847058823529,,,,
2001-0032-KEN,2001,32,,Natural,Hydrological,Flood,Riverine flood,,,Kenya,KEN,Eastern Africa,Africa,Nairobi district (Nairobi province),Heavy rain,,,,,,,,Km2,,,,,2001,1.0,13.0,2001,1.0,14.0,4.0,,,,,,,,,38.0,58.0,65.345558714192,2,,51360,Nairobi (Adm2).
2002-0265-KEN,2002,265,,Natural,Hydrological,Flood,Riverine flood,,,Kenya,KEN,Eastern Africa,Africa,"Migori, Kisumu, Nyando, Rachuonyo districts (Nyanza province), Kirinyaga, Muranga, Thika districts (Central province), Busia districts (Western province), Ijara district (North Eastern province)",Heavy rain,"Slide (land, mud, snow, rock)",,,,,5621.0,,Km2,,,,"Mara, Tana, Sabaki",2002,4.0,26.0,2002,5.0,28.0,53.0,8.0,150000.0,,150008.0,,,,,,,66.3819636999782,2,,51334;51336;51339;51354;51355;51356;51362;51369;51371;51373;51374;51396,"Busia, Ijara, Kirinyaga, Kisumu, Meru Central, Meru North, Meru South, Migori, Muranga, Nyando, Rachuonyo, Thika (Adm2)."
2002-0689-KEN,2002,689,,Natural,Hydrological,Flood,Riverine flood,,,Kenya,KEN,Eastern Africa,Africa,"Madogo area (Tana River district, Coast province), Kinango area (Kwale district, Coast province)",Heavy rain,,,,,,,77900.0,Km2,,,,,2002,10.0,29.0,2002,11.0,4.0,14.0,,20000.0,,20000.0,,,,,,,66.3819636999782,2,,51341;51346,"Kwale, Tana River (Adm2)."
2002-0711-KEN,2002,711,,Natural,Hydrological,Flood,Flash flood,,,Kenya,KEN,Eastern Africa,Africa,Kiambu district (Central province),"Dam/levy, break or release",,,,,,,920.0,Km2,,,,Riara,2002,11.0,17.0,2002,11.0,20.0,12.0,,2000.0,,2000.0,,,,,,,66.3819636999782,2,,51333,Kiambu (Adm2).
2002-0800-KEN,2002,800,,Natural,Hydrological,Flood,Riverine flood,,,Kenya,KEN,Eastern Africa,Africa,"Marigat area (Baringo district, Rift Valley province)",Heavy rain,,,,,,,750.0,Km2,,,,Perkerra,2002,12.0,21.0,2002,12.0,23.0,6.0,,3000.0,,3000.0,,,,,,,66.3819636999782,2,,51377,Baringo (Adm2).
2003-0729-KEN,2003,729,,Natural,Hydrological,Flood,Riverine flood,,,Kenya,KEN,Eastern Africa,Africa,Kisumu district (Nyanza province),Heavy rains,,,,,,,390.0,Km2,,,,Auji,2003,1.0,4.0,2003,1.0,6.0,,,300.0,,300.0,,,,,,,67.8888956921058,2,,51369,Kisumu (Adm2).
2004-0194-KEN,2004,194,,Natural,Hydrological,Flood,Riverine flood,,,Kenya,KEN,Eastern Africa,Africa,"Nairobi district (Nairobi province), Tana River, Taita Taveta districts (Coast province), Nakuru, Baringo, Turkana, Marakwet districts (Rift Valley province), Machakos district (Eastern province), Nyamira, Nyando, Rachuonyo, Kisumu, Migori, Homa Bay districts (Nyanza province)",Heavy rains,"Slide (land, mud, snow, rock)",,,,,,268300.0,Km2,,,,"Nyando, Mahenya, Sondu-Miriu, Sio, Awach, Ombeyi, Migori and Kuja, Tonde, Chemoron, Endao, Miriu, Athi, Nzoia, Thirikwa, Ndarugu, Thiriku, Ruamuthambi, Kirichwa, Ruarakaother, Athi",2004,4.0,9.0,2004,5.0,11.0,50.0,,10000.0,,10000.0,,,,,,,69.7064421605073,2,,51345;51346;51350;51360;51368;51369;51371;51372;51373;51374;51377;51385;51386;51392,"Baringo, Homa Bay, Kisumu, Machakos, Marakwet, Migori, Nairobi, Nakuru, Nyamira, Nyando, Rachuonyo, Taita Taveta, Tana River, Turkana (Adm2)."
2004-0152-KEN,2004,152,,Natural,Hydrological,Flood,Flash flood,,,Kenya,KEN,Eastern Africa,Africa,"Nyando district (Nyanza province), Busia district (Western province)",Heavy rain,,,,,,,8880.0,Km2,,,,Nyando,2004,4.0,9.0,2004,4.0,12.0,4.0,,2000.0,,2000.0,,,,,,,69.7064421605073,2,,51373;51396,"Busia, Nyando (Adm2)."
