Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
1995-0182-PRK,1995,182,,Natural,Hydrological,Flood,Riverine flood,,,Korea (the Democratic People's Republic of),PRK,Eastern Asia,Asia,"Chagan, Huichun, Pyongyang, Hwanghae provinces",Heavy rain,,,Yes,No,No,31518.0,120700.0,Km2,,,,"Yalu, Amnok",1995,8.0,1.0,1995,9.0,8.0,68.0,,5200000.0,500000.0,5700000.0,,,,,15000000.0,26673163.0,56.2363000218675,,,,
1996-0105-PRK,1996,105,,Natural,Hydrological,Flood,,,,Korea (the Democratic People's Republic of),PRK,Eastern Asia,Asia,"Sinuiju, Pakchon, Chongju (N.Pyongan province), Huichon, Kopung, Tongsin (Chagang Province), Unpa, Rinsan, Sinpyong, Singye (N.Hwanghae Province), Paechon (S.Hwanghae Province), Ichon, Cholwon (Kangwon Province)",,"Slide (land, mud, snow, rock)",,,No,No,,2500.0,Km2,,,,,1996,7.0,26.0,1996,7.0,31.0,116.0,,3270000.0,,3270000.0,,,,,2200000.0,3800659.0,57.8847058823529,,,,
1997-0205-PRK,1997,205,,Natural,Hydrological,Flood,Coastal flood,,,Korea (the Democratic People's Republic of),PRK,Eastern Asia,Asia,"North Pyongyang, South Pyongyang & South Hwanghae Prov.",,,,,,,,9.0,Km2,,,,,1997,8.0,21.0,1997,8.0,21.0,,,,29000.0,29000.0,,,,,,,59.2378657336541,,,,
1998-0272-PRK,1998,272,,Natural,Hydrological,Flood,Riverine flood,,,Korea (the Democratic People's Republic of),PRK,Eastern Asia,Asia,"Jongpyong, Kowan, Riwon, Sinhung counties (Hamgyong province)",,,,,,,,430.0,Km2,,,,,1998,8.0,27.0,1998,8.0,27.0,50.0,172.0,10000.0,,10172.0,,,,,,,60.1574108900066,,,,
1999-0248-PRK,1999,248,,Natural,Hydrological,Flood,Flash flood,,,Korea (the Democratic People's Republic of),PRK,Eastern Asia,Asia,"Kaesong, Kaepung, Panmun, Changpung (cities) Level 1 = Kaesong",Brief torrential rain,,,,No,No,,1400.0,Km2,,,,,1999,7.0,30.0,1999,8.0,8.0,42.0,94.0,39136.0,2905.0,42135.0,,,,,2000.0,3253.0,61.473667176908,,,,
2001-0410-PRK,2001,410,,Natural,Hydrological,Flood,Riverine flood,,,Korea (the Democratic People's Republic of),PRK,Eastern Asia,Asia,"Pyonggang district (Kangwon-do province), Baechon district (Hwanghae province)",Heavy rain,,,,,,,5050.0,Km2,,,,,2001,8.0,1.0,2001,8.0,4.0,10.0,,,10000.0,10000.0,,,,,,,65.345558714192,2,,39586;39628,"Baechon, Pyonggang (Adm2)."
2001-0571-PRK,2001,571,,Natural,Hydrological,Flood,Flash flood,,,Korea (the Democratic People's Republic of),PRK,Eastern Asia,Asia,"Kangwon-do, Hamgyong-namdo, Hamgyong-bukto provinces",Brief torrential rain,Rain,,,,,2350.0,13150.0,Km2,,,,,2001,10.0,9.0,2001,10.0,11.0,114.0,84.0,157500.0,20000.0,177584.0,,,,,9400.0,14385.0,65.345558714192,1,1056;1058;1062,,"Hamgyong-bukto, Hamgyong-namdo, Kangwon-do (Adm1)."
2002-0478-PRK,2002,478,,Natural,Hydrological,Flood,Riverine flood,,,Korea (the Democratic People's Republic of),PRK,Eastern Asia,Asia,"P'yongan-namdo, Hwanghae-namdo provinces",Heavy rain,,,,,,,37.0,Km2,,,,Saenae,2002,8.0,5.0,2002,8.0,11.0,,436.0,38370.0,19637.0,58443.0,,,,,,,66.3819636999782,1,1063;1064,,"Hwanghae-namdo, P'yongan-namdo (Adm1)."
2004-0381-PRK,2004,381,,Natural,Hydrological,Flood,Riverine flood,,,Korea (the Democratic People's Republic of),PRK,Eastern Asia,Asia,"P'yongan-bukto, P'yongan-namdo, Chagang-do, Hwanghae-bukto, Hwanghae-namdo, Kangwon-do, Yanggang-do provinces",Monsoonal rain,,,,,,,,Km2,,,,,2004,7.0,24.0,2004,7.0,25.0,24.0,,,199255.0,199255.0,,,,,20000.0,28692.0,69.7064421605073,1,1054;1056;1059;1060;1063;1064;1065,,"Chagang-do, Hwanghae-bukto, Hwanghae-namdo, Kangwon-do, P'yongan-bukto, P'yongan-namdo, Yanggang-do (Adm1)."
2004-0500-PRK,2004,500,,Natural,Hydrological,Flood,Riverine flood,,,Korea (the Democratic People's Republic of),PRK,Eastern Asia,Asia,"Hwanghae-namdo, Hwanghae-bukto, P'yongan-namdo provinces",Heavy rains,,,,,,,,Km2,,,,,2004,9.0,11.0,2004,9.0,13.0,,,450.0,,450.0,,,,,,,69.7064421605073,1,1059;1063;1064,,"Hwanghae-bukto, Hwanghae-namdo, P'yongan-namdo (Adm1)."
