Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
1993-0473-PRK,1993,473,,Natural,Meteorological,Storm,Tropical cyclone,,Robyn,Korea (the Democratic People's Republic of),PRK,Eastern Asia,Asia,Eastern and Southern coast,,,,,No,No,,304.0,Kph,,,,,1993,8.0,8.0,1993,8.0,10.0,6.0,,2500.0,,2500.0,,,,,110000.0,206334.0,53.3116203804942,,,,
1997-0180-PRK,1997,180,,Natural,Meteorological,Storm,Tropical cyclone,,Winnie,Korea (the Democratic People's Republic of),PRK,Eastern Asia,Asia,,,,,,No,No,,,Kph,,,,,1997,8.0,18.0,1997,8.0,19.0,,,,,,,,,,10.0,17.0,59.2378657336541,,,,
2000-0572-PRK,2000,572,,Natural,Meteorological,Storm,Tropical cyclone,,"Prapiroon ""12""",Korea (the Democratic People's Republic of),PRK,Eastern Asia,Asia,"Kangwon-do, Hamgyong-bukto, Hamgyong-namdo, Yanggang-do, P'yongan-bukto, Hwanghae-bukto, Kaesong-si provinces",,Surge,,,Yes,,466.0,,Kph,,,,,2000,8.0,31.0,2000,9.0,4.0,46.0,180.0,480000.0,147000.0,627180.0,,,,,6000000.0,9441452.0,63.5495473431008,1,1055;1056;1058;1059;1060;1062;1065,,"Hamgyong-bukto, Hamgyong-namdo, Hwanghae-bukto, Kaesong-si, Kangwon-do, P'yongan-bukto, Yanggang-do (Adm1)."
2002-0561-PRK,2002,561,,Natural,Meteorological,Storm,Tropical cyclone,,Rusa,Korea (the Democratic People's Republic of),PRK,Eastern Asia,Asia,"Tongchon, Anbyon, Kosong districts (Kangwon-do province)",,,,,,,133.0,,Kph,,,,,2002,8.0,31.0,2002,9.0,6.0,3.0,,7401.0,,7401.0,,,,,500.0,753.0,66.3819636999782,2,,39615;39624;39630,"Anbyon, Kosong, Tongchon (Adm2)."
2007-0457-PRK,2007,457,TC-2007-000162,Natural,Meteorological,Storm,Tropical cyclone,,Wipha/Goring,Korea (the Democratic People's Republic of),PRK,Eastern Asia,Asia,"Hwanghae-bukto, Hwanghae-namdo provinces",,Flood,,,,,,,Kph,38.57,125.83,,,2007,9.0,17.0,2007,9.0,25.0,,,,1649.0,1649.0,,,,,,,76.5186792040236,1,1059;1063,,"Hwanghae-bukto, Hwanghae-namdo (Adm1)."
2010-0479-PRK,2010,479,,Natural,Meteorological,Storm,Tropical cyclone,,Typhoon Kompasu,Korea (the Democratic People's Republic of),PRK,Eastern Asia,Asia,"Hamgyong-bukto, Hamgyong-namdo, Hwanghae-bukto, Hwanghae-namdo, Kaesong-si, Kangwon-do, P'yongan-namdo, P'yongyang-si provinces",,Flood,"Slide (land, mud, snow, rock)",,,,,,Kph,,,,,2010,9.0,2.0,2010,9.0,2.0,20.0,,40000.0,,40000.0,,,,,,,80.472285151979,1,1055;1056;1058;1059;1061;1062;1063;1064,,"Hamgyong-bukto, Hamgyong-namdo, Hwanghae-bukto, Hwanghae-namdo, Kaesong-si, Kangwon-do, P'yongan-namdo, P'yongyang-si (Adm1)."
2011-0279-PRK,2011,279,TC-2011-000099 - FL-2011-,Natural,Meteorological,Storm,Tropical cyclone,,"Typhoon ""Kabayan"" (Muifa)",Korea (the Democratic People's Republic of),PRK,Eastern Asia,Asia,"Byoksong, Haeju, Chongdan, Baechon, Bongchon, Waudo districts (Hwanghae-namdo province), Sohung district (Hwanghae-bukto province), Kaesong-si, P'yongan-namdo province",,Flood,,Yes,,,,,Kph,,,,,2011,8.0,7.0,2011,8.0,9.0,10.0,887.0,5612.0,,6499.0,,,,,,,83.0126743931774,1;2,1055;1064,39578;39586;39587;39588;39590;39592;39609,"Kaesong-si, P'yongan-namdo (Adm1). Baechon, Bongchon, Byoksong, Chongdan, Haeju, Sohung, Waudo (Adm2)."
2012-0414-PRK,2012,414,TC-2012-000159,Natural,Meteorological,Storm,Tropical cyclone,,Typhoon Bolaven,Korea (the Democratic People's Republic of),PRK,Eastern Asia,Asia,"Hamgyong-bukto, Hamgyong-namdo, Hwanghae-bukto, Hwanghae-namdo, Kangwon-do, Yanggang-do provinces",,Flood,,,,,,,Kph,38.19,126.24,,,2012,8.0,28.0,2012,8.0,30.0,59.0,1.0,10960.0,33500.0,44461.0,,,,,,,84.7304788978789,1,1056;1058;1059;1062;1063;1065,,"Hamgyong-bukto, Hamgyong-namdo, Hwanghae-bukto, Hwanghae-namdo, Kangwon-do, Yanggang-do (Adm1)."
2018-0309-PRK,2018,309,TC-2018-000138,Natural,Meteorological,Storm,Tropical cyclone,,Typhoon 'Soulik',Korea (the Democratic People's Republic of),PRK,Eastern Asia,Asia,"Kangwon, South Hamgyong provinces",,Flood,,,,,,,Kph,,,,,2018,8.0,23.0,2018,8.0,24.0,86.0,,,,,,,,,4640.0,5007.0,92.6696698010059,1,1056;1062,,"Hamgyong-namdo, Kangwon-do (Adm1)."
2019-0424-PRK,2019,424,TC-2019-000102,Natural,Meteorological,Storm,Tropical cyclone,,Tropical cyclone 'Lingling',Korea (the Democratic People's Republic of),PRK,Eastern Asia,Asia,"Yonggwang, Yodok, Jangjin Counties; Tanchon City (South Hamgyong Province)",,,,,,,,,Kph,,,,,2019,9.0,6.0,2019,9.0,7.0,5.0,,5300000.0,,5300000.0,,,,,24000.0,25437.0,94.3490924994534,2,,39550;39556;39567;39568,"Danchon, Jangjin, Yodok, Yonggwan (Adm2)."
