Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
1965-0043-KOR,1965,43,,Natural,Hydrological,Flood,,,,Korea (the Republic of),KOR,Eastern Asia,Asia,Nationwide,,,,Yes,,,,,Km2,,,,,1965,7.0,15.0,1965,7.0,15.0,323.0,245.0,321000.0,23214.0,344459.0,,,,,36500.0,313898.0,11.6279903783075,,,,
1966-0059-KOR,1966,59,,Natural,Hydrological,Flood,,,,Korea (the Republic of),KOR,Eastern Asia,Asia,"Seoul, Kyonggi",,,,Yes,,,,,Km2,,,,,1966,7.0,24.0,1966,7.0,24.0,95.0,85.0,131904.0,65630.0,197619.0,,,,,1900.0,15862.0,11.9785873605948,,,,
1969-0093-KOR,1969,93,,Natural,Hydrological,Flood,,,,Korea (the Republic of),KOR,Eastern Asia,Asia,"East, South coastal provinces",,,,Yes,,,,,Km2,,,,,1969,9.0,14.0,1969,9.0,14.0,408.0,409.0,227264.0,,227673.0,,,,,22400.0,165463.0,13.5378001312049,,,,
1970-0048-KOR,1970,48,,Natural,Hydrological,Flood,,,,Korea (the Republic of),KOR,Eastern Asia,Asia,,,,,,,,,,Km2,,,,,1970,9.0,15.0,1970,9.0,15.0,28.0,,7000.0,,7000.0,,,,,,,14.3281696916685,,,,
1972-0049-KOR,1972,49,,Natural,Hydrological,Flood,Riverine flood,,,Korea (the Republic of),KOR,Eastern Asia,Asia,"North, Central",,,,Yes,,,,,Km2,,,,,1972,8.0,19.0,1972,8.0,19.0,672.0,785.0,800000.0,326000.0,1126785.0,,,,,72800.0,471740.0,15.4322326700197,,,,
1972-0052-KOR,1972,52,,Natural,Hydrological,Flood,,,,Korea (the Republic of),KOR,Eastern Asia,Asia,,,,,,,,,,Km2,,,,,1972,9.0,13.0,1972,9.0,13.0,75.0,54.0,1500.0,,1554.0,,,,,634.0,4108.0,15.4322326700197,,,,
1977-0079-KOR,1977,79,,Natural,Hydrological,Flood,,,,Korea (the Republic of),KOR,Eastern Asia,Asia,Seoul area,,,,Yes,,,,,Km2,,,,,1977,7.0,8.0,1977,7.0,8.0,297.0,1000.0,73000.0,,74000.0,,,,,20000.0,89417.0,22.367198775421,,,,
1977-0104-KOR,1977,104,,Natural,Hydrological,Flood,,,,Korea (the Republic of),KOR,Eastern Asia,Asia,,,,,,,,,,Km2,,,,,1977,8.0,7.0,1977,8.0,7.0,18.0,,2000.0,,2000.0,,,,,13000.0,58121.0,22.367198775421,,,,
1984-0074-KOR,1984,74,,Natural,Hydrological,Flood,,,,Korea (the Republic of),KOR,Eastern Asia,Asia,"Kyunggido, Kangwondo, Chungchongdo, Kyongsangdo, Chollado",,,,Yes,,,,819.0,Km2,,,,,1984,8.0,31.0,1984,8.0,31.0,166.0,187.0,350984.0,,351171.0,,,,,165000.0,430387.0,38.3376251913405,,,,
1987-0321-KOR,1987,321,,Natural,Hydrological,Flood,Riverine flood,,,Korea (the Republic of),KOR,Eastern Asia,Asia,,,,,,,,,,Km2,,,,,1987,8.0,16.0,1987,8.0,16.0,50.0,,,154000.0,154000.0,,,,,22000.0,52465.0,41.9327356221299,,,,
