Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
1936-0007-KOR,1936,7,,Natural,Meteorological,Storm,Tropical cyclone,,,Korea (the Republic of),KOR,Eastern Asia,Asia,,,,,,,,,,Kph,,,,,1936,8.0,28.0,1936,8.0,28.0,1104.0,,,,,,,,,,,5.1325876354123,,,,
1959-0012-KOR,1959,12,,Natural,Meteorological,Storm,Tropical cyclone,,Sarah,Korea (the Republic of),KOR,Eastern Asia,Asia,,,,,,No,No,,,Kph,,,,,1959,9.0,17.0,1959,9.0,17.0,432.0,,,,,,,,,,,10.75766455281,,,,
1964-0052-KOR,1964,52,,Natural,Meteorological,Storm,,,,Korea (the Republic of),KOR,Eastern Asia,Asia,"North Seoul, Kyonggi province",,,,Yes,,,,,Kph,,,,,1964,9.0,13.0,1964,9.0,13.0,210.0,300.0,43530.0,43000.0,86830.0,,,,,1000.0,8736.0,11.4465427509293,,,,
1968-0078-KOR,1968,78,,Natural,Meteorological,Storm,,,,Korea (the Republic of),KOR,Eastern Asia,Asia,East Coast,,,,,,,,,Kph,,,,,1968,10.0,24.0,1968,10.0,24.0,18.0,,,,,,,,,3000.0,23371.0,12.8366149136235,,,,
1969-0084-KOR,1969,84,,Natural,Meteorological,Storm,,,,Korea (the Republic of),KOR,Eastern Asia,Asia,Hwachon,,,,,,,,,Kph,,,,,1969,8.0,6.0,1969,8.0,6.0,85.0,15.0,120000.0,,120015.0,,,,,,,13.5378001312049,,,,
1970-0036-KOR,1970,36,,Natural,Meteorological,Storm,,,,Korea (the Republic of),KOR,Eastern Asia,Asia,"East, South Esat coast",,,,,,,,,Kph,,,,,1970,7.0,3.0,1970,7.0,3.0,39.0,,2500.0,,2500.0,,,,,5100.0,35594.0,14.3281696916685,,,,
1971-0043-KOR,1971,43,,Natural,Meteorological,Storm,,,,Korea (the Republic of),KOR,Eastern Asia,Asia,Seoul,,,,,,,,,Kph,,,,,1971,7.0,27.0,1971,7.0,27.0,64.0,,50.0,,50.0,,,,,,,14.9432495079816,,,,
1979-0081-KOR,1979,81,,Natural,Meteorological,Storm,Tropical cyclone,,Judy,Korea (the Republic of),KOR,Eastern Asia,Asia,Northern,,,,,,,,,Kph,,,,,1979,8.0,26.0,1979,8.0,26.0,115.0,,35000.0,,35000.0,,,,,40000.0,149346.0,26.7834419418325,,,,
1980-0091-KOR,1980,91,,Natural,Meteorological,Storm,Tropical cyclone,,Orchid,Korea (the Republic of),KOR,Eastern Asia,Asia,Kyonsan province,,,,,,,,,Kph,,,,,1980,9.0,15.0,1980,9.0,15.0,15.0,17.0,,,17.0,,,,,7220.0,23740.0,30.4123857424011,,,,
1981-0078-KOR,1981,78,,Natural,Meteorological,Storm,Tropical cyclone,,Agnes,Korea (the Republic of),KOR,Eastern Asia,Asia,S.E.W. Coasts/Inland,,,,Yes,,,,,Kph,,,,,1981,8.0,31.0,1981,8.0,31.0,113.0,,14253.0,,14253.0,,,,,134000.0,399339.0,33.5554165755522,,,,
1982-0091-KOR,1982,91,,Natural,Meteorological,Storm,Tropical cyclone,,Cecil,Korea (the Republic of),KOR,Eastern Asia,Asia,Southwest coast,,,,,,,,,Kph,,,,,1982,8.0,14.0,1982,8.0,14.0,63.0,42.0,,,42.0,,,,,30000.0,84239.0,35.6128405860485,,,,
1982-0095-KOR,1982,95,,Natural,Meteorological,Storm,Tropical cyclone,,Ellis,Korea (the Republic of),KOR,Eastern Asia,Asia,,,,,,,,,,Kph,,,,,1982,8.0,27.0,1982,8.0,27.0,5.0,,5000.0,,5000.0,,,,,,,35.6128405860485,,,,
1985-0118-KOR,1985,118,,Natural,Meteorological,Storm,Tropical cyclone,,Brenda,Korea (the Republic of),KOR,Eastern Asia,Asia,"Cheju, coastal areas, West and North Pusan",,,,,,,,,Kph,,,,,1985,10.0,5.0,1985,10.0,5.0,57.0,20.0,,,20.0,,,,,14000.0,35267.0,39.696934178876,,,,
