Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
1966-0064-LAO,1966,64,,Natural,Hydrological,Flood,Riverine flood,,,Lao People's Democratic Republic (the),LAO,South-Eastern Asia,Asia,,,,,Yes,,,,,Km2,,,,,1966,8.0,25.0,1966,8.0,25.0,300.0,,70000.0,2000.0,72000.0,,,,,15300.0,127728.0,11.9785873605948,,,,
1968-0072-LAO,1968,72,,Natural,Hydrological,Flood,,,,Lao People's Democratic Republic (the),LAO,South-Eastern Asia,Asia,"South, along Mekong river",,,,Yes,,,,,Km2,,,,,1968,9.0,5.0,1968,9.0,5.0,2.0,,9000.0,600.0,9600.0,,,,,1280.0,9971.0,12.8366149136235,,,,
1969-0086-LAO,1969,86,,Natural,Hydrological,Flood,,,,Lao People's Democratic Republic (the),LAO,South-Eastern Asia,Asia,Vientiane plains,,,,Yes,,,,,Km2,,,,,1969,8.0,15.0,1969,8.0,15.0,,,,,,,,,,,,13.5378001312049,,,,
1971-0048-LAO,1971,48,,Natural,Hydrological,Flood,,,,Lao People's Democratic Republic (the),LAO,South-Eastern Asia,Asia,Vientiane,,,,Yes,,,,,Km2,,,,,1971,8.0,17.0,1971,8.0,17.0,14.0,,100000.0,15000.0,115000.0,,,,,200.0,1338.0,14.9432495079816,,,,
1996-0215-LAO,1996,215,,Natural,Hydrological,Flood,Riverine flood,,,Lao People's Democratic Republic (the),LAO,South-Eastern Asia,Asia,"Huaphanh, Phongsaly, Luanprabang, Luangnamtha, Borikhamsay, Savanhnakheat, Vientiane, Khammuoane provinces, Vientiane municapilty",,,,,,,1307.0,200.0,Km2,,,,,1996,8.0,15.0,1996,8.0,15.0,30.0,,420000.0,,420000.0,,,,,,,57.8847058823529,,,,
2008-0452-LAO,2008,452,FL-2008-000131,Natural,Hydrological,Flood,Riverine flood,,,Lao People's Democratic Republic (the),LAO,South-Eastern Asia,Asia,"Louangphabang, Louang-Namtha, Bokeo, Khammouan, Vientiane, Vientiane capital, Bolikhamxai, Houaphan, Xaignabouli, Savannakhet, Champasak provinces",Tropical Storm Kammuri,"Slide (land, mud, snow, rock)",,Yes,Yes,,5131.0,,Km2,,,,Mekong river,2008,8.0,12.0,2008,8.0,18.0,6.0,,204190.0,,204190.0,,,,,,,79.4563043953641,1,1754;1755;1756;1757;1758;1759;1760;1764;1765;1768;74346,,"Bokeo, Bolikhamxai, Champasak, Houaphan, Khammouan, Louang-Namtha, Louangphabang, Savannakhet, Vientiane, Vientiane capital, Xaignabouli (Adm1)."
2009-0612-LAO,2009,612,FL-2009-000155,Natural,Hydrological,Flood,Riverine flood,,,Lao People's Democratic Republic (the),LAO,South-Eastern Asia,Asia,"Xebangfay, Nongbok, Mahaxay districts (Khammouan province)",Heavy rain,,,,,,,24950.0,Km2,17.83,104.79,,,2009,8.0,10.0,2009,8.0,11.0,10.0,,,,,,,,,,,79.1738027553029,2,,18666;18668;18670,"Mahaxay, Nongbok, Xebangfay (Adm2)."
2011-0218-LAO,2011,218,FL-2011-000077,Natural,Hydrological,Flood,Riverine flood,,,Lao People's Democratic Republic (the),LAO,South-Eastern Asia,Asia,"Xiangkhouang, Vientiane, Bolikhamxai, Khammouan, Xaignabouli provinces",Tropical storm Haima,,,,,,,36797.0,Km2,19.3801,101.56,,,2011,6.0,23.0,2011,6.0,29.0,14.0,,37000.0,,37000.0,,,,,,,83.0126743931774,1,1755;1758;1765;74346;74347,,"Bolikhamxai, Khammouan, Vientiane, Xaignabouli, Xiangkhouang (Adm1)."
2011-0324-LAO,2011,324,FL-2011-000077,Natural,Hydrological,Flood,Flash flood,,,Lao People's Democratic Republic (the),LAO,South-Eastern Asia,Asia,"Savannakhet, Khammouan, Champasak provinces","Tropical storm Nock-Ten, Monsoonal rains","Slide (land, mud, snow, rock)",,,,,2016.0,,Km2,,,,,2011,8.0,1.0,2011,10.0,13.0,34.0,,430000.0,,430000.0,,,,,,,83.0126743931774,1,1756;1758;1764,,"Champasak, Khammouan, Savannakhet (Adm1)."
2013-0417-LAO,2013,417,,Natural,Hydrological,Flood,Riverine flood,,,Lao People's Democratic Republic (the),LAO,South-Eastern Asia,Asia,"Salavan, Champasak, Attapu, Savannakhet, Xekong provinces",Tropical Depression 18,,,,,,,,Km2,,,,,2013,9.0,16.0,2013,9.0,18.0,3.0,,224176.0,,224176.0,,,,,61000.0,70954.0,85.9716422479773,1,1753;1756;1763;1764;1766,,"Attapu, Champasak, Salavan, Savannakhet, Xekong (Adm1)."
2014-0411-LAO,2014,411,,Natural,Hydrological,Flood,Riverine flood,,,Lao People's Democratic Republic (the),LAO,South-Eastern Asia,Asia,"Khammouan, Salavan, Champasak, Savannakhet provinces",,,,,,,,,Km2,,,,,2014,8.0,12.0,2014,8.0,18.0,,,750.0,,750.0,,,,,,,87.3662978351193,1,1756;1758;1763;1764,,"Champasak, Khammouan, Salavan, Savannakhet (Adm1)."
2015-0324-LAO,2015,324,,Natural,Hydrological,Flood,,,,Lao People's Democratic Republic (the),LAO,South-Eastern Asia,Asia,"Houaphan, Bolikhamxai, Khammouan, Louang-Namtha provinces",Continuous rains,,,,,,,,Km2,,,,Mekong river,2015,8.0,1.0,2015,8.0,15.0,,,47800.0,,47800.0,,,,,10000.0,11433.0,87.4699322108025,1,1755;1757;1758;1760,,"Bolikhamxai, Houaphan, Khammouan, Louang-Namtha (Adm1)."
2015-0460-LAO,2015,460,,Natural,Hydrological,Flood,,,,Lao People's Democratic Republic (the),LAO,South-Eastern Asia,Asia,Nan district (Louangphabang province),,"Slide (land, mud, snow, rock)",,,,,,,Km2,,,,,2015,9.0,7.0,2015,9.0,11.0,4.0,,95.0,45.0,140.0,,,,,,,87.4699322108025,2,,18676,Nan (Adm2).
