Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
1986-0144-MDG,1986,144,,Natural,Hydrological,Flood,,,,Madagascar,MDG,Eastern Africa,Africa,Antananarivo area,,,,,,,,,Km2,,,,,1986,12.0,29.0,1986,12.0,29.0,,,28223.0,,28223.0,,,,,,,40.4504089219331,,,,
2003-0037-MDG,2003,37,,Natural,Hydrological,Flood,Riverine flood,,,Madagascar,MDG,Eastern Africa,Africa,"Antananarivo I, Antananarivo II, Antananarivo III, Antananarivo IV, Antananarivo V, Antananarivo VI, Antananarivo Atsimondrano, Antananarivo Avaradrano districts (Analamanga province), Atsimo Atsinanana, Betsiboka, Boeny, Melaky, Sofia, Atsinanana provinces",Torrential rains,,,,,,646.0,148300.0,Km2,,,,"Ikopa, Sisaonyi",2003,1.0,18.0,2003,1.0,31.0,16.0,,19788.0,3582.0,23370.0,,,,,150000.0,220949.0,67.8888956921058,1;2,41757;41758;41759;41760;41766;41769,123870;123871;123872;123873;123874;123875;154522;154523,"Atsimo Atsinanana, Atsinanana, Betsiboka, Boeny, Melaky, Sofia (Adm1). Antananarivo Atsimondrano, Antananarivo Avaradrano, Antananarivo I, Antananarivo II, Antananarivo III, Antananarivo IV, Antananarivo V, Antananarivo VI (Adm2)."
2005-0097-MDG,2005,97,,Natural,Hydrological,Flood,Riverine flood,,,Madagascar,MDG,Eastern Africa,Africa,"Toamasina II district (Atsinanana province), Atsimo Atsinanana, Diana, Sofia, Boeny province",Heavy rains,,,,,,,16370.0,Km2,,,,,2005,3.0,2.0,2005,3.0,15.0,25.0,17.0,58700.0,,58717.0,,,,,,,72.0714104526569,1;2,41757;41760;41762;41769,154557,"Atsimo Atsinanana, Boeny, Diana, Sofia (Adm1). Toamasina II (Adm2)."
2005-0165-MDG,2005,165,,Natural,Hydrological,Flood,Riverine flood,,,Madagascar,MDG,Eastern Africa,Africa,Taolagnaro district (Anosy province),Heavy rain,,,,,,,150.0,Km2,,,,,2005,3.0,24.0,2005,3.0,26.0,4.0,,,900.0,900.0,,,,,,,72.0714104526569,2,,154537,Taolagnaro (Adm2).
2007-0069-MDG,2007,69,,Natural,Hydrological,Flood,Coastal flood,,,Madagascar,MDG,Eastern Africa,Africa,"Antananarivo I, Antananarivo II, Antananarivo III, Antananarivo IV, Antananarivo V, Antananarivo VI, Antananarivo Atsimondrano, Antananarivo Avaradrano districts (Analamanga province)",Heavy rains and cyclones,,,,,,,438800.0,Km2,-18.49,46.34,,,2007,2.0,8.0,2007,2.0,8.0,7.0,,33000.0,,33000.0,,,,,,,76.5186792040236,2,,123870;123871;123872;123873;123874;123875;154522;154523,"Antananarivo Atsimondrano, Antananarivo Avaradrano, Antananarivo I, Antananarivo II, Antananarivo III, Antananarivo IV, Antananarivo V, Antananarivo VI (Adm2)."
2015-0057-MDG,2015,57,,Natural,Hydrological,Flood,Flash flood,,,Madagascar,MDG,Eastern Africa,Africa,"Antananarivo I, Antananarivo II, Antananarivo III, Antananarivo IV, Antananarivo V, Antananarivo VI, Antananarivo Atsimondrano, Antananarivo Avaradrano districts (Analamanga province)",Torrential rains,,,,,,,,Km2,,,,"Ikopa, Sisaony, Mamba",2015,2.0,27.0,2015,2.0,27.0,26.0,,,24000.0,24000.0,,,,,,,87.4699322108025,2,,123870;123871;123872;123873;123874;123875;154522;154523,"Antananarivo Atsimondrano, Antananarivo Avaradrano, Antananarivo I, Antananarivo II, Antananarivo III, Antananarivo IV, Antananarivo V, Antananarivo VI (Adm2)."
2019-0020-MDG,2019,20,,Natural,Hydrological,Flood,,,,Madagascar,MDG,Eastern Africa,Africa,Antananarivo,Heavy rains,Collapse,"Slide (land, mud, snow, rock)",,,,,,Km2,,,,,2019,1.0,19.0,2019,1.0,20.0,9.0,,,,,,,,,,,94.3490924994534,2,,123870;123871;123872;123873;123874;123875;154522;154523,"Antananarivo Atsimondrano, Antananarivo Avaradrano, Antananarivo I, Antananarivo II, Antananarivo III, Antananarivo IV, Antananarivo V, Antananarivo VI (Adm2)."
2020-0016-MDG,2020,16,FL-2020-000008,Natural,Hydrological,Flood,,,,Madagascar,MDG,Eastern Africa,Africa,"Andapa Municipality; Amparafaravola, Ambatondrazaka (Alaotra Mangoro); Tana V, Tana IV, Tana II, Tana I, Tana III (Analamanga); Maevatanana, Tsaratanana (Betsiboka); Mitsinjo, Ambato Boeny, Marovoay,Majunga I, Majunga II (Boeny); Ambanja, Ambilobe (Diana); Besalampy (Melaky); Port Berger, Mampikomy (Sofia)",Heavy rains caused by tropical storm,"Slide (land, mud, snow, rock)",,,,Yes,,443086.0,Km2,-18.95,47.184,,,2020,1.0,1.0,2020,1.0,24.0,40.0,,106846.0,,106846.0,,,,,,,95.5129674174503,2,,123870;123871;123872;123873;123874;123875;154509;154510;154560;154561;154562;154563;154564;154565;154566;154570;154571;154587;154595;154603;154605,"Ambanja, Ambato Boeni, Ambatondrazaka, Ambilobe, Amparafaravola, Andapa, Antananarivo I, Antananarivo II, Antananarivo III, Antananarivo IV, Antananarivo V, Antananarivo VI, Besalampy, Maevatanana, Mahajanga I, Mahajanga II, Mampikony, Marovoay, Mitsinjo, Port-Berge (Boriziny-Vaovao), Tsaratanana (Adm2)."
2021-0090-MDG,2021,90,,Natural,Hydrological,Flood,,,,Madagascar,MDG,Eastern Africa,Africa,"Antananarivo City (Analamanga Region), Alaotra-Mangoro, Analamanga, Melaky Menabe",Heavy rains,"Slide (land, mud, snow, rock)",,,,,,,Km2,,,,,2021,2.0,18.0,2021,2.0,22.0,1.0,,1400.0,,1400.0,,,,,,,100.0,1,41750;41752;41766,,"Alaotra Mangoro, Analamanga, Melaky (Adm1)."
2022-0032-MDG,2022,32,,Natural,Hydrological,Flood,,,,Madagascar,MDG,Eastern Africa,Africa,Antananarivo (Analamanga Region),Tropical Storm named Ana,"Slide (land, mud, snow, rock)",Lightening,,,,,,Km2,,,,,2022,1.0,17.0,2022,1.0,18.0,34.0,2.0,62112.0,,62114.0,,,,,,,,2,,154522,Antananarivo Atsimondrano (Adm2).
