Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
1969-0050-MDG,1969,50,,Natural,Meteorological,Storm,Tropical cyclone,,Dany,Madagascar,MDG,Eastern Africa,Africa,Nosy Varika,,,,Yes,,,,,Kph,,,,,1969,2.0,5.0,1969,2.0,5.0,81.0,40.0,40000.0,3000.0,43040.0,,,,,5000.0,36934.0,13.5378001312049,,,,
1970-0017-MDG,1970,17,,Natural,Meteorological,Storm,Tropical cyclone,,Jane,Madagascar,MDG,Eastern Africa,Africa,"Central, South",,,,Yes,,,,,Kph,,,,,1970,2.0,23.0,1970,2.0,23.0,70.0,,10000.0,,10000.0,,,,,11400.0,79564.0,14.3281696916685,,,,
1972-0022-MDG,1972,22,,Natural,Meteorological,Storm,Tropical cyclone,,Eugenie,Madagascar,MDG,Eastern Africa,Africa,Central,,,,Yes,,,,,Kph,,,,,1972,2.0,14.0,1972,2.0,14.0,91.0,56.0,2500000.0,10000.0,2510056.0,,,,,12420.0,80481.0,15.4322326700197,,,,
1976-0019-MDG,1976,19,,Natural,Meteorological,Storm,Tropical cyclone,,,Madagascar,MDG,Eastern Africa,Africa,North,,,,Yes,,,,,Kph,,,,,1976,1.0,10.0,1976,1.0,10.0,16.0,26.0,500000.0,8850.0,508876.0,,,,,17000.0,80946.0,21.0017319046578,,,,
1977-0042-MDG,1977,42,,Natural,Meteorological,Storm,Tropical cyclone,,Emilie,Madagascar,MDG,Eastern Africa,Africa,,,,,,,,,,Kph,,,,,1977,2.0,1.0,1977,2.0,1.0,10.0,,30000.0,,30000.0,,,,,350000.0,1564791.0,22.367198775421,,,,
1978-0145-MDG,1978,145,,Natural,Meteorological,Storm,Tropical cyclone,,Angele,Madagascar,MDG,Eastern Africa,Africa,Tulear province,,,,,,,,,Kph,,,,,1978,12.0,28.0,1978,12.0,28.0,70.0,,18000.0,,18000.0,,,,,29000.0,120462.0,24.0740345506232,,,,
1981-0110-MDG,1981,110,,Natural,Meteorological,Storm,Tropical cyclone,,,Madagascar,MDG,Eastern Africa,Africa,Countrywide (mainly Antananarivo),,,,Yes,,,,,Kph,,,,,1981,12.0,20.0,1981,12.0,20.0,107.0,,118000.0,,118000.0,,,,,250000.0,745036.0,33.5554165755522,,,,
1982-0147-MDG,1982,147,,Natural,Meteorological,Storm,Tropical cyclone,,"Benedic, Electre, Frida, Justine",Madagascar,MDG,Eastern Africa,Africa,"Sambava, Antalaha, Tulear, Morondova, Miandrivazo, Morombe",,,,,No,No,,200.0,Kph,,,,,1982,1.0,28.0,1982,3.0,25.0,92.0,,,70000.0,70000.0,,,,,250000.0,701994.0,35.6128405860485,,,,
1983-0157-MDG,1983,157,,Natural,Meteorological,Storm,Tropical cyclone,,,Madagascar,MDG,Eastern Africa,Africa,Countrywide,,,,Yes,,,,,Kph,,,,,1983,12.0,10.0,1983,12.0,10.0,42.0,,13560.0,,13560.0,,,,,25000.0,68014.0,36.7568773234201,,,,
1984-0034-MDG,1984,34,,Natural,Meteorological,Storm,Tropical cyclone,,Kamisy,Madagascar,MDG,Eastern Africa,Africa,North,,,,Yes,,,,213.0,Kph,,,,,1984,4.0,9.0,1984,4.0,9.0,68.0,215.0,100000.0,,100215.0,,,,,250000.0,652101.0,38.3376251913405,,,,
1986-0042-MDG,1986,42,,Natural,Meteorological,Storm,Tropical cyclone,,Honorinina,Madagascar,MDG,Eastern Africa,Africa,"Toamasina, Fenerive east, Sante Marie, Ambatondrazaka, Brickaville, Moramanga, Fianarantsoa",,,,Yes,Yes,No,,300.0,Kph,,,,,1986,3.0,15.0,1986,3.0,15.0,99.0,424.0,83885.0,,84309.0,,,,,150000.0,370824.0,40.4504089219331,,,,
1989-0122-MDG,1989,122,,Natural,Meteorological,Storm,Tropical cyclone,,Alibera,Madagascar,MDG,Eastern Africa,Africa,"Mahajanga, Sainte Marie, Nosy-Varika, Fianarantsoa, Ihosy, Manajary, Manakara",,,,Yes,,,,,Kph,,,,,1989,12.0,31.0,1989,12.0,31.0,46.0,,55346.0,,55346.0,,,,,,,45.749276186311,,,,
