Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
1967-0026-MWI,1967,26,,Natural,Hydrological,Flood,,,,Malawi,MWI,Eastern Africa,Africa,Along Ruo river (South),,,,Yes,,,,,Km2,,,,,1967,3.0,12.0,1967,3.0,12.0,,,1200.0,,1200.0,,,,,500.0,4061.0,12.3107281871857,,,,
1989-0008-MWI,1989,8,,Natural,Hydrological,Flood,,,,Malawi,MWI,Eastern Africa,Africa,"Chikwawa, Nsanje, Machinga, Mangochi, Salima, Balaka, Zomba, Mulanje, Nwanza, Chiradzulu districts",,,,Yes,No,No,,9169.0,Km2,,,,,1989,3.0,14.0,1989,3.0,14.0,13.0,,,100000.0,100000.0,,,,,,,45.749276186311,,,,
1991-0048-MWI,1991,48,,Natural,Hydrological,Flood,Flash flood,,,Malawi,MWI,Eastern Africa,Africa,"Chiringa, Phalombe, Mulanje",Brief torrential rain,"Slide (land, mud, snow, rock)",,Yes,No,No,,3060.0,Km2,,,,,1991,3.0,10.0,1991,3.0,15.0,472.0,,,150000.0,150000.0,,,,,24000.0,47751.0,50.2608528318391,,,,
1995-0303-MWI,1995,303,,Natural,Hydrological,Flood,,,,Malawi,MWI,Eastern Africa,Africa,Chikwawa district,,,,,,,,,Km2,,,,,1995,12.0,23.0,1995,12.0,23.0,,,,300.0,300.0,,,,,,,56.2363000218675,,,,
1997-0025-MWI,1997,25,,Natural,Hydrological,Flood,Riverine flood,,,Malawi,MWI,Eastern Africa,Africa,Chikwawa & Nsauje Districts,,,,Yes,,,1028.0,,Km2,,,,,1997,2.0,18.0,1997,2.0,18.0,,,400000.0,,400000.0,,,,,,,59.2378657336541,,,,
1998-0018-MWI,1998,18,,Natural,Hydrological,Flood,Riverine flood,,,Malawi,MWI,Eastern Africa,Africa,"Karonga, Nkhotakota, Phalombe districts",,,,,No,No,,,Km2,,,,Phalombe River,1998,1.0,19.0,1998,2.0,4.0,4.0,,15000.0,,15000.0,,,,,89.0,148.0,60.1574108900066,,,,
2001-0710-MWI,2001,710,,Natural,Hydrological,Flood,,,,Malawi,MWI,Eastern Africa,Africa,Chikwawa district (Southern Region province),,,,,,,,,Km2,,,,,2001,12.0,30.0,2001,12.0,30.0,,,8750.0,,8750.0,,,,,,,65.345558714192,2,,19322,Chikwawa (Adm2).
2002-0083-MWI,2002,83,,Natural,Hydrological,Flood,Riverine flood,,,Malawi,MWI,Eastern Africa,Africa,"Blantyre, Chikwawa, Machinga, Mangochi, Nsanje, Zomba districts (Southern Region province), Dedza, Kasungu, Nkhotakota, Salima districts (Central Region province), Karonga district (Northern Region province),",Heavy rains,,,,,,,3860.0,Km2,,,,,2002,1.0,1.0,2002,3.0,5.0,1.0,,150000.0,,150000.0,,,,,,,66.3819636999782,2,,19307;19309;19312;19315;19317;19321;19322;19325;19328;19330;42175,"Blantyre, Chikwawa, Dedza, Karonga, Kasungu, Machinga, Mangochi, Nkhotakota, Nsanje, Salima, Zomba (Adm2)."
2002-0808-MWI,2002,808,,Natural,Hydrological,Flood,,,,Malawi,MWI,Eastern Africa,Africa,"Balaka, Machinga, Phalombe districts (Southern Region province), Salima, Ntcheu, Dowa, Dedza districts (Central Region province), Rumphi district (Northern Region province)",,,,,,,,253.0,Km2,,,,,2002,12.0,28.0,2002,12.0,28.0,8.0,,246340.0,,246340.0,,,,,,,66.3819636999782,2,,19307;19308;19313;19315;19320;42174;42175;42177,"Balaka, Dedza, Dowa, Machinga, Ntcheu, Phalombe, Rumphi, Salima (Adm2)."
2003-0020-MWI,2003,20,,Natural,Hydrological,Flood,Coastal flood,,,Malawi,MWI,Eastern Africa,Africa,"Nyungwe-Wovwe area (Karonga district, Northern Region province), Balaka, Machinga, Phalombe, Mwanza, Nsanje, Chikwawa districts (Southern Region province), Salima, Dedza, Ntcheu, Dowa, Lilongwe districts (Southern Region province), Rumphi district (Northern Region province)",Tropical depression/Cyclone Delfina,,,,,,236.0,,Km2,,,,Shire,2003,1.0,1.0,2003,2.0,17.0,8.0,,18500.0,,18500.0,,,,,,,67.8888956921058,2,,19307;19308;19310;19313;19315;19317;19320;19322;19328;42174;42175;42177;65271,"Balaka, Chikwawa, Dedza, Dowa, Karonga, Lilongwe, Machinga, Mwanza, Nsanje, Ntcheu, Phalombe, Rumphi, Salima (Adm2)."
