Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
1965-0066-MYS,1965,66,,Natural,Hydrological,Flood,,,,Malaysia,MYS,South-Eastern Asia,Asia,Peninsular East coast,,,,Yes,,,,,Km2,,,,,1965,12.0,3.0,1965,12.0,3.0,6.0,,300000.0,,300000.0,,,,,1000.0,8600.0,11.6279903783075,,,,
1970-0070-MYS,1970,70,,Natural,Hydrological,Flood,,,,Malaysia,MYS,South-Eastern Asia,Asia,"West Malaysia, Capital",,,,Yes,,,,,Km2,,,,,1970,12.0,26.0,1970,12.0,26.0,61.0,,243000.0,,243000.0,,,,,37000.0,258233.0,14.3281696916685,,,,
1986-0136-MYS,1986,136,,Natural,Hydrological,Flood,,,,Malaysia,MYS,South-Eastern Asia,Asia,East Coast States of Trengganu and Kelantan,,,,,,,,,Km2,,,,,1986,11.0,28.0,1986,11.0,28.0,11.0,,25000.0,,25000.0,,,,,11500.0,28430.0,40.4504089219331,,,,
1988-0509-MYS,1988,509,,Natural,Hydrological,Flood,Riverine flood,,,Malaysia,MYS,South-Eastern Asia,Asia,Kelantan + East cost states,,,,,,,,,Km2,,,,,1988,11.0,12.0,1988,11.0,12.0,27.0,,60000.0,,60000.0,,,,,,,43.6426415919528,,,,
1993-0234-MYS,1993,234,,Natural,Hydrological,Flood,Riverine flood,,,Malaysia,MYS,South-Eastern Asia,Asia,"Kelantan, Trengganu, Pahang, Perak, Johore and Sabah states",Monsoonal rain,,,,No,No,400.0,103800.0,Km2,,,,Padas,1993,12.0,22.0,1993,12.0,27.0,30.0,,20000.0,5000.0,25000.0,,,,,,,53.3116203804942,,,,
1996-0445-MYS,1996,445,,Natural,Hydrological,Flood,Riverine flood,,,Malaysia,MYS,South-Eastern Asia,Asia,"Maradu, Long Lama (Northern Sarawak",,,,,,,,,Km2,,,,,1996,2.0,11.0,1996,2.0,11.0,,,418.0,,418.0,,,,,,,57.8847058823529,,,,
1998-0372-MYS,1998,372,,Natural,Hydrological,Flood,,,,Malaysia,MYS,South-Eastern Asia,Asia,Penang & Kedah,,,,,,,,,Km2,,,,,1998,11.0,19.0,1998,11.0,19.0,,,2500.0,,2500.0,,,,,,,60.1574108900066,,,,
1999-0003-MYS,1999,3,,Natural,Hydrological,Flood,Riverine flood,,,Malaysia,MYS,South-Eastern Asia,Asia,"Pekan (Pahang State), Johor, Terengganu states",Moosonal rain,,,,No,No,,,Km2,,,,,1999,1.0,1.0,1999,1.0,1.0,1.0,,2000.0,,2000.0,,,,,,,61.473667176908,,,,
2000-0774-MYS,2000,774,,Natural,Hydrological,Flood,Flash flood,,,Malaysia,MYS,South-Eastern Asia,Asia,"Kuala Krai, Pasir Puteh, Kota Bharu, Pasir Mas, Tumpat districts (Kelantan province), Kubang Pasu, Kota Setar, Padang Terap districts (Kedah province), Besut district (Terengganu province)",Brief torrential rain,,,,,,,,Km2,,,,"Sungai Bata, Sungai Kampung Telok Malik, Sungai Pantai Johor, Sungai Baru, Sungai Golok, Sungai Padang Terap.",2000,11.0,21.0,2000,12.0,1.0,12.0,,8000.0,,8000.0,,,,,1000.0,1574.0,63.5495473431008,2,,37347;37349;37352;37359;37360;37362;37363;37365;37463,"Besut, Kota Bharu, Kota Setar, Kuala Krai, Kubang Pasu, Padang Terap, Pasir Mas, Pasir Puteh, Tumpat (Adm2)."
2001-0505-MYS,2001,505,,Natural,Hydrological,Flood,Flash flood,,,Malaysia,MYS,South-Eastern Asia,Asia,"Teluk Ipil area (Seberang Perai Selatan district, Pulau Pinang province)",,,,,,,,,Km2,,,,,2001,8.0,19.0,2001,8.0,19.0,,,10000.0,,10000.0,,,,,,,65.345558714192,2,,37401,Seberang Perai Selatan (Adm2).
2001-0649-MYS,2001,649,,Natural,Hydrological,Flood,,,,Malaysia,MYS,South-Eastern Asia,Asia,Kuala Lumpur province,,,,,,,,,Km2,,,,,2001,10.0,30.0,2001,10.0,30.0,,,200.0,,200.0,,,,,,,65.345558714192,1,1894,,Kuala Lumpur (Adm1).
2001-0693-MYS,2001,693,,Natural,Hydrological,Flood,Riverine flood,,,Malaysia,MYS,South-Eastern Asia,Asia,"Pahang, Kelantan, Terengganu provinces",Heavy rain,,,,,,,22940.0,Km2,,,,"Pahang, Galas, Lebir, Kelantan, Kemaman, Dungun, Berang Kertih",2001,12.0,22.0,2002,1.0,3.0,11.0,,18000.0,,18000.0,,,,,,,65.345558714192,1,1893;1897;1904,,"Kelantan, Pahang, Terengganu (Adm1)."
2003-0774-MYS,2003,774,,Natural,Hydrological,Flood,Riverine flood,,,Malaysia,MYS,South-Eastern Asia,Asia,"Kedah, Pahang, Perak provinces",Continuous rains,,,,,,,,Km2,,,,"Ketil, Selama, Muda, Lembu, Baling, Bongkok, Teroi Bukit, Sedim, Kepala Batas, Taman Aman, Pantai Johor, Pinang, Muda, Kulim, Bayu, Kerian",2003,10.0,3.0,2003,10.0,25.0,3.0,,13800.0,,13800.0,,,,,,,67.8888956921058,1,1892;1897;1898,,"Kedah, Pahang, Perak (Adm1)."
2003-0604-MYS,2003,604,,Natural,Hydrological,Flood,Flash flood,,,Malaysia,MYS,South-Eastern Asia,Asia,"Kuala Terengganu, Kemaman, Marang, Dungun districts (Terengganu province), Kota Bharu district (Kelantan province), Kuantan district (Pahang province)",,,,,,,,,Km2,,,,,2003,11.0,29.0,2003,12.0,2.0,5.0,,3000.0,,3000.0,,,,,,,67.8888956921058,2,,37359;37381;37464;37466;37467;37468,"Dungun, Kemaman, Kota Bharu, Kuala Terengganu, Kuantan, Marang (Adm2)."
2003-0655-MYS,2003,655,,Natural,Hydrological,Flood,Riverine flood,,,Malaysia,MYS,South-Eastern Asia,Asia,"Kampung Pengkalan, Buang Sayang, Muhibbah Hujung, Muhibbah Baru, Sinar Baru, Lokan, Sri Tanjung areas (Kinabatangan district, Sabah province), Beluran area (Labuk & Sugut district, Sabah province), Kota Marud district (Sabah province)",Monsoonal rain,,,,,,,21720.0,Km2,,,,Sungai Kinabatangan,2003,12.0,17.0,2004,1.0,5.0,,,2000.0,,2000.0,,,,,,,67.8888956921058,2,,37407;37410;37413,"Kinabatangan, Kota Marud, Labuk & Sugut (Adm2)."
2004-0050-MYS,2004,50,,Natural,Hydrological,Flood,Riverine flood,,,Malaysia,MYS,South-Eastern Asia,Asia,"Kuching, Bau, Mukah, Sibu, Samarahan districts (Sarawak province), Johor Baru, Pontian, Kota Tinggi districts (Johor province)",Heavy rain,,,,,,,32620.0,Km2,,,,"Sungai Sarawak, Sungai Rajang",2004,1.0,24.0,2004,2.0,3.0,3.0,,6900.0,,6900.0,,,,,,,69.7064421605073,2,,37338;37340;37343;37427;37436;37444;37445;37449,"Bau, Johor Bahru, Kota Tinggi, Kuching, Mukah, Pontian, Samarahan, Sibu (Adm2)."
