Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
1960-0022-MTQ,1960,22,,Natural,Meteorological,Storm,Tropical cyclone,,Abby,Martinique,MTQ,Caribbean,Americas,,,,,,,,,,Kph,,,,,1960,7.0,10.0,1960,7.0,10.0,,,,,,,,,,,,10.9145068882572,,,,
1963-0021-MTQ,1963,21,,Natural,Meteorological,Storm,Tropical cyclone,,Edith,Martinique,MTQ,Caribbean,Americas,,,,,,,,,,Kph,,,,,1963,9.0,25.0,1963,9.0,25.0,10.0,,,,,,,,,40000.0,353920.0,11.3019986879511,,,,
1967-0056-MTQ,1967,56,,Natural,Meteorological,Storm,Tropical cyclone,,Beulah,Martinique,MTQ,Caribbean,Americas,,,,,,,,,,Kph,,,,,1967,9.0,7.0,1967,9.0,7.0,15.0,,1000.0,,1000.0,,,,,,,12.3107281871857,,,,
1970-0041-MTQ,1970,41,,Natural,Meteorological,Storm,Tropical cyclone,,Dorothy,Martinique,MTQ,Caribbean,Americas,,,,,Yes,No,No,,,Kph,,,,,1970,8.0,21.0,1970,8.0,21.0,45.0,,5000.0,,5000.0,,,,,31000.0,216357.0,14.3281696916685,,,,
1980-0307-MTQ,1980,307,,Natural,Meteorological,Storm,Tropical cyclone,,Allen,Martinique,MTQ,Caribbean,Americas,,,,,,,,,270.0,Kph,,,,,1980,8.0,5.0,1980,8.0,5.0,,,,,,,,,,68000.0,223593.0,30.4123857424011,,,,
1989-0115-MTQ,1989,115,,Natural,Meteorological,Storm,Tropical cyclone,,Hugo,Martinique,MTQ,Caribbean,Americas,,,,,,No,No,,169.0,Kph,,,,,1989,9.0,17.0,1989,9.0,17.0,,,,,,,,,,,,45.749276186311,,,,
1990-0070-MTQ,1990,70,,Natural,Meteorological,Storm,Tropical cyclone,,Klaus,Martinique,MTQ,Caribbean,Americas,,,,,,,,,,Kph,,,,,1990,10.0,4.0,1990,10.0,4.0,8.0,,1500.0,,1500.0,,,,,,,48.2187972884321,,,,
1993-0195-MTQ,1993,195,,Natural,Meteorological,Storm,Tropical cyclone,,Cindy,Martinique,MTQ,Caribbean,Americas,,,,,,,,,,Kph,,,,,1993,8.0,15.0,1993,8.0,15.0,2.0,10.0,,3000.0,3010.0,,,,,,,53.3116203804942,,,,
1995-0208-MTQ,1995,208,,Natural,Meteorological,Storm,Tropical cyclone,,Marilyn,Martinique,MTQ,Caribbean,Americas,,,,,,No,No,,,Kph,,,,,1995,9.0,14.0,1995,9.0,19.0,,,,,,,,,,160000.0,284514.0,56.2363000218675,,,,
1996-0201-MTQ,1996,201,,Natural,Meteorological,Storm,Tropical cyclone,,Hortense,Martinique,MTQ,Caribbean,Americas,,,,,,No,No,,,Kph,,,,,1996,9.0,8.0,1996,9.0,15.0,,,,,,,,,,10.0,17.0,57.8847058823529,,,,
1999-0530-MTQ,1999,530,,Natural,Meteorological,Storm,Tropical cyclone,,Lenny,Martinique,MTQ,Caribbean,Americas,,,,,,,,,215.0,Kph,,,,,1999,11.0,19.0,1999,11.0,19.0,,,400.0,200.0,600.0,,,,,,,61.473667176908,,,,
2007-0360-MTQ,2007,360,TC-2007-000135,Natural,Meteorological,Storm,Tropical cyclone,,Dean,Martinique,MTQ,Caribbean,Americas,"Fort-de-France, La Trinite, Saint-Pierre, Le Marin provinces",,Flood,"Slide (land, mud, snow, rock)",,,,,160.0,Kph,14.64,-61.02,,,2007,8.0,16.0,2007,8.0,24.0,1.0,6.0,,,6.0,,,125000.0,163359.0,300000.0,392061.0,76.5186792040236,1,61297;61298;61299;61300,,"Fort-de-France, La Trinite, Le Marin, Saint-Pierre (Adm1)."
2011-0303-MTQ,2011,303,,Natural,Meteorological,Storm,Tropical cyclone,,"Tropical storm ""Emily""",Martinique,MTQ,Caribbean,Americas,"Fort-de-France, La Trinite, Saint-Pierre, Le Marin provinces",,,,,,,,,Kph,,,,,2011,8.0,3.0,2011,8.0,3.0,1.0,,,,,,,,,,,83.0126743931774,1,61297;61298;61299;61300,,"Fort-de-France, La Trinite, Le Marin, Saint-Pierre (Adm1)."
2017-0383-MTQ,2017,383,,Natural,Meteorological,Storm,Tropical cyclone,,Hurricane 'Maria',Martinique,MTQ,Caribbean,Americas,"Le Morne-rouge, Le Carbet (St Pierre), Le Marigot, Gros-Morne (La Trinité), Northern coast, Fort-de-France, Schoelcher (Fort de France)",,"Slide (land, mud, snow, rock)",,,,,,,Kph,,,,,2017,9.0,18.0,2017,9.0,18.0,,2.0,,,2.0,,,,,44000.0,48640.0,90.4601793133611,1,61297;61298;61300,,"Fort-de-France, La Trinite, Saint-Pierre (Adm1)."
