Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
1984-0089-MRT,1984,89,,Natural,Hydrological,Flood,,,,Mauritania,MRT,Western Africa,Africa,"Adrar region, Atar village",,,,Yes,,,,,Km2,,,,,1984,9.0,21.0,1984,9.0,21.0,,,3000.0,,3000.0,,,,,,,38.3376251913405,,,,
1999-0539-MRT,1999,539,,Natural,Hydrological,Flood,Riverine flood,,,Mauritania,MRT,Western Africa,Africa,Rosso,,,,,,,,,Km2,,,,,1999,10.0,9.0,1999,10.0,9.0,,,200.0,,200.0,,,,,,,61.473667176908,,,,
2001-0483-MRT,2001,483,,Natural,Hydrological,Flood,Riverine flood,,,Mauritania,MRT,Western Africa,Africa,Akjoujt district (Inchiri province),,,,,,,,,Km2,,,,,2001,8.0,24.0,2001,8.0,24.0,,,,3000.0,3000.0,,,,,,,65.345558714192,2,,19521,Akjoujt (Adm2).
2002-0056-MRT,2002,56,,Natural,Hydrological,Flood,,,,Mauritania,MRT,Western Africa,Africa,"R'kiz, Mederdra, Rosso districts (Trarza province), Aleg, Boghe, Bababe, M'Bagne districts (Brakna province), Monguel, Kaedi districts (Gorgol province)",,,,Yes,,,,,Km2,,,,,2002,1.0,9.0,2002,1.0,9.0,25.0,,27500.0,,27500.0,,,,,,,66.3819636999782,2,,19499;19500;19501;19502;19505;19508;19531;19533;19534,"Aleg, Bababe, Boghe, Kaedi, M'Bagne, Mederdra, Monguel, R'kiz, Rosso (Adm2)."
2003-0389-MRT,2003,389,,Natural,Hydrological,Flood,Riverine flood,,,Mauritania,MRT,Western Africa,Africa,"Assaba, Gorgol, Brakna, Adrar provinces",Heavy rains,,,Yes,,,,,Km2,,,,Senegal river,2003,8.0,7.0,2003,8.0,20.0,9.0,,,21000.0,21000.0,,,,,,,67.8888956921058,1,2004;2005;2006;2008,,"Adrar, Assaba, Brakna, Gorgol (Adm1)."
2005-0559-MRT,2005,559,,Natural,Hydrological,Flood,Riverine flood,,,Mauritania,MRT,Western Africa,Africa,"M'Bout district (Gorgol province), Tagant, Guidimakha, Assaba provinces",Heavy rains,Broken Dam/Burst bank,,Yes,,,,147100.0,Km2,,,,,2005,9.0,27.0,2005,9.0,30.0,,,7500.0,,7500.0,,,,,,,72.0714104526569,1;2,2005;2009;2014,19506,"Assaba, Guidimakha, Tagant (Adm1). M'Bout (Adm2)."
2006-0391-MRT,2006,391,,Natural,Hydrological,Flood,Riverine flood,,,Mauritania,MRT,Western Africa,Africa,"Trarza, Brakna provinces",Heavy rains and storms,,,,,,,60.0,Km2,17.75,-15,,,2006,7.0,22.0,2006,7.0,24.0,7.0,19.0,,1600.0,1619.0,,,,,,,74.3963874917997,1,2006;2016,,"Brakna, Trarza (Adm1)."
2006-0445-MRT,2006,445,,Natural,Hydrological,Flood,Flash flood,,,Mauritania,MRT,Western Africa,Africa,"Adrar, Assaba, Brakna, Dakhlet-Nouadhibou, Gorgol, Guidimakha, Hodh Ech Chargi, Hodh El Gharbi, Inchiri, Nouakchott, Tagant, Tiris-Zemmour, Trarza provinces",,,,,,,,,Km2,14.42,-1.02,,,2006,8.0,3.0,2006,10.0,11.0,,,,9000.0,9000.0,,,,,,,74.3963874917997,1,2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016,,"Adrar, Assaba, Brakna, Dakhlet-Nouadhibou, Gorgol, Guidimakha, Hodh Ech Chargi, Hodh El Gharbi, Inchiri, Nouakchott, Tagant, Tiris-Zemmour, Trarza (Adm1)."
2007-0339-MRT,2007,339,,Natural,Hydrological,Flood,Riverine flood,,,Mauritania,MRT,Western Africa,Africa,"Tintane district (Hodh El-Gharbi province), Barkeol district (Assaba province), Guidimakha, Gorgol provinces",Heavy rains,,,,Yes,,,9500.0,Km2,16.55,-11.32,,,2007,8.0,7.0,2007,9.0,5.0,2.0,,53620.0,,53620.0,,,,,,,76.5186792040236,1;2,2008;2009,19494;19520,"Gorgol, Guidimakha (Adm1). Barkeol, Tintane (Adm2)."
2007-0402-MRT,2007,402,,Natural,Hydrological,Flood,Riverine flood,,,Mauritania,MRT,Western Africa,Africa,Maghama district (Gorgol province),heavy rain,,,,Yes,,,162800.0,Km2,15.47,-13.97,,Senegal river and tributaries,2007,8.0,31.0,2007,9.0,3.0,1.0,,500.0,,500.0,,,,,,,76.5186792040236,2,,19507,Maghama (Adm2).
2009-0350-MRT,2009,350,,Natural,Hydrological,Flood,Riverine flood,,,Mauritania,MRT,Western Africa,Africa,Rosso district (Trarza province),Heavy rains,,,Yes,,,135.0,,Km2,,,,,2009,8.0,28.0,2009,8.0,29.0,1.0,,10000.0,,10000.0,,,,,,,79.1738027553029,2,,19534,Rosso (Adm2).
2010-0523-MRT,2010,523,FL-2010-000176,Natural,Hydrological,Flood,Riverine flood,,,Mauritania,MRT,Western Africa,Africa,"Achram area (Moudjeria district, Tagant province), Aleg, Maghta Lahjar districts (Brakna province), Kaedi district (Kaedi province), Akjoujt district (Inchiri province), Boutilimit district (Trarza province)",Torrential rains,,,,Yes,,,11046.0,Km2,16.245,-7.65,,,2010,9.0,19.0,2010,9.0,21.0,,,8750.0,,8750.0,,,,,,,80.472285151979,2,,19499;19503;19505;19521;19523;19529,"Akjoujt, Aleg, Boutilimit, Kaedi, Maghta Lahjar, Moudjeria (Adm2)."
2013-0374-MRT,2013,374,FL-2013-000119,Natural,Hydrological,Flood,Riverine flood,,,Mauritania,MRT,Western Africa,Africa,"Rosso, Ouad Naga districts (Traza province), Moudjeria district (Tagant province), Akjoujt district (Inchiri province)",Heavy rains,,,Yes,,,,,Km2,,,,,2013,8.0,5.0,2013,9.0,25.0,8.0,,4225.0,2305.0,6530.0,,,,,2000.0,2326.0,85.9716422479773,2,,19521;19523;19532;19534,"Akjoujt, Moudjeria, Ouad Naga, Rosso (Adm2)."
