Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
1967-0080-MUS,1967,80,,Natural,Meteorological,Storm,Tropical cyclone,,"Carmen, Monica",Mauritius,MUS,Eastern Africa,Africa,Rodriguez Isl.,,,,Yes,,,,,Kph,,,,,1967,12.0,25.0,1967,12.0,25.0,,24.0,20000.0,3500.0,23524.0,,,,,5000.0,40615.0,12.3107281871857,,,,
1972-0023-MUS,1972,23,,Natural,Meteorological,Storm,Tropical cyclone,,Fabienne,Mauritius,MUS,Eastern Africa,Africa,Rodrigues Isl.,,,,Yes,,,,,Kph,,,,,1972,2.0,17.0,1972,2.0,17.0,2.0,16.0,25000.0,,25016.0,,,,,,,15.4322326700197,,,,
1975-0018-MUS,1975,18,,Natural,Meteorological,Storm,Tropical cyclone,,Gervaise,Mauritius,MUS,Eastern Africa,Africa,Entire island,,,,Yes,,,,,Kph,,,,,1975,2.0,6.0,1975,2.0,6.0,9.0,59.0,826199.0,,826258.0,,,,,200000.0,1007010.0,19.8607741089,,,,
1979-0116-MUS,1979,116,,Natural,Meteorological,Storm,Tropical cyclone,,Claudette,Mauritius,MUS,Eastern Africa,Africa,,,,,Yes,,,,225.0,Kph,,,,,1979,12.0,22.0,1979,12.0,22.0,5.0,257.0,100000.0,5000.0,105257.0,,,,,175000.0,653389.0,26.7834419418325,,,,
1982-0024-MUS,1982,24,,Natural,Meteorological,Storm,Tropical cyclone,,Damia,Mauritius,MUS,Eastern Africa,Africa,Rodrigues Isl.,,,,Yes,,,,,Kph,,,,,1982,1.0,16.0,1982,1.0,16.0,,,32000.0,,32000.0,,,,,650.0,1825.0,35.6128405860485,,,,
1983-0156-MUS,1983,156,,Natural,Meteorological,Storm,Tropical cyclone,,Andy,Mauritius,MUS,Eastern Africa,Africa,Agalega Islands,,,,Yes,,,,,Kph,,,,,1983,12.0,8.0,1983,12.0,8.0,1.0,1.0,350.0,,351.0,,,,,,,36.7568773234201,,,,
1989-0031-MUS,1989,31,,Natural,Meteorological,Storm,Tropical cyclone,,Firinga,Mauritius,MUS,Eastern Africa,Africa,,,,,,,,,190.0,Kph,,,,,1989,1.0,29.0,1989,1.0,29.0,1.0,507.0,4000.0,,4507.0,,,,,60000.0,131150.0,45.749276186311,,,,
1991-0125-MUS,1991,125,,Natural,Meteorological,Storm,Tropical cyclone,,Bella,Mauritius,MUS,Eastern Africa,Africa,Rodrigues Isl.,,,,Yes,,,,210.0,Kph,,,,,1991,1.0,25.0,1991,1.0,25.0,,,6000.0,1500.0,7500.0,,,,,,,50.2608528318391,,,,
1994-0008-MUS,1994,8,,Natural,Meteorological,Storm,Tropical cyclone,,"Hollanda, Ivy",Mauritius,MUS,Eastern Africa,Africa,"Port Louis, Rodrigues Isl.",,,,,No,No,30.0,225.0,Kph,,,,,1994,2.0,9.0,1994,2.0,11.0,2.0,,800.0,1500.0,2300.0,,,,,135400.0,247524.0,54.7016925431883,,,,
1996-0311-MUS,1996,311,,Natural,Meteorological,Storm,Tropical cyclone,,Daniella,Mauritius,MUS,Eastern Africa,Africa,Western and Southern parts,,,,,,,,154.0,Kph,,,,,1996,12.0,9.0,1996,12.0,9.0,3.0,,,,,,,,,,,57.8847058823529,,,,
1999-0089-MUS,1999,89,,Natural,Meteorological,Storm,Tropical cyclone,,Davina,Mauritius,MUS,Eastern Africa,Africa,,,,,,,,,173.0,Kph,,,,,1999,3.0,10.0,1999,3.0,10.0,,1000.0,,,1000.0,,,,,,,61.473667176908,,,,
2002-0039-MUS,2002,39,,Natural,Meteorological,Storm,Tropical cyclone,,Dina,Mauritius,MUS,Eastern Africa,Africa,Port Louis province,,,,,,,10.0,206.0,Kph,,,,,2002,1.0,22.0,2002,1.0,22.0,3.0,50.0,,1000.0,1050.0,,,,,50000.0,75322.0,66.3819636999782,1,2024,,Port Louis (Adm1).
2007-0085-MUS,2007,85,,Natural,Meteorological,Storm,Tropical cyclone,,Gamède,Mauritius,MUS,Eastern Africa,Africa,"Black River, Flacq, Grand Port, Moka, Pamplemousses, Plaines Wiljems, Port Louis, Riviere Du Rempart, Savanne provinces",,,,,,,,,Kph,,,,,2007,2.0,25.0,2007,2.0,25.0,2.0,,,,,,,,,,,76.5186792040236,1,2018;2019;2020;2021;2022;2023;2024;2025;2026,,"Black River, Flacq, Grand Port, Moka, Pamplemousses, Plaines Wilhems, Port Louis, Riviere Du Rempart, Savanne (Adm1)."
2018-0029-MUS,2018,29,TC-2018-000007,Natural,Meteorological,Storm,Tropical cyclone,,Tropical storm 'Berguitta',Mauritius,MUS,Eastern Africa,Africa,"Rodrigues island, Rivière du Rempart, Pamplemousse, Port Louis, Flacq, Plaines Wilhems, Black River",,Flood,,,,,,120.0,Kph,,,,,2018,1.0,15.0,2018,1.0,21.0,,,30000.0,,30000.0,,,,,,,92.6696698010059,1,2017;2018;2019;2022;2023;2024;2025,,"Administrative unit not available, Black River, Flacq, Pamplemousses, Plaines Wilhems, Port Louis, Riviere Du Rempart (Adm1)."
2022-0061-MUS,2022,61,,Natural,Meteorological,Storm,Tropical cyclone,,Cyclone 'Batsirai',Mauritius,MUS,Eastern Africa,Africa,,,,,,,,,151.0,Kph,,,,,2022,2.0,2.0,2022,2.0,2.0,1.0,,139.0,,139.0,,,,,,,,,,,
