Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
1911-0023-MEX,1911,23,,Natural,Geophysical,Earthquake,Ground movement,,,Mexico,MEX,Central America,Americas,Michoacan,,,,,,,,8.0,Richter,17.5,-102.5,04:25,,1911,6.0,7.0,1911,6.0,7.0,45.0,22.0,,,22.0,,,,,,,3.4463418175431,,,,
1920-0017-MEX,1920,17,,Natural,Geophysical,Earthquake,Ground movement,,,Mexico,MEX,Central America,Americas,"Veracruz, Cozaultlan, Puebla, Patlanala",,,,,,,,8.0,Richter,19.26,-96.97,15:11,,1920,1.0,3.0,1920,1.0,3.0,648.0,167.0,,,167.0,,,,,,,7.4096349077176,,,,
1932-0017-MEX,1932,17,,Natural,Geophysical,Earthquake,Ground movement,,,Mexico,MEX,Central America,Americas,Near coast of Jalisco,,Tsunami/Tidal wave,,,,,,8.0,Richter,19.5,-104.25,04:36,,1932,6.0,3.0,1932,6.0,3.0,400.0,120.0,,,120.0,,,,,,,5.0464290899737,,,,
1932-0018-MEX,1932,18,,Natural,Geophysical,Earthquake,Ground movement,,,Mexico,MEX,Central America,Americas,Central,,Tsunami/Tidal wave,,,,,,7.0,Richter,19.0,-104.5,06:59,,1932,6.0,22.0,1932,6.0,22.0,,,,2000.0,2000.0,,,,,,,5.0464290899737,,,,
1937-0022-MEX,1937,22,,Natural,Geophysical,Earthquake,Ground movement,,,Mexico,MEX,Central America,Americas,"Esperanza, Veracruz",,,,,,,,8.0,Richter,18.8,-97.5,21:48,,1937,7.0,25.0,1937,7.0,25.0,34.0,,,,,,,,,,,5.3172130899236,,,,
1957-0009-MEX,1957,9,,Natural,Geophysical,Earthquake,Ground movement,,,Mexico,MEX,Central America,Americas,"Acapulco (Guerrero), Mexico City",,Tsunami/Tidal wave,,,,,,8.0,Richter,16.5,-99.1,02:40,,1957,7.0,28.0,1957,7.0,28.0,160.0,100.0,,,100.0,,,,,25000.0,241148.0,10.3670850645091,,,,
1959-0044-MEX,1959,44,,Natural,Geophysical,Earthquake,Ground movement,,,Mexico,MEX,Central America,Americas,Gulf of Campeche (Vera Cruz state),,,,,,,,6.0,Richter,18.22,-94.416,02:25,,1959,8.0,26.0,1959,8.0,26.0,25.0,200.0,,,200.0,,,,,,,10.75766455281,,,,
1964-0032-MEX,1964,32,,Natural,Geophysical,Earthquake,Ground movement,,,Mexico,MEX,Central America,Americas,"Guerrero, Michoacan",,,,Yes,,,,7.0,Richter,18.136,-100.605,01:22,,1964,7.0,6.0,1964,7.0,6.0,45.0,,4000.0,,4000.0,,,,,3000.0,26209.0,11.4465427509293,,,,
1968-0142-MEX,1968,142,,Natural,Geophysical,Earthquake,Ground movement,,,Mexico,MEX,Central America,Americas,"Oaxaca, Guerrero",,,,,,,,7.0,Richter,16.519,-97.739,08:06,,1968,8.0,2.0,1968,8.0,2.0,18.0,,,,,,,,,2400.0,18697.0,12.8366149136235,,,,
1968-0073-MEX,1968,73,,Natural,Geophysical,Earthquake,Ground movement,,,Mexico,MEX,Central America,Americas,Chiapas state,,Tsunami/Tidal wave,,,,,,6.0,Richter,15.5,-92.7,04:39,,1968,9.0,25.0,1968,9.0,25.0,15.0,500.0,,,500.0,,,,,,,12.8366149136235,,,,
