Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
1951-0017-MEX,1951,17,,Natural,Meteorological,Storm,Tropical cyclone,,,Mexico,MEX,Central America,Americas,East coast,,,,,,,,,Kph,,,,,1951,8.0,17.0,1951,8.0,17.0,50.0,,,,,,,,,,,9.6005236345842,,,,
1955-0009-MEX,1955,9,,Natural,Meteorological,Storm,Tropical cyclone,,Hilda,Mexico,MEX,Central America,Americas,Tampico,,,,,,,,,Kph,,,,,1955,9.0,19.0,1955,9.0,19.0,300.0,,,,,,,,,,,9.8811808440849,,,,
1955-0016-MEX,1955,16,,Natural,Meteorological,Storm,Tropical cyclone,,Janet,Mexico,MEX,Central America,Americas,Chetumal area,,,,,,,,,Kph,,,,,1955,9.0,28.0,1955,9.0,28.0,500.0,,,,,,,,,40000.0,404810.0,9.8811808440849,,,,
1959-0014-MEX,1959,14,,Natural,Meteorological,Storm,Tropical cyclone,,"Beulah, Manzanillo",Mexico,MEX,Central America,Americas,Jalisco & Colima,,,,,,,,,Kph,,,,,1959,10.0,27.0,1959,10.0,27.0,960.0,,,,,,,,,20000.0,185914.0,10.75766455281,,,,
1961-0014-MEX,1961,14,,Natural,Meteorological,Storm,Tropical cyclone,,Tara,Mexico,MEX,Central America,Americas,South,,,,,,,,,Kph,,,,,1961,11.0,12.0,1961,11.0,12.0,436.0,,,,,,,,,,,11.0313667176908,,,,
1966-0080-MEX,1966,80,,Natural,Meteorological,Storm,Tropical cyclone,,Inez,Mexico,MEX,Central America,Americas,"Yucatan, Tampico",,,,Yes,,,,,Kph,,,,,1966,10.0,7.0,1966,10.0,7.0,14.0,69.0,80000.0,10000.0,90069.0,,,,,24000.0,200358.0,11.9785873605948,,,,
1967-0014-MEX,1967,14,,Natural,Meteorological,Storm,,,,Mexico,MEX,Central America,Americas,Northern areas,,,,,,,,,Kph,,,,,1967,1.0,12.0,1967,1.0,12.0,34.0,,,,,,,,,,,12.3107281871857,,,,
1969-0085-MEX,1969,85,,Natural,Meteorological,Storm,,,,Mexico,MEX,Central America,Americas,South,,,,,,,,,Kph,,,,,1969,8.0,14.0,1969,8.0,14.0,58.0,,,,,,,,,,,13.5378001312049,,,,
1971-0038-MEX,1971,38,,Natural,Meteorological,Storm,Tropical cyclone,,,Mexico,MEX,Central America,Americas,Acapulco,,,,,,,,,Kph,,,,,1971,6.0,16.0,1971,6.0,16.0,17.0,,,,,,,,,,,14.9432495079816,,,,
1974-0030-MEX,1974,30,,Natural,Meteorological,Storm,Tropical cyclone,,,Mexico,MEX,Central America,Americas,Near Acapulco,,,,,,,,,Kph,,,,,1974,6.0,17.0,1974,6.0,17.0,13.0,,,,,,,,,,,18.196991034332,,,,
