Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
1966-0057-MNG,1966,57,,Natural,Hydrological,Flood,,,,Mongolia,MNG,Eastern Asia,Asia,Ulan Bator,,,,,,,,,Km2,,,,,1966,7.0,11.0,1966,7.0,11.0,57.0,,250000.0,20000.0,270000.0,,,,,25000.0,208706.0,11.9785873605948,,,,
1994-0214-MNG,1994,214,,Natural,Hydrological,Flood,,,,Mongolia,MNG,Eastern Asia,Asia,Ulan Bator,,,,,,,,,Km2,,,,,1994,8.0,10.0,1994,8.0,10.0,5.0,,,,,,,,,,,54.7016925431883,,,,
1996-0186-MNG,1996,186,,Natural,Hydrological,Flood,Flash flood,,,Mongolia,MNG,Eastern Asia,Asia,Ulan Bator,Brief torrential rain,,,,No,No,,,Km2,,,,"Tuul, Selbe rivers",1996,8.0,9.0,1996,8.0,11.0,41.0,,,,,,,,,,,57.8847058823529,,,,
2003-0351-MNG,2003,351,,Natural,Hydrological,Flood,Flash flood,,,Mongolia,MNG,Eastern Asia,Asia,"Bayangol, Chingeltei, Su'xbaatar, Songinoxairxan, Bayanzu'rx districts (Ulaanbaatar province), Bulgan, Teshig, Mogod districts (Bulgan province), Cogt-Ovoo district (O'mnogovi province), Xalx gol district (Dornod province), Orxontuul district (Selenge province), Ceel, Erdene districts (To'v province), Govi-Altai, Bayanxongor provinces",Torrential rains,,,,,,,281900.0,Km2,,,,Chalchyn Gol,2003,7.0,21.0,2003,8.0,10.0,15.0,,1500.0,150.0,1650.0,,,,,270.0,398.0,67.8888956921058,1;2,2077;2085,21506;21518;21531;21656;21687;21732;123574;123575;123585;123597;123598;123600;123615,"Bayanxongor, Govi-Altai (Adm1). Bayangol, Bayanzu'rx, Bulgan, Ceel, Chingeltei, Cogt-Ovoo, Erdene, Mogod, Orxontuul, Songinoxairxan, Su'xbaatar, Teshig, Xalx gol (Adm2)."
2009-0269-MNG,2009,269,FL-2009-000140,Natural,Hydrological,Flood,Riverine flood,,,Mongolia,MNG,Eastern Asia,Asia,"Bayanzu'rx, Xan-Uul districts (Ulaanbaatar province), Ceel, To'grog districts (Govi-Altai province), Dundgovi and To'v provinces",,"Slide (land, mud, snow, rock)",,,,,98.0,,Km2,,,,,2009,7.0,16.0,2009,7.0,26.0,26.0,,15000.0,,15000.0,,,,,94.0,119.0,79.1738027553029,1;2,2083;2094,21581;21583;123575;123599,"Dundgovi, To'v (Adm1). Bayanzu'rx, Ceel, To'grog, Xan-Uul (Adm2)."
2018-0249-MNG,2018,249,FL-2018-000092,Natural,Hydrological,Flood,Flash flood,,,Mongolia,MNG,Eastern Asia,Asia,"Arkhangai, Bulgan, Dornogovi, Umnugobi, Sukhbaatar, Selenge, Tuv, Khovd, Bayan-Ulgii, Zavkhan, Uvurkhangai, Khuvsgul, Bayanzurkh provinces",Heavy rains,,,,,,,,Km2,,,,,2018,7.0,3.0,2018,7.0,5.0,,,8301.0,,8301.0,,,,,,,92.6696698010059,1;2,2075;2076;2078;2082;2087;2088;2089;2091;2092;2093;2094;2097,123575,"Arxangai, Bayan-O'lgii, Bulgan, Dornogovi, O'mnogovi, O'vorxangai, Selenge, Su'xbaatar, To'v, Xo'vsgol, Xovd, Zavxan (Adm1). Bayanzu'rx (Adm2)."
2019-0219-MNG,2019,219,,Natural,Hydrological,Flood,,,,Mongolia,MNG,Eastern Asia,Asia,Ulaanbaatar; Tuv province,Heavy rains,,,,,,,85984.0,Km2,47.204,111.071,,,2019,6.0,15.0,2019,6.0,19.0,12.0,,500.0,,500.0,,,,,,,94.3490924994534,1,2094;2095,,"To'v, Ulaanbaatar (Adm1)."
2020-0284-MNG,2020,284,,Natural,Hydrological,Flood,,,,Mongolia,MNG,Eastern Asia,Asia,Sergelen District (Töv province) and Govisümber Provinces,Heavy rains,,,,,,,423250.0,Km2,46.388,106.222,,,2020,6.0,21.0,2020,6.0,25.0,2.0,,1230.0,,1230.0,,,,,,,95.5129674174503,1;2,2084,123605,Govisu'mber (Adm1). Sergelen (Adm2).
2020-0324-MNG,2020,324,,Natural,Hydrological,Flood,Flash flood,,,Mongolia,MNG,Eastern Asia,Asia,"Ulaanbaatar, Ömnögovi ,Töv, Khövsgöl, Khentii Provinces",Heavy rains,,,,,,,,Km2,,,,,2020,7.0,2.0,2020,7.0,4.0,8.0,,12000.0,,12000.0,,,,,1700.0,1780.0,95.5129674174503,1;2,2086;2088;2094;2095,21653,"To'v, Ulaanbaatar, Xentii, Xo'vsgol (Adm1). Nomgon (Adm2)."
2020-0602-MNG,2020,602,FF-2020-000168,Natural,Hydrological,Flood,Flash flood,,,Mongolia,MNG,Eastern Asia,Asia,"Arkhangai, Orkhon, Tuv, Uvs, Khuvsgul, Khentii, Darkhan-Uul, Dornod, Govi-Altai, Tuv, Selenge, Umnugovi provinces; Bagakhangai, Bayanzurkh and Sukhbaatar districts.",Heavy rains,,,,,,,,Km2,,,,,2020,7.0,8.0,2020,8.0,15.0,,,13875.0,,13875.0,,,,,,,95.5129674174503,1;2,2075;2079;2081;2085;2086;2088;2089;2090;2092;2093;2094;2096,123575;123590,"Arxangai, Darxan-Uul, Dornod, Govi-Altai, O'mnogovi, Orxon, Selenge, Su'xbaatar, To'v, Uvs, Xentii, Xo'vsgol (Adm1). Bagaxangai, Bayanzu'rx (Adm2)."
2021-0509-MNG,2021,509,FF-2021-000098,Natural,Hydrological,Flood,Flash flood,,,Mongolia,MNG,Eastern Asia,Asia,"Arkhangai, Umnugovi, Orkhon, Dornogovi, Govi-Altai, Uvurkhangai, Tuv Zavkhan, Dornod, Selenge, Khuvsgul, Bayan-Ulgii, Uvs, Khovd provinces; Songinokhairkhan, Bayangol, Bayanzurkh, Sukhbaatar, Chingeltei districts",,,,,,,,,Km2,,,,,2021,6.0,28.0,2021,7.0,29.0,,,6356.0,,6356.0,,,,,,,100.0,1;2,2075;2076;2081;2082;2085;2089;2090;2091;2092;2093;2094;2096;2097,123597,"Arxangai, Bayan-O'lgii, Dornod, Dornogovi, Govi-Altai, O'mnogovi, O'vorxangai, Orxon, Selenge, Su'xbaatar, To'v, Uvs, Zavxan (Adm1). Songinoxairxan (Adm2)."
