Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
1970-0001-MAR,1970,1,,Natural,Hydrological,Flood,,,,Morocco,MAR,Northern Africa,Africa,Northern regions,,,,Yes,,,,,Km2,,,,,1970,1.0,22.0,1970,1.0,22.0,11.0,3.0,266441.0,,266444.0,,,,,30000.0,209378.0,14.3281696916685,,,,
1975-0029-MAR,1975,29,,Natural,Hydrological,Flood,,,,Morocco,MAR,Northern Africa,Africa,Western provinces,,,,,,,,,Km2,,,,,1975,4.0,21.0,1975,4.0,21.0,10.0,,12000.0,,12000.0,,,,,,,19.8607741089,,,,
1979-0249-MAR,1979,249,,Natural,Hydrological,Flood,,,,Morocco,MAR,Northern Africa,Africa,Ouarzazate,,,,,,,,,Km2,,,,,1979,10.0,25.0,1979,10.0,25.0,16.0,,5560.0,732.0,6292.0,,,,,,,26.7834419418325,,,,
1995-0056-MAR,1995,56,,Natural,Hydrological,Flood,,,,Morocco,MAR,Northern Africa,Africa,Tata region (south-east),,,,,,,,,Km2,,,,,1995,4.0,1.0,1995,4.0,1.0,18.0,,3000.0,,3000.0,,,,,,,56.2363000218675,,,,
1995-0177-MAR,1995,177,,Natural,Hydrological,Flood,Riverine flood,,,Morocco,MAR,Northern Africa,Africa,"Marrakesh (Ourika region), Urigan, Sti Fadma, Zriketn, Ghmat (Atlas range), Ouarzazate, Taroudant",Heavy rain,,,,No,No,551.0,132500.0,Km2,,,,"Gigaya, Ourika, Gamat",1995,8.0,17.0,1995,8.0,18.0,730.0,,35000.0,,35000.0,,,,,9000.0,16004.0,56.2363000218675,,,,
1995-0196-MAR,1995,196,,Natural,Hydrological,Flood,Flash flood,,,Morocco,MAR,Northern Africa,Africa,"Taza, Oued Amlil, Zouagha, Taounate and Bouabbane",,,,,,,,,Km2,,,,,1995,9.0,4.0,1995,9.0,4.0,43.0,,,,,,,,,,,56.2363000218675,,,,
1996-0014-MAR,1996,14,,Natural,Hydrological,Flood,Riverine flood,,,Morocco,MAR,Northern Africa,Africa,"Beni Mellal, Casa Sebaa, Chefchaoun, Essaouirra, Ifrane, Irane, Jadida, Kenitra, Khenifra, Larache, Marrakesh, Nador, Safi, Sale, Sidi Kacem, Taroudant provinces",Heavy rains,,,Yes,No,No,797.0,1324.0,Km2,,,,,1996,1.0,21.0,1996,2.0,1.0,25.0,,60000.0,,60000.0,,,,,55000.0,95016.0,57.8847058823529,,,,
1997-0236-MAR,1997,236,,Natural,Hydrological,Flood,Flash flood,,,Morocco,MAR,Northern Africa,Africa,"El Hajeb, Taza, Khenifra, Marrakesh, Meknes, Imouzzer-Handar, Rommani, Atlas Mountains.",Brief torrential rain,,,,No,No,,,Km2,,,,,1997,9.0,28.0,1997,9.0,29.0,60.0,,,,,,,,,,,59.2378657336541,,,,
2000-0691-MAR,2000,691,,Natural,Hydrological,Flood,Flash flood,,,Morocco,MAR,Northern Africa,Africa,"Guercif area (Taza district, Taza - Al Hoceima - Taounate province)",Brief torrential rain,,,,,,,,Km2,,,,,2000,10.0,22.0,2000,10.0,25.0,,,300.0,,300.0,,,,,,,63.5495473431008,2,,21791,Taza (Adm2).
2000-0841-MAR,2000,841,,Natural,Hydrological,Flood,,,,Morocco,MAR,Northern Africa,Africa,"Tétouan, Tangiers, Chefchaouen, Larache districts (Tanger - Tétouan province), Settat, Khouribga districts (Chaouia - Ouardigha province), Kasba Tadla area (Béni Mellal district, Tadla - Azilal province)",,,,,,,,,Km2,,,,,2000,12.0,22.0,2000,12.0,22.0,6.0,,650.0,,650.0,,,,,,,63.5495473431008,2,,21802;21805;21806;21808;21811;21817;147362,"B??ni Mellal, Chefchaouen, Khouribga, Larache, Settat, T??touan, Tanger-Assilah (Adm2)."
