Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
1971-0011-MOZ,1971,11,,Natural,Hydrological,Flood,Riverine flood,,,Mozambique,MOZ,Eastern Africa,Africa,,,,,,,,,,Km2,,,,,1971,1.0,29.0,1971,1.0,29.0,500.0,,500000.0,,500000.0,,,,,,,14.9432495079816,,,,
1975-0016-MOZ,1975,16,,Natural,Hydrological,Flood,,,,Mozambique,MOZ,Eastern Africa,Africa,Limpolo R. Valley,,,,Yes,,,,,Km2,,,,,1975,1.0,25.0,1975,1.0,25.0,1.0,,75000.0,,75000.0,,,,,,,19.8607741089,,,,
1997-0026-MOZ,1997,26,,Natural,Hydrological,Flood,Riverine flood,,,Mozambique,MOZ,Eastern Africa,Africa,"Manica, Sofala, Tete, Zambezia provinces",Heavy rain,,,Yes,No,No,190.0,,Km2,,,,,1997,1.0,15.0,1997,2.0,28.0,35.0,,400000.0,,400000.0,,,,,,,59.2378657336541,,,,
1999-0071-MOZ,1999,71,,Natural,Hydrological,Flood,Riverine flood,,,Mozambique,MOZ,Eastern Africa,Africa,"Nampula, Inhambane, Sofala, Tete and Zambezi Provinces",Heavy rain,,,Yes,No,No,3547.0,700.0,Km2,,,,"Pungoe, Buzi, Govuro, Zambezi, Limpopo, Changane, Save",1999,1.0,15.0,1999,3.0,15.0,23.0,,70000.0,,70000.0,,,,,12400.0,20171.0,61.473667176908,,,,
2000-0012-MOZ,2000,12,,Natural,Hydrological,Flood,Riverine flood,,,Mozambique,MOZ,Eastern Africa,Africa,"Matutuine, Manhica, Magude, Marracuene districts (Maputo province), Chibuto, Chokwe, Mabalane districts (Gaza Province), Inhambane, Sofala, Manica, Tete provinces",Heavy rain,,,Yes,,,165846.0,1980.0,Km2,,,,"Incomati, Umbeluzi, Limpopo, Sabie, Save, Lucite, Buzi",2000,1.0,26.0,2000,3.0,27.0,800.0,,4500000.0,,4500000.0,,,1500.0,2360.0,419200.0,659643.0,63.5495473431008,1;2,2114;2115;2120;2121,21850;21853;21855;21883;21885;21886;41375;41376,"Inhambane, Manica, Sofala, Tete (Adm1). Chibuto, Chokwe, Mabalane, Magude, Manhica, Marracuene, Matutuine (Adm2)."
2001-0019-MOZ,2001,19,,Natural,Hydrological,Flood,Coastal flood,,,Mozambique,MOZ,Eastern Africa,Africa,"Nhacolo town (Tambara district, Manica province), Nova Mambone area (Govuro district, Inhambane province), Nicoadala, Namacurra, Pebane, Chinde, Maganja da Costa, Morrumbala, Mopeia, Cidade de Quelimane districts (Zambezia province), Cidade da Beira, Buzi, Chibabava, Dondo, Marromeu, Nhamatanda, Caia, Chemba districts (Sofala province),Mutarara, Zumbo, Magoe, Macanga, Cidad de Tete districts (Tete province), Massangena district (Gaza province)",Tropical cyclone,,,Yes,,,23156.0,200000.0,Km2,,,,"Zambezi, Nhamadzi, Dziwedziwe, Nipiode River, Pungue and Buzi Rivers, Zambezi River, Save River",2001,1.0,1.0,2001,4.0,27.0,79.0,,549326.0,,549326.0,,,,,36000.0,55092.0,65.345558714192,2,,21857;21861;21880;21922;21923;21924;21926;21927;21931;21933;21939;21940;21943;21945;21946;21952;21956;21957;21958;21960;21961;65263;65264;65266,"Buzi, Caia, Chemba, Chibabava, Chinde, Cidade da Beira, Cidade de Quelimane, Cidade de Tete, Dondo, Govuro, Macanga, Maganja da Costa, Magoe, Marromeu, Massangena, Mopeia, Morrumbala, Mutarara, Namacurra, Nhamatanda, Nicoadala, Pebane, Tambara, Zumbu (Adm2)."
2002-0163-MOZ,2002,163,,Natural,Hydrological,Flood,Riverine flood,,,Mozambique,MOZ,Eastern Africa,Africa,"Cidade de Nampula district (Nampula province), Cidade da Beira (Sofala province)",Heavy rain,,,,,,,1176.0,Km2,,,,,2002,3.0,18.0,2002,3.0,22.0,,,,500.0,500.0,,,,,,,66.3819636999782,2,,65259;65263,"Cidade da Beira, Cidade de Nampula (Adm2)."
2003-0020-MOZ,2003,20,,Natural,Hydrological,Flood,Coastal flood,,,Mozambique,MOZ,Eastern Africa,Africa,"Moma, Angoche, Mogovolas, Mongicual, Lalaua, Nampula, Cidade de Nampula, Murrupula, Ribaue, Malema, Mecuburi districts (Nampula province), Cidade de Quelimane, Nicoadala, Maganja da Costa, Namacurra, Mocuba, Pebane, Gurue districts (Zambezia province), Pemba, Cidade de Pemba districts (Cabo Delgado province), Tete province",Tropical depression/cyclone Delfina,,,,,,107.0,,Km2,,,,"Meluli, Mutivaze, Monapo, Licungo, Revubue, Muaguide, Montepuez, Messalo",2003,1.0,1.0,2003,2.0,17.0,4.0,3.0,100000.0,,100003.0,,,,,,,67.8888956921058,1;2,2121,21847;21889;21891;21892;21894;21896;21897;21898;21902;21905;21906;21948;21952;21954;21958;21960;21961;65247;65259;65266,"Tete (Adm1). Angoche, Cidade de Nampula, Cidade de Pemba, Cidade de Quelimane, Gurue, Lalaua, Maganja da Costa, Malema, Mecuburi, Mocuba, Mogincual, Mogovolas, Moma, Murrupula, Namacurra, Nampula, Nicoadala, Pebane, Pemba, Ribaue (Adm2)."
2003-0098-MOZ,2003,98,,Natural,Hydrological,Flood,Riverine flood,,,Mozambique,MOZ,Eastern Africa,Africa,"Metuge area (Pemba district, Cabo Delgado province), Nampula, Manica, Inhambane provinces",Torrential rains,,,,Yes,,,88560.0,Km2,,,,Save,2003,2.0,4.0,2003,2.0,17.0,32.0,,400000.0,,400000.0,,,,,,,67.8888956921058,1;2,2114;2115;2118,21847,"Inhambane, Manica, Nampula (Adm1). Pemba (Adm2)."
2003-0233-MOZ,2003,233,,Natural,Hydrological,Flood,Riverine flood,,,Mozambique,MOZ,Eastern Africa,Africa,Cidade da Beira district (Sofala province),Torrential rains,,,,,,,700.0,Km2,,,,,2003,3.0,26.0,2003,3.0,28.0,2.0,,15000.0,,15000.0,,,,,,,67.8888956921058,2,,65263,Cidade da Beira (Adm2).
2005-0075-MOZ,2005,75,,Natural,Hydrological,Flood,Riverine flood,,,Mozambique,MOZ,Eastern Africa,Africa,"Mutarara districts (Tete province), Caia, Marromeu districts (Sofala province), Mopeia, Chinde districts (Zambezia province)",Heavy rains,,,,,,,24300.0,Km2,,,,"Lower Zambezi river, Pungue river",2005,1.0,25.0,2005,2.0,9.0,,,18825.0,,18825.0,,,,,,,72.0714104526569,2,,21923;21931;21943;21946;21956,"Caia, Chinde, Marromeu, Mopeia, Mutarara (Adm2)."
2005-0715-MOZ,2005,715,,Natural,Hydrological,Flood,Riverine flood,,,Mozambique,MOZ,Eastern Africa,Africa,"Nampula district (Nampula province), Dondo, Nhamatanda, Buzi, Cidade da Beira, Caia, Marromeu districts (Sofala province), Xai-Xai district (Gaza province), Gurue district (Zambezia province), Cabo Delgado, Inhambane, Maputo provinces",Heavy rains,Rain,,,,,,,Km2,,,,"Shire, Ruo, Zamebzi, Pungue, Mutamba, Licungo, Buzi",2005,12.0,22.0,2006,2.0,7.0,16.0,12.0,20000.0,9000.0,29012.0,,,,,,,72.0714104526569,1;2,2112;2114;41373,21859;21905;21922;21923;21927;21931;21933;21948;65263,"Cabo Delgado, Inhambane, Maputo (Adm1). Buzi, Caia, Cidade da Beira, Dondo, Gurue, Marromeu, Nampula, Nhamatanda, Xai-xai (Adm2)."
2007-0020-MOZ,2007,20,,Natural,Hydrological,Flood,Riverine flood,,,Mozambique,MOZ,Eastern Africa,Africa,"Buzi, Grudja areas (Buzi district, Sofala province), Caia, Sena areas (Caia district, Sofala province), Gurue, Quelimane, Namacurra, Mocuba, Maganja da Costa, Mopeia, Chinde, Nicoadala, Morrumbala districts (Zambezia province), Tambara, Guro, Sussundenga districts (Manica province), Marromeu, Chemba, Chibabava, Cidade da Beira districts (Sofala province), Mutarara, Zumbo, Chuita, Moatize, Magoe, Cahora Bassa, Changara districts (Tete province), Moma, Mogovolas districts (Nampula province)",Heavy rains,Rain,,,,,47505.0,,Km2,-17.47,35.15,,Zambeze,2007,1.0,17.0,2007,2.0,,29.0,,285000.0,,285000.0,,,,,71000.0,92788.0,76.5186792040236,2,,21874;21879;21880;21897;21898;21922;21923;21924;21926;21931;21935;21936;21938;21940;21942;21943;21945;21946;21948;21952;21954;21956;21957;21958;21960;65263;65266,"Buzi, Cahora Bassa, Caia, Changara, Chemba, Chibabava, Chinde, Chiuta, Cidade da Beira, Cidade de Quelimane, Guro, Gurue, Maganja da Costa, Magoe, Marromeu, Moatize, Mocuba, Mogovolas, Moma, Mopeia, Morrumbala, Mutarara, Namacurra, Nicoadala, Sussundenga, Tambara, Zumbu (Adm2)."
2007-0034-MOZ,2007,34,,Natural,Hydrological,Flood,Riverine flood,,,Mozambique,MOZ,Eastern Africa,Africa,"Cidade de Quelimane, Namacurra districts (Zambezia province)",Torrential rains,,,,,,,,Km2,,,,,2007,1.0,20.0,2007,1.0,23.0,5.0,,,3500.0,3500.0,,,,,,,76.5186792040236,2,,21958;65266,"Cidade de Quelimane, Namacurra (Adm2)."
2007-0614-MOZ,2007,614,FL-2007-000016,Natural,Hydrological,Flood,,,,Mozambique,MOZ,Eastern Africa,Africa,"Mutarara, Nhamayabue, Inhangoma areas (Mutarara district, Tete province), Nova Mabone area (Govuro district, Inhambane province), Mossurize, Sussundenga, Tambara (Manica province), Mopeia, Chinde, Morrumbala, Maganja da Costa, Namacurra, Nicoadala districts (Zambezia province), Nampula, Cabo Delgado, Sofala provinces",Heavy rains,,,Yes,,,,57570.0,Km2,-19.06,34.36,,"Buzi, Pungue, Save, Zambèze",2007,12.0,11.0,2008,1.0,3.0,20.0,,113535.0,,113535.0,,,,,100000.0,130687.0,76.5186792040236,1;2,2112;2118;2120,21861;21878;21879;21880;21943;21946;21952;21956;21957;21958;21960,"Cabo Delgado, Nampula, Sofala (Adm1). Chinde, Govuro, Maganja da Costa, Mopeia, Morrumbala, Mossurize, Mutarara, Namacurra, Nicoadala, Sussundenga, Tambara (Adm2)."
2007-0616-MOZ,2007,616,FL-2008-000004,Natural,Hydrological,Flood,Riverine flood,,,Mozambique,MOZ,Eastern Africa,Africa,"Nova Mambone area (Govuro district, Inhambane province), Machanga district (Sofala province)",Heavy rains,,,,,,,,Km2,-20.78,31.24,,,2007,12.0,19.0,2008,1.0,2.0,,,,,,,,,,,,76.5186792040236,2,,21861;21929,"Govuro, Machanga (Adm2)."
2008-0628-MOZ,2008,628,,Natural,Hydrological,Flood,Riverine flood,,,Mozambique,MOZ,Eastern Africa,Africa,"Manica, Mossurize, Tambara districts (Manica province), Maputo, Inhambane, Gaza, Tete provinces",Heavy rain,,,,,,,126000.0,Km2,-22.92,34.03,,,2008,12.0,28.0,2009,1.0,19.0,25.0,,3500.0,,3500.0,,,,,,,79.4563043953641,1;2,2113;2114;2121;41373,21877;21878;21880,"Gaza, Inhambane, Maputo, Tete (Adm1). Manica, Mossurize, Tambara (Adm2)."
