Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
1930-0006-MMR,1930,6,,Natural,Geophysical,Earthquake,Ground movement,,,Myanmar,MMR,South-Eastern Asia,Asia,"Pegu, Rangoon",,Tsunami/Tidal wave,,,,,,8.0,Richter,17.86,96.43,20:15,,1930,5.0,5.0,1930,5.0,5.0,500.0,,,,,,,,,,,6.1787985443093,,,,
1930-0030-MMR,1930,30,,Natural,Geophysical,Earthquake,Ground movement,,,Myanmar,MMR,South-Eastern Asia,Asia,Tharrawaddy,,,,,,,,,Richter,17.4,95.5,,,1930,7.0,18.0,1930,7.0,18.0,50.0,,,,,,,,,,,6.1787985443093,,,,
1930-0017-MMR,1930,17,,Natural,Geophysical,Earthquake,Ground movement,,,Myanmar,MMR,South-Eastern Asia,Asia,"Nyauglebin, Toungoo, Pyu",,,,,,,,7.0,Richter,18.233,96.298,01:21,,1930,12.0,4.0,1930,12.0,4.0,36.0,,,,,,,,,,,6.1787985443093,,,,
1941-0016-MMR,1941,16,,Natural,Geophysical,Earthquake,Ground movement,,,Myanmar,MMR,South-Eastern Asia,Asia,Myanmar-China border region,,,,,,,,7.0,Richter,22.408,99.814,21:48,,1941,12.0,26.0,1941,12.0,26.0,15.0,,,,,,,,,,,5.4402967262644,,,,
1991-0001-MMR,1991,1,,Natural,Geophysical,Earthquake,Ground movement,,,Myanmar,MMR,South-Eastern Asia,Asia,Thabeikkyin area,,,,,No,No,,7.0,Richter,23.5 N,96.3 E,,,1991,1.0,5.0,1991,1.0,5.0,,,160.0,,160.0,,,,,,,50.2608528318391,,,,
1995-0148-MMR,1995,148,,Natural,Geophysical,Earthquake,Ground movement,,,Myanmar,MMR,South-Eastern Asia,Asia,Shan state,,,,,No,No,,7.0,Richter,21.966 N,99.196 E,04:47,,1995,7.0,12.0,1995,7.0,12.0,,,,,,,,,,,,56.2363000218675,,,,
2004-0659-MMR,2004,659,,Natural,Geophysical,Earthquake,Tsunami,,,Myanmar,MMR,South-Eastern Asia,Asia,"Kawthoung, Pyapon, Pathein districts (Ayeyawaddy province), Kawthoung district (Taninthayi province), Sittwe district (Rakhine province)",,,,,,,,9.0,Richter,3.295,95.982,,,2004,12.0,26.0,2004,12.0,26.0,71.0,,12500.0,3200.0,15700.0,,,,,500000.0,717294.0,69.7064421605073,2,,41779;41780;41781;41813;41835,"Kawthoung, Myaungmya, Pathein, Pyapon, Sittwe (Adm2)."
2011-0090-MMR,2011,90,EQ-2011-000031,Natural,Geophysical,Earthquake,Ground movement,,,Myanmar,MMR,South-Eastern Asia,Asia,"Tarlay area (Tachileik district, Shan (E) province)",,,,,,,1008.0,7.0,Richter,20.687,99.822,20:29,,2011,3.0,24.0,2011,3.0,24.0,74.0,125.0,18000.0,3152.0,21277.0,,,,,3600.0,4337.0,83.0126743931774,2,,41826,Tachileik (Adm2).
2012-0417-MMR,2012,417,EQ-2012-000190,Natural,Geophysical,Earthquake,Ground movement,,,Myanmar,MMR,South-Eastern Asia,Asia,"Chaung-U area (Monywa district, Sagaing province), Kyaukmyaung village (Shwebo district, Sagaing province), Myaung area (Sagaing district, Sagaing province), Mogok, Singu, Thabeikkyin areas (Pyin-Oo-Lwin district, Mandalay province), Kyaukse district (Mandalay province)",,"Slide (land, mud, snow, rock)",,,,,,7.0,Richter,23.005,95.885,07:42,,2012,11.0,11.0,2012,11.0,11.0,38.0,231.0,1255.0,,1486.0,,,,,1170.0,1381.0,84.7304788978789,2,,41801;41806;41819;41820;41821,"Kyaukse, Monywa, Pyin-Oo-Lwin, Sagaing, Shwebo (Adm2)."
2016-0383-MMR,2016,383,,Natural,Geophysical,Earthquake,Ground movement,,,Myanmar,MMR,South-Eastern Asia,Asia,"Magway, Mandalay, Rakhine, Sagaing provinces",,,,,,,,7.0,Richter,20.923,94.569,,,2016,8.0,24.0,2016,8.0,24.0,4.0,2.0,1150.0,,1152.0,,,,,10000.0,11290.0,88.573452875574,1,2123;2130;2131;2133,,"Magway, Mandalay, Rakhine, Sagaing (Adm1)."
