Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
1965-0063-MMR,1965,63,,Natural,Hydrological,Flood,,,,Myanmar,MMR,South-Eastern Asia,Asia,Yamenthin district,,,,,,,,,Km2,,,,,1965,11.0,10.0,1965,11.0,10.0,34.0,,,,,,,,,,,11.6279903783075,,,,
1970-0046-MMR,1970,46,,Natural,Hydrological,Flood,Flash flood,,,Myanmar,MMR,South-Eastern Asia,Asia,Pyinmana,,,,,,,,,Km2,,,,,1970,9.0,8.0,1970,9.0,8.0,90.0,,,,,,,,,,,14.3281696916685,,,,
1974-0040-MMR,1974,40,,Natural,Hydrological,Flood,Riverine flood,,,Myanmar,MMR,South-Eastern Asia,Asia,"Myitkyina, Mandalay, Sagaing, Nyaungu, Minbu, Prome, Henzada (Central Burma)",,,,Yes,,,,,Km2,,,,,1974,7.0,15.0,1974,7.0,15.0,,,1400000.0,,1400000.0,,,,,,,18.196991034332,,,,
1991-0168-MMR,1991,168,,Natural,Hydrological,Flood,Riverine flood,,,Myanmar,MMR,South-Eastern Asia,Asia,"Sagaing, Ayeyarwady divisions",,,,Yes,No,No,,1011.0,Km2,,,,,1991,7.0,13.0,1991,7.0,13.0,23.0,,359976.0,,359976.0,,,,,79840.0,158851.0,50.2608528318391,,,,
1995-0230-MMR,1995,230,,Natural,Hydrological,Flood,,,,Myanmar,MMR,South-Eastern Asia,Asia,Wun Tho Kawlin (Sagaing division),,,,Yes,,,181.0,10.0,Km2,,,,,1995,9.0,12.0,1995,9.0,12.0,51.0,,19544.0,12401.0,31945.0,,,,,,,56.2363000218675,,,,
1997-0177-MMR,1997,177,,Natural,Hydrological,Flood,,,,Myanmar,MMR,South-Eastern Asia,Asia,"Mon, Kachin, Shan states, Sagaing, Magwe Bago, Ayeyardwaddy divisions",,,,Yes,,,704.0,,Km2,,,,,1997,8.0,21.0,1997,8.0,21.0,68.0,,103650.0,33768.0,137418.0,,,,,,,59.2378657336541,,,,
2001-0746-MMR,2001,746,,Natural,Hydrological,Flood,Riverine flood,,,Myanmar,MMR,South-Eastern Asia,Asia,"Meikthila, Wundwin, Mahlaing areas (Meikthila district, Mandaly province)",,,,,,,,,Km2,,,,,2001,6.0,2.0,2001,6.0,2.0,51.0,,,3750.0,3750.0,,,,,,,65.345558714192,2,,41803,Meikthila (Adm2).
2006-0544-MMR,2006,544,,Natural,Hydrological,Flood,Riverine flood,,,Myanmar,MMR,South-Eastern Asia,Asia,Mandalay province,Monsoonal rain,,,,,,,188000.0,Km2,19.91,95.45,,"Irrawaddy, Sittang, Chindwin, Mu",2006,9.0,15.0,2006,10.0,19.0,25.0,,10000.0,,10000.0,,,,,,,74.3963874917997,1,2131,,Mandalay (Adm1).
2007-0186-MMR,2007,186,,Natural,Hydrological,Flood,Riverine flood,,,Myanmar,MMR,South-Eastern Asia,Asia,Yangon province,Heavy rain,,,,,,,15670.0,Km2,16.91,96.13,,,2007,5.0,3.0,2007,5.0,9.0,5.0,,3000.0,,3000.0,,,,,,,76.5186792040236,1,2136,,Yangon (Adm1).
2007-0161-MMR,2007,161,FL-2007-000080,Natural,Hydrological,Flood,Riverine flood,,,Myanmar,MMR,South-Eastern Asia,Asia,Rakhine province,,"Slide (land, mud, snow, rock)",,,,,,,Km2,,,,Mayu river,2007,6.0,11.0,2007,6.0,11.0,,,,,,,,,,,,76.5186792040236,1,2123,,Rakhine (Adm1).
