Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
1902-0005-MMR,1902,5,,Natural,Meteorological,Storm,Tropical cyclone,,,Myanmar,MMR,South-Eastern Asia,Asia,Rangoon,,,,,,,,,Kph,,,,,1902,5.0,4.0,1902,5.0,4.0,600.0,,,,,,,,,,,3.2001745448614,,,,
1923-0004-MMR,1923,4,,Natural,Meteorological,Storm,Tropical cyclone,,,Myanmar,MMR,South-Eastern Asia,Asia,Maungdaw,,,,,,,,,Kph,,,,,1923,5.0,7.0,1923,5.0,7.0,6.0,,,,,,,,,,,6.3018821806502,,,,
1926-0005-MMR,1926,5,,Natural,Meteorological,Storm,Tropical cyclone,,,Myanmar,MMR,South-Eastern Asia,Asia,Arrakan,,,,,,,,,Kph,,,,,1926,5.0,19.0,1926,5.0,19.0,2700.0,,,40000.0,40000.0,,,,,,,6.5480494533318,,,,
1936-0004-MMR,1936,4,,Natural,Meteorological,Storm,Tropical cyclone,,,Myanmar,MMR,South-Eastern Asia,Asia,Arakan Coast,,,,,,,,,Kph,,,,,1936,4.0,21.0,1936,4.0,21.0,1000.0,,,150000.0,150000.0,,,,,,,5.1325876354123,,,,
1963-0012-MMR,1963,12,,Natural,Meteorological,Storm,Tropical cyclone,,,Myanmar,MMR,South-Eastern Asia,Asia,Akyab,,,,,,,,,Kph,,,,,1963,5.0,25.0,1963,5.0,25.0,,,,200.0,200.0,,,,,,,11.3019986879511,,,,
1965-0060-MMR,1965,60,,Natural,Meteorological,Storm,Tropical cyclone,,,Myanmar,MMR,South-Eastern Asia,Asia,"South, Central",,,,Yes,,,,,Kph,,,,,1965,10.0,23.0,1965,10.0,23.0,100.0,,500000.0,,500000.0,,,,,1000.0,8600.0,11.6279903783075,,,,
1967-0036-MMR,1967,36,,Natural,Meteorological,Storm,Tropical cyclone,,,Myanmar,MMR,South-Eastern Asia,Asia,"Arakan Coast, West Irraw",,,,Yes,,,,,Kph,,,,,1967,5.0,16.0,1967,5.0,16.0,100.0,200.0,130000.0,,130200.0,,,,,5000.0,40615.0,12.3107281871857,,,,
1967-0068-MMR,1967,68,,Natural,Meteorological,Storm,Tropical cyclone,,,Myanmar,MMR,South-Eastern Asia,Asia,"North West Coast-Akyab, Monywa",,,,Yes,,,,,Kph,,,,,1967,10.0,23.0,1967,10.0,23.0,178.0,,27319.0,,27319.0,,,,,3200.0,25994.0,12.3107281871857,,,,
1968-0049-MMR,1968,49,,Natural,Meteorological,Storm,Tropical cyclone,,,Myanmar,MMR,South-Eastern Asia,Asia,North Arakan Coast,,,,Yes,,,,,Kph,,,,,1968,5.0,10.0,1968,5.0,10.0,1070.0,,60000.0,30000.0,90000.0,,,,,2500.0,19476.0,12.8366149136235,,,,
1978-0070-MMR,1978,70,,Natural,Meteorological,Storm,Tropical cyclone,,,Myanmar,MMR,South-Eastern Asia,Asia,Arakan division,,,,,,,,,Kph,,,,,1978,5.0,17.0,1978,5.0,17.0,,,78000.0,54000.0,132000.0,,,,,,,24.0740345506232,,,,
1982-0057-MMR,1982,57,,Natural,Meteorological,Storm,Tropical cyclone,,,Myanmar,MMR,South-Eastern Asia,Asia,South West,,,,,,,,,Kph,,,,,1982,5.0,4.0,1982,5.0,4.0,11.0,,36000.0,,36000.0,,,,,,,35.6128405860485,,,,
1994-0615-MMR,1994,615,,Natural,Meteorological,Storm,Tropical cyclone,,,Myanmar,MMR,South-Eastern Asia,Asia,"Maungdaw, Buthidaung, Rakhine State",,,,,,,116.0,,Kph,,,,,1994,5.0,2.0,1994,5.0,2.0,17.0,,64970.0,,64970.0,,,,,10000.0,18281.0,54.7016925431883,,,,
2004-0235-MMR,2004,235,,Natural,Meteorological,Storm,Tropical cyclone,,,Myanmar,MMR,South-Eastern Asia,Asia,"Myebon, Sittwe, Ponnagyun, Pauktaw, Mrauk-U, Minbya areas (Sittwe district, Rakhine province), Kyaukpyu, Ann areas (Kyaukpyu district, Rakhine province)",,Flood,Surge,,Yes,,264.0,160.0,Kph,,,,,2004,5.0,19.0,2004,5.0,19.0,236.0,,,25000.0,25000.0,,,,,688.0,987.0,69.7064421605073,2,,41811;41813,"Kyaukpyu, Sittwe (Adm2)."
2006-0241-MMR,2006,241,,Natural,Meteorological,Storm,Tropical cyclone,,Mala,Myanmar,MMR,South-Eastern Asia,Asia,"Hlinethaya area (Yangon(N) district, Yangon province), Ayeyawaddy, Rakhine provinces",,Flood,,,,,,240.0,Kph,18.37,94.95,,,2006,4.0,29.0,2006,5.0,5.0,34.0,31.0,60075.0,,60106.0,,,,,,,74.3963874917997,1;2,2123;2126,41838,"Ayeyawaddy, Rakhine (Adm1). Yangon(N) (Adm2)."
2008-0184-MMR,2008,184,TC-2008-000057,Natural,Meteorological,Storm,Tropical cyclone,,Cyclone 'Nargis',Myanmar,MMR,South-Eastern Asia,Asia,"Labutta, Mawlamyinegyunn areas (Myaungmya district, Ayeyawaddy province), Ngapudaw area (Pathein district, Ayeyawaddy province), Bogale, Dedaye, Kyaiklat areas (Pyapon district, Ayeyawaddy province), Kungyangon, Kawhmu, Twantay, Kyauktan areas (Yangon(S) district, Yangon province), Bago (E), Bago (W), Kayin, Kayar, Mon provinces",,Flood,,Yes,,Yes,607329.0,215.0,Kph,,,,,2008,5.0,2.0,2008,5.0,3.0,138366.0,20000.0,2400000.0,,2420000.0,,,,,4000000.0,5034213.0,79.4563043953641,1;2,2128;2129;2132;41772;41773,41779;41780;41781;41839,"Bago (E), Bago (W), Kayar, Kayin, Mon (Adm1). Myaungmya, Pathein, Pyapon, Yangon(S) (Adm2)."
2010-0554-MMR,2010,554,TC-2010-000211,Natural,Meteorological,Storm,Tropical cyclone,,Cyclone 'Giri',Myanmar,MMR,South-Eastern Asia,Asia,"Kyaukpyu, Manaung areas (Kyaukpyu district, Rakhine province), Minbya, Myebon, Pauktaw areas (Sittwe district, Rakhine province), Salin area (Minbu district, Magway province), Seikphyu, Pakokku, Paukkhaung areas (Pakokku district, Magway province)",,Tsunami/Tidal wave,Flood,Yes,,,,193.0,Kph,,,,,2010,10.0,22.0,2010,10.0,22.0,45.0,49.0,260000.0,,260049.0,,,,,57000.0,70832.0,80.472285151979,2,,41798;41799;41811;41813,"Kyaukpyu, Minbu, Pakokku, Sittwe (Adm2)."
2015-0118-MMR,2015,118,,Natural,Meteorological,Storm,Convective storm,Lightning/Thunderstorms,,Myanmar,MMR,South-Eastern Asia,Asia,"Chin, Kachin, Sagaing, Shan (N) provinces",,,,,,,,,Kph,,,,,2015,4.0,4.0,2015,4.0,5.0,3.0,,,,,,,,,,,87.4699322108025,1,2125;2127;2133;41775,,"Chin, Kachin, Sagaing, Shan (N) (Adm1)."
