Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
2003-0220-NAM,2003,220,,Natural,Hydrological,Flood,Flash flood,,,Namibia,NAM,Southern Africa,Africa,"Kabe, Katima Muliro Rural, Katima Muliro Urban districts (Caprivi province)",Torrential rains,,,,,,203.0,400.0,Km2,,,,Zambezi,2003,5.0,12.0,2003,5.0,12.0,2.0,,12000.0,,12000.0,,,,,,,67.8888956921058,2,,42154;42155;42156,"Kabe, Katima Muliro Rural, Katima Muliro Urban (Adm2)."
2004-0159-NAM,2004,159,,Natural,Hydrological,Flood,Riverine flood,,,Namibia,NAM,Southern Africa,Africa,"Kavango, Caprivi provinces",Heavy rains,,,,,,26.0,,Km2,,,,,2004,2.0,1.0,2004,6.0,2.0,,,20000.0,,20000.0,,,,,,,69.7064421605073,1,2137;2141,,"Caprivi, Kavango (Adm1)."
2006-0108-NAM,2006,108,,Natural,Hydrological,Flood,Riverine flood,,,Namibia,NAM,Southern Africa,Africa,Mariental Urban district (Hardap province),Heavy rain,Broken Dam/Burst bank,,,,,97.0,16110.0,Km2,-24.53,17.98,,"Fish, Schlip, Kub",2006,2.0,24.0,2006,2.0,28.0,5.0,,2100.0,,2100.0,,,,,8490.0,11412.0,74.3963874917997,2,,22262,Mariental Urban (Adm2).
2007-0075-NAM,2007,75,,Natural,Hydrological,Flood,Riverine flood,,,Namibia,NAM,Southern Africa,Africa,Caprivi province,Excessive rains,,,,,,,,Km2,12.95,24.37,,,2007,1.0,10.0,2007,5.0,10.0,7.0,,15000.0,,15000.0,,,,,,,76.5186792040236,1,2137,,Caprivi (Adm1).
2008-0060-NAM,2008,60,,Natural,Hydrological,Flood,Riverine flood,,,Namibia,NAM,Southern Africa,Africa,"Omusati, Oshana, Oshikoto, Ohangwena, Caprivi provinces",Heavy rains,,,Yes,Yes,,,,Km2,-17.05,17.26,,,2008,1.0,30.0,2008,3.0,3.0,42.0,,65000.0,,65000.0,,,,,,,79.4563043953641,1,2137;2144;2146;2147;2148,,"Caprivi, Ohangwena, Omusati, Oshana, Oshikoto (Adm1)."
2009-0092-NAM,2009,92,FL-2009-000063,Natural,Hydrological,Flood,Riverine flood,,,Namibia,NAM,Southern Africa,Africa,"Kavango, Caprivi, Ohangwena, Omusati, Oshana, Oshikoto provinces",Heavy rains,,,Yes,Yes,Yes,4154.0,,Km2,,,,"Cunene, Chobe, Zambezi, Kavango rivers",2009,3.0,1.0,2009,3.0,19.0,92.0,,350000.0,,350000.0,,,,,,,79.1738027553029,1,2137;2141;2144;2146;2147;2148,,"Caprivi, Kavango, Ohangwena, Omusati, Oshana, Oshikoto (Adm1)."
2010-0128-NAM,2010,128,,Natural,Hydrological,Flood,Riverine flood,,,Namibia,NAM,Southern Africa,Africa,"Kavango, Oshana, Caprivi provinces",Heavy rains,,,,,,,64630.0,Km2,-18.69,23.23,,,2010,3.0,24.0,2010,3.0,24.0,8.0,,110000.0,,110000.0,,,,,,,80.472285151979,1,2137;2141;2147,,"Caprivi, Kavango, Oshana (Adm1)."
2011-0081-NAM,2011,81,FL-2011-000007,Natural,Hydrological,Flood,Riverine flood,,,Namibia,NAM,Southern Africa,Africa,"Kunene, Oshana, Oshikoto, Omusati, Ohangwena, Kavango, Caprivi provinces",Heavy rains,,,Yes,,Yes,,102874.0,Km2,-18.188,20.64,,,2011,3.0,1.0,2011,4.0,12.0,108.0,,500000.0,,500000.0,,,,,12000.0,14456.0,83.0126743931774,1,2137;2141;2143;2144;2146;2147;2148,,"Caprivi, Kavango, Kunene, Ohangwena, Omusati, Oshana, Oshikoto (Adm1)."
2012-0023-NAM,2012,23,,Natural,Hydrological,Flood,Riverine flood,,,Namibia,NAM,Southern Africa,Africa,"Okatana, Oshakati West districts (Oshana province), Omusati province",Heavy rainfall,,,,,,,,Km2,,,,,2012,1.0,24.0,2012,1.0,24.0,,,650.0,,650.0,,,,,,,84.7304788978789,1;2,2146,22323;22329,"Omusati (Adm1). Okatana, Oshakati West (Adm2)."
2013-0011-NAM,2013,11,FL-2013-000008,Natural,Hydrological,Flood,Riverine flood,,,Namibia,NAM,Southern Africa,Africa,Caprivi province,,,,,,,,,Km2,,,,Zambezi river,2013,1.0,10.0,2013,3.0,31.0,,,14500.0,,14500.0,,,,,,,85.9716422479773,1,2137,,Caprivi (Adm1).
