Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
1968-0075-NPL,1968,75,,Natural,Hydrological,Flood,Riverine flood,,,Nepal,NPL,Southern Asia,Asia,East,,,,Yes,,,,,Km2,,,,,1968,10.0,4.0,1968,10.0,4.0,276.0,,1000.0,,1000.0,,,,,300.0,2337.0,12.8366149136235,,,,
1970-0040-NPL,1970,40,,Natural,Hydrological,Flood,,,,Nepal,NPL,Southern Asia,Asia,South,,,,Yes,,,,,Km2,,,,,1970,8.0,15.0,1970,8.0,15.0,350.0,,20000.0,,20000.0,,,,,,,14.3281696916685,,,,
1981-0065-NPL,1981,65,,Natural,Hydrological,Flood,Flash flood,,,Nepal,NPL,Southern Asia,Asia,North,,,,,,,,,Km2,,,,,1981,7.0,13.0,1981,7.0,13.0,100.0,,,,,,,,,,,33.5554165755522,,,,
1981-0085-NPL,1981,85,,Natural,Hydrological,Flood,Flash flood,,,Nepal,NPL,Southern Asia,Asia,,,,,,,,,,Km2,,,,,1981,9.0,29.0,1981,9.0,29.0,650.0,,10000.0,,10000.0,,,,,,,33.5554165755522,,,,
1982-0354-NPL,1982,354,,Natural,Hydrological,Flood,,,,Nepal,NPL,Southern Asia,Asia,,,,,,,,,,Km2,,,,,1982,7.0,3.0,1982,7.0,3.0,92.0,,,,,,,,,,,35.6128405860485,,,,
1986-0224-NPL,1986,224,,Natural,Hydrological,Flood,,,,Nepal,NPL,Southern Asia,Asia,"Helpa, Marauco, Palpa, Morang, Sunsari",,,,,,,,,Km2,,,,,1986,4.0,6.0,1986,4.0,6.0,22.0,,,,,,,,,,,40.4504089219331,,,,
1990-0399-NPL,1990,399,,Natural,Hydrological,Flood,Riverine flood,,,Nepal,NPL,Southern Asia,Asia,"Chitwan District, Buwal, Jajarkot and Rolpa Districts",Monsoonal rain,,,,No,No,,,Km2,,,,,1990,8.0,27.0,1990,9.0,4.0,30.0,,2500.0,,2500.0,,,,,,,48.2187972884321,,,,
1993-0052-NPL,1993,52,,Natural,Hydrological,Flood,Flash flood,,,Nepal,NPL,Southern Asia,Asia,"Taplejung, Pantchthar, Markwanpur, Sindhuli, Sharlahi, Rautahat, Sirahana, Chitawan, Kavrepalan-chowk",,"Slide (land, mud, snow, rock)",,,Yes,No,,373.0,Km2,,,,,1993,8.0,23.0,1993,8.0,23.0,1048.0,268.0,553000.0,,553268.0,,,,,200000.0,375153.0,53.3116203804942,,,,
1995-0105-NPL,1995,105,,Natural,Hydrological,Flood,Riverine flood,,,Nepal,NPL,Southern Asia,Asia,"Baglung, Lamjung, Solukhumbu, Khotang, Okhaldhunga districts (Khotang Province)",Monsoonal rain,"Slide (land, mud, snow, rock)",,,No,No,,71320.0,Km2,,,,,1995,6.0,19.0,1995,7.0,25.0,140.0,,10000.0,3000.0,13000.0,,,,,1200.0,2134.0,56.2363000218675,,,,
1996-0107-NPL,1996,107,,Natural,Hydrological,Flood,Flash flood,,,Nepal,NPL,Southern Asia,Asia,"Taplejung, Pyuthan, Gulmi, Darchula, Baitadi, Rasuwa, Dhading, Morang, Siraha, Mahottaari, Rautahar, Nawalparasi, Rupandehi, Kapalvastu, Makawanpur, Bankey",,,,,,,158.0,60.0,Km2,,,,,1996,7.0,12.0,1996,7.0,12.0,768.0,132.0,137600.0,13650.0,151382.0,,,,,,,57.8847058823529,,,,
