Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
1972-0141-NLD,1972,141,,Natural,Meteorological,Storm,,,,Netherlands (the),NLD,Western Europe,Europe,,,,,,No,No,,,Kph,,,,,1972,11.0,12.0,1972,11.0,13.0,,,,,,,,,,,,15.4322326700197,,,,
1976-0175-NLD,1976,175,,Natural,Meteorological,Storm,,,Capella,Netherlands (the),NLD,Western Europe,Europe,,,,,,No,No,,,Kph,,,,,1976,1.0,2.0,1976,1.0,4.0,,,,,,,,,,,,21.0017319046578,,,,
1984-0246-NLD,1984,246,,Natural,Meteorological,Storm,Convective storm,Severe storm,,Netherlands (the),NLD,Western Europe,Europe,,,,,,,,,,Kph,,,,,1984,11.0,21.0,1984,11.0,21.0,,,,,,,,,,,,38.3376251913405,,,,
1986-0148-NLD,1986,148,,Natural,Meteorological,Storm,,,,Netherlands (the),NLD,Western Europe,Europe,,,,,,,,,151.0,Kph,,,,,1986,10.0,20.0,1986,10.0,20.0,,,,,,,,,,,,40.4504089219331,,,,
1990-0717-NLD,1990,717,,Natural,Meteorological,Storm,,,Daria,Netherlands (the),NLD,Western Europe,Europe,,,,,,No,No,,,Kph,,,,,1990,1.0,25.0,1990,1.0,26.0,20.0,,,,,,,800000.0,1659104.0,1200000.0,2488656.0,48.2187972884321,,,,
1990-0718-NLD,1990,718,,Natural,Meteorological,Storm,,,Herta,Netherlands (the),NLD,Western Europe,Europe,,,,,,No,No,,,Kph,,,,,1990,2.0,3.0,1990,2.0,4.0,,,,,,,,120000.0,248866.0,180000.0,373298.0,48.2187972884321,,,,
1990-0719-NLD,1990,719,,Natural,Meteorological,Storm,,,Judith,Netherlands (the),NLD,Western Europe,Europe,,,,,,No,No,,,Kph,,,,,1990,2.0,7.0,1990,2.0,8.0,,,,,,,,30000.0,62216.0,70000.0,145172.0,48.2187972884321,,,,
1990-0721-NLD,1990,721,,Natural,Meteorological,Storm,,,Ottilie and Polly,Netherlands (the),NLD,Western Europe,Europe,,,,,,No,No,,,Kph,,,,,1990,2.0,13.0,1990,2.0,15.0,,,,,,,,30000.0,62216.0,60000.0,124433.0,48.2187972884321,,,,
1990-0722-NLD,1990,722,,Natural,Meteorological,Storm,,,Vivian,Netherlands (the),NLD,Western Europe,Europe,,,,,,No,No,,,Kph,,,,,1990,2.0,25.0,1990,2.0,27.0,,,,,,,,100000.0,207388.0,180000.0,373298.0,48.2187972884321,,,,
1990-0723-NLD,1990,723,,Natural,Meteorological,Storm,,,Wiebke,Netherlands (the),NLD,Western Europe,Europe,,,,,,No,No,,,Kph,,,,,1990,2.0,28.0,1990,3.0,1.0,,,,,,,,30000.0,62216.0,60000.0,124433.0,48.2187972884321,,,,
1994-0015-NLD,1994,15,,Natural,Meteorological,Storm,,,Lore,Netherlands (the),NLD,Western Europe,Europe,,,,,,No,No,,,Kph,,,,,1994,1.0,27.0,1994,1.0,29.0,,,,,,,,,,2000.0,3656.0,54.7016925431883,,,,
1995-0021-NLD,1995,21,,Natural,Meteorological,Storm,,,"Thala, Urania, Valeska, Wilma",Netherlands (the),NLD,Western Europe,Europe,,,Flood,,,No,No,,,Kph,,,,,1995,1.0,21.0,1995,2.0,2.0,1.0,,250000.0,,250000.0,,,150000.0,266732.0,1180000.0,2098289.0,56.2363000218675,,,,
1997-0125-NLD,1997,125,,Natural,Meteorological,Storm,,,,Netherlands (the),NLD,Western Europe,Europe,Ijsselmeer,,,,,,,,95.0,Kph,,,,,1997,6.0,8.0,1997,6.0,8.0,2.0,40.0,60.0,,100.0,,,,,,,59.2378657336541,,,,
1998-0436-NLD,1998,436,,Natural,Meteorological,Storm,Extra-tropical storm,,"Cilly, Desiree, Fanny",Netherlands (the),NLD,Western Europe,Europe,,,,,,No,No,,,Kph,,,,,1998,1.0,1.0,1998,1.0,6.0,,,,,,,,,,100.0,166.0,60.1574108900066,,,,
2002-0677-NLD,2002,677,,Natural,Meteorological,Storm,Extra-tropical storm,,Jeanett,Netherlands (the),NLD,Western Europe,Europe,"Drenthe, Flevoland, Friesland, Gelderland, Groningen, Limburg, Noord-brabant, Noord-holland, Overijssel, Utrecht, Zeeland, Zuid-holland",,,,,,,,,Kph,,,,,2002,10.0,26.0,2002,10.0,28.0,4.0,,,,,,,200000.0,301287.0,300000.0,451930.0,66.3819636999782,1,2158;2159;2160;2161;2162;2163;2164;2165;2166;2167;2168;2169,,"Drenthe, Flevoland, Friesland, Gelderland, Groningen, Limburg, Noord-brabant, Noord-holland, Overijssel, Utrecht, Zeeland, Zuid-holland (Adm1)."
2005-0011-NLD,2005,11,,Natural,Meteorological,Storm,Extra-tropical storm,,Erwin,Netherlands (the),NLD,Western Europe,Europe,"Drenthe, Flevoland, Friesland, Gelderland, Groningen, Limburg, Noord-brabant, Noord-holland, Overijssel, Utrecht, Zeeland, Zuid-holland provinces",,,,,,,,,Kph,,,,,2005,1.0,8.0,2005,1.0,8.0,,1.0,,,1.0,,,,,,,72.0714104526569,1,2158;2159;2160;2161;2162;2163;2164;2165;2166;2167;2168;2169,,"Drenthe, Flevoland, Friesland, Gelderland, Groningen, Limburg, Noord-brabant, Noord-holland, Overijssel, Utrecht, Zeeland, Zuid-holland (Adm1)."
2007-0019-NLD,2007,19,,Natural,Meteorological,Storm,Extra-tropical storm,,Kyrill,Netherlands (the),NLD,Western Europe,Europe,"Drenthe, Flevoland, Friesland, Gelderland, Groningen, Limburg, Noord-brabant, Noord-holland, Overijssel, Utrecht, Zeeland, Zuid-holland provinces",,,,,,,,133.0,Kph,,,,,2007,1.0,18.0,2007,1.0,18.0,7.0,,,,,,,425000.0,555420.0,550000.0,718779.0,76.5186792040236,1,2158;2159;2160;2161;2162;2163;2164;2165;2166;2167;2168;2169,,"Drenthe, Flevoland, Friesland, Gelderland, Groningen, Limburg, Noord-brabant, Noord-holland, Overijssel, Utrecht, Zeeland, Zuid-holland (Adm1)."
2008-0082-NLD,2008,82,,Natural,Meteorological,Storm,Extra-tropical storm,,Emma,Netherlands (the),NLD,Western Europe,Europe,"Drenthe, Flevoland, Friesland, Gelderland, Groningen, Limburg, Noord-brabant, Noord-holland, Overijssel, Utrecht, Zeeland, Zuid-holland",,,,,,,,,Kph,,,,,2008,2.0,29.0,2008,3.0,2.0,,,,,,,,,,,,79.4563043953641,1,2158;2159;2160;2161;2162;2163;2164;2165;2166;2167;2168;2169,,"Drenthe, Flevoland, Friesland, Gelderland, Groningen, Limburg, Noord-brabant, Noord-holland, Overijssel, Utrecht, Zeeland, Zuid-holland (Adm1)."
2010-0088-NLD,2010,88,,Natural,Meteorological,Storm,Extra-tropical storm,,Xynthia,Netherlands (the),NLD,Western Europe,Europe,"Drenthe, Flevoland, Friesland, Gelderland, Groningen, Limburg, Noord-brabant, Noord-holland, Overijssel, Utrecht, Zeeland, Zuid-holland provinces",,,,,,,,,Kph,,,,,2010,2.0,28.0,2010,2.0,28.0,,,,,,,,18000.0,22368.0,28000.0,34795.0,80.472285151979,1,2158;2159;2160;2161;2162;2163;2164;2165;2166;2167;2168;2169,,"Drenthe, Flevoland, Friesland, Gelderland, Groningen, Limburg, Noord-brabant, Noord-holland, Overijssel, Utrecht, Zeeland, Zuid-holland (Adm1)."
