Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
1939-0003-NCL,1939,3,,Natural,Meteorological,Storm,Tropical cyclone,,,New Caledonia,NCL,Melanesia,Oceania,"Belep, Loyalty Islands",,,,,,,,,Kph,,,,,1939,3.0,25.0,1939,3.0,25.0,3.0,,,,,,,,,,,5.1448959990464,,,,
1948-0003-NCL,1948,3,,Natural,Meteorological,Storm,Tropical cyclone,,,New Caledonia,NCL,Melanesia,Oceania,Southern New Caledonia,,,,,,,,,Kph,,,,,1948,3.0,13.0,1948,3.0,13.0,2.0,,,,,,,,,,,8.8866385438075,,,,
1951-0010-NCL,1951,10,,Natural,Meteorological,Storm,Tropical cyclone,,,New Caledonia,NCL,Melanesia,Oceania,Central Caledonia,,,,,,,,,Kph,,,,,1951,2.0,26.0,1951,2.0,26.0,2.0,,,,,,,,,,,9.6005236345842,,,,
1955-0007-NCL,1955,7,,Natural,Meteorological,Storm,Tropical cyclone,,,New Caledonia,NCL,Melanesia,Oceania,,,,,,,,,,Kph,,,,,1955,3.0,4.0,1955,3.0,4.0,1.0,,,,,,,,,,,9.8811808440849,,,,
1959-0004-NCL,1959,4,,Natural,Meteorological,Storm,Tropical cyclone,,Beatrice,New Caledonia,NCL,Melanesia,Oceania,Southern New Caledonia,,,,,,,,,Kph,,,,,1959,1.0,18.0,1959,1.0,18.0,1.0,,,,,,,,,700.0,6507.0,10.75766455281,,,,
1968-0026-NCL,1968,26,,Natural,Meteorological,Storm,Tropical cyclone,,Brenda,New Caledonia,NCL,Melanesia,Oceania,East Coast,,,,,,,,,Kph,,,,,1968,1.0,19.0,1968,1.0,19.0,,,,,,,,,,,,12.8366149136235,,,,
1969-0049-NCL,1969,49,,Natural,Meteorological,Storm,Tropical cyclone,,Colleen,New Caledonia,NCL,Melanesia,Oceania,Near Ouvea Is.,,,,,,,,,Kph,,,,,1969,2.0,2.0,1969,2.0,2.0,,,,,,,,,,3000.0,22160.0,13.5378001312049,,,,
1972-0036-NCL,1972,36,,Natural,Meteorological,Storm,Tropical cyclone,,,New Caledonia,NCL,Melanesia,Oceania,"Noumea, Poindimie",,,,,,,,,Kph,,,,,1972,6.0,2.0,1972,6.0,2.0,3.0,,,,,,,,,,,15.4322326700197,,,,
1975-0022-NCL,1975,22,,Natural,Meteorological,Storm,Tropical cyclone,,Alison,New Caledonia,NCL,Melanesia,Oceania,,,,,,,,,,Kph,,,,,1975,3.0,7.0,1975,3.0,7.0,,,,,,,,,,,,19.8607741089,,,,
1976-0022-NCL,1976,22,,Natural,Meteorological,Storm,Tropical cyclone,,David,New Caledonia,NCL,Melanesia,Oceania,"Ouvea, Grande Terre",,,,,,,,,Kph,,,,,1976,1.0,16.0,1976,1.0,16.0,,,,,,,,,,,,21.0017319046578,,,,
1981-0030-NCL,1981,30,,Natural,Meteorological,Storm,Tropical cyclone,,Cliff,New Caledonia,NCL,Melanesia,Oceania,Houailou (Grande Terre),,,,,,,,,Kph,,,,,1981,2.0,11.0,1981,2.0,11.0,1.0,,2000.0,,2000.0,,,,,,,33.5554165755522,,,,
1981-0037-NCL,1981,37,,Natural,Meteorological,Storm,Tropical cyclone,,Freda,New Caledonia,NCL,Melanesia,Oceania,Belep,,,,,,,,,Kph,,,,,1981,3.0,5.0,1981,3.0,5.0,,,,,,,,,,,,33.5554165755522,,,,
1981-0111-NCL,1981,111,,Natural,Meteorological,Storm,Tropical cyclone,,Gyan,New Caledonia,NCL,Melanesia,Oceania,,,,,,,,,,Kph,,,,,1981,12.0,23.0,1981,12.0,23.0,3.0,,,,,,,,,200.0,596.0,33.5554165755522,,,,
1999-0061-NCL,1999,61,,Natural,Meteorological,Storm,Tropical cyclone,,Frank,New Caledonia,NCL,Melanesia,Oceania,Pouébo (Bourail commune),,,,,,,,155.0,Kph,,,,,1999,2.0,23.0,1999,2.0,23.0,,,,,,,,,,,,61.473667176908,,,,
2003-0135-NCL,2003,135,,Natural,Meteorological,Storm,Tropical cyclone,,Erica,New Caledonia,NCL,Melanesia,Oceania,"Noumea, Bourail areas (South region), Kone area (North region)",,,,,,,300.0,200.0,Kph,,,,,2003,3.0,13.0,2003,3.0,13.0,2.0,100.0,,1000.0,1100.0,,,,,40000.0,58920.0,67.8888956921058,1,2170,,Administrative unit not available (Adm1).
2021-0125-NCL,2021,125,,Natural,Meteorological,Storm,Tropical cyclone,,Tropial cylone 'Niran',New Caledonia,NCL,Melanesia,Oceania,,,,,,,,,,Kph,,,,,2021,3.0,5.0,2021,3.0,7.0,,,,,,,,,,,,100.0,1,2170,,Administrative unit not available (Adm1).
