Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
1929-0013-NZL,1929,13,,Natural,Geophysical,Earthquake,Ground movement,,,New Zealand,NZL,Australia and New Zealand,Oceania,Murchison,,"Slide (land, mud, snow, rock)",Tsunami/Tidal wave,,,,,8.0,Richter,-41.55,172.25,10:47,,1929,6.0,17.0,1929,6.0,17.0,17.0,,,,,,,,,,,6.3511156351865,,,,
1931-0004-NZL,1931,4,,Natural,Geophysical,Earthquake,Ground movement,,,New Zealand,NZL,Australia and New Zealand,Oceania,"Wairoa, Hastings, Napier Hawke's Bay",,,,,,,,7.0,Richter,-39.659,176.42,10:47,,1931,2.0,3.0,1931,2.0,3.0,256.0,,11000.0,,11000.0,,,,,25000.0,444451.0,5.6249221807756,,,,
1968-0099-NZL,1968,99,,Natural,Geophysical,Earthquake,Ground movement,,,New Zealand,NZL,Australia and New Zealand,Oceania,Inangahua,,,,,,,,7.0,Richter,-41.659,172.02,05:24,,1968,5.0,24.0,1968,5.0,24.0,3.0,14.0,300.0,,314.0,,,,,2669.0,20792.0,12.8366149136235,,,,
1976-0021-NZL,1976,21,,Natural,Geophysical,Earthquake,Ground movement,,,New Zealand,NZL,Australia and New Zealand,Oceania,"Kermandec Is., Raoul",,,,,,,,8.0,Richter,-28.427,-177.657,04:47,,1976,1.0,15.0,1976,1.0,15.0,,,,,,,,,,,,21.0017319046578,,,,
1987-0068-NZL,1987,68,,Natural,Geophysical,Earthquake,Ground movement,,,New Zealand,NZL,Australia and New Zealand,Oceania,Edgecumbe (Bay of Plenty),,,,,,,,7.0,Richter,-37.965,176.765,13:42,,1987,3.0,2.0,1987,3.0,2.0,1.0,25.0,7000.0,,7025.0,,,,,210000.0,500802.0,41.9327356221299,,,,
2010-0463-NZL,2010,463,,Natural,Geophysical,Earthquake,Ground movement,,,New Zealand,NZL,Australia and New Zealand,Oceania,Christchurch city (Canterbury province),,,,,,Yes,,7.0,Richter,-43.522,171.83,04:35,,2010,9.0,4.0,2010,9.0,4.0,,2.0,300000.0,,300002.0,,,5000000.0,6213319.0,6500000.0,8077315.0,80.472285151979,2,,22381,Administrative unit not available (Adm2).
2011-0068-NZL,2011,68,EQ-2011-000024,Natural,Geophysical,Earthquake,Ground movement,,,New Zealand,NZL,Australia and New Zealand,Oceania,Christchurch city (Canterbury province),,,,Yes,,Yes,9823.0,6.0,Richter,-43.583,172.68,12:51,,2011,2.0,22.0,2011,2.0,22.0,181.0,1500.0,300000.0,,301500.0,,,12000000.0,14455624.0,15000000.0,18069530.0,83.0126743931774,2,,22381,Administrative unit not available (Adm2).
2011-0388-NZL,2011,388,,Natural,Geophysical,Earthquake,Ground movement,,,New Zealand,NZL,Australia and New Zealand,Oceania,"Canterbury, Nelson-marlborough, Otago, Southland, Westland provinces",,"Slide (land, mud, snow, rock)",,,,,,6.0,Richter,-43.564,172.743,13:00,,2011,6.0,13.0,2011,6.0,13.0,1.0,45.0,,300.0,345.0,,,2000000.0,2409271.0,3000000.0,3613906.0,83.0126743931774,2,,22381;22384;22386;22387;22392,Administrative unit not available (Adm2).
2013-0268-NZL,2013,268,,Natural,Geophysical,Earthquake,Ground movement,,,New Zealand,NZL,Australia and New Zealand,Oceania,"Wellington's Central Business Center, Paraparaumu, Wainuiomata, Porirua, Hutt Valley areas (Wellington province)",,,,,,,,7.0,Richter,-41.704,174.337,17:09,,2013,7.0,21.0,2013,7.0,21.0,,4.0,13836.0,,13840.0,,,11800.0,13725.0,50000.0,58159.0,85.9716422479773,2,,22391,Administrative unit not available (Adm2).
2016-0395-NZL,2016,395,EQ-2016-000116,Natural,Geophysical,Earthquake,Tsunami,,,New Zealand,NZL,Australia and New Zealand,Oceania,"Culverden, Kaikoura (Canterbury province), Wellington province",,Tsunami/Tidal wave,"Slide (land, mud, snow, rock)",,,,,8.0,Richter,-42.725,173.064,00:02,,2016,11.0,14.0,2016,11.0,14.0,2.0,50.0,,,50.0,,,2100000.0,2370914.0,3900000.0,4403125.0,88.573452875574,1,2173;2183,,"Canterbury, Wellington (Adm1)."
