Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
1976-0108-NZL,1976,108,,Natural,Hydrological,Flood,,,,New Zealand,NZL,Australia and New Zealand,Oceania,Lower Hutt,,,,,,,,,Km2,,,,,1976,12.0,20.0,1976,12.0,20.0,,,129.0,,129.0,,,,,,,21.0017319046578,,,,
1977-0182-NZL,1977,182,,Natural,Hydrological,Flood,,,,New Zealand,NZL,Australia and New Zealand,Oceania,Greymouth,,,,,,,,,Km2,,,,,1977,1.0,19.0,1977,1.0,19.0,,,120.0,,120.0,,,,,,,22.367198775421,,,,
1978-0184-NZL,1978,184,,Natural,Hydrological,Flood,,,,New Zealand,NZL,Australia and New Zealand,Oceania,Bruce countu,,,,,,,,,Km2,,,,,1978,10.0,14.0,1978,10.0,14.0,,,200.0,,200.0,,,,,,,24.0740345506232,,,,
1978-0185-NZL,1978,185,,Natural,Hydrological,Flood,,,,New Zealand,NZL,Australia and New Zealand,Oceania,Southland county,,,,,,,,,Km2,,,,,1978,10.0,14.0,1978,10.0,14.0,,,700.0,,700.0,,,,,,,24.0740345506232,,,,
1978-0186-NZL,1978,186,,Natural,Hydrological,Flood,,,,New Zealand,NZL,Australia and New Zealand,Oceania,Mataura,,,,,,,,,Km2,,,,,1978,10.0,14.0,1978,10.0,14.0,,,1826.0,,1826.0,,,,,,,24.0740345506232,,,,
1980-0187-NZL,1980,187,,Natural,Hydrological,Flood,,,,New Zealand,NZL,Australia and New Zealand,Oceania,Mataura Borough,,,,,,,,,Km2,,,,,1980,1.0,17.0,1980,1.0,17.0,,,1500.0,,1500.0,,,,,,,30.4123857424011,,,,
1980-0194-NZL,1980,194,,Natural,Hydrological,Flood,,,,New Zealand,NZL,Australia and New Zealand,Oceania,Silverpeaks county,,,,,,,,,Km2,,,,,1980,6.0,5.0,1980,6.0,5.0,,,1400.0,,1400.0,,,,,,,30.4123857424011,,,,
1981-0172-NZL,1981,172,,Natural,Hydrological,Flood,,,,New Zealand,NZL,Australia and New Zealand,Oceania,"Paeroa Borough, Ohinemuri county",,,,,,,,,Km2,,,,,1981,4.0,12.0,1981,4.0,12.0,,,2250.0,,2250.0,,,,,,,33.5554165755522,,,,
1983-0286-NZL,1983,286,,Natural,Hydrological,Flood,,,,New Zealand,NZL,Australia and New Zealand,Oceania,Golden Bay,,,,,,,,,Km2,,,,,1983,7.0,10.0,1983,7.0,10.0,,,140.0,,140.0,,,,,,,36.7568773234201,,,,
1984-0197-NZL,1984,197,,Natural,Hydrological,Flood,,,,New Zealand,NZL,Australia and New Zealand,Oceania,Invercargil,,,,Yes,No,No,,,Km2,,,,,1984,1.0,27.0,1984,1.0,29.0,,,6805.0,,6805.0,,,,,20000.0,52168.0,38.3376251913405,,,,
1985-0392-NZL,1985,392,,Natural,Hydrological,Flood,Riverine flood,,,New Zealand,NZL,Australia and New Zealand,Oceania,"Thames Borough, Thames Valley regions",,,,,,,,7870.0,Km2,,,,,1985,2.0,17.0,1985,2.0,17.0,4.0,,170.0,,170.0,,,,,,,39.696934178876,,,,
1985-0393-NZL,1985,393,,Natural,Hydrological,Flood,,,,New Zealand,NZL,Australia and New Zealand,Oceania,Poverty Bay,,,,,,,,,Km2,,,,,1985,7.0,26.0,1985,7.0,26.0,,,100.0,,100.0,,,,,,,39.696934178876,,,,
1986-0396-NZL,1986,396,,Natural,Hydrological,Flood,,,,New Zealand,NZL,Australia and New Zealand,Oceania,Nelson Bay region,,,,,,,,,Km2,,,,,1986,1.0,25.0,1986,1.0,25.0,,,150.0,,150.0,,,,,,,40.4504089219331,,,,
1986-0172-NZL,1986,172,,Natural,Hydrological,Flood,,,,New Zealand,NZL,Australia and New Zealand,Oceania,"Aorangi, Strathallan county, Waimate Borough, Temuka Borough, Timaru",,,,,,,,,Km2,,,,,1986,3.0,13.0,1986,3.0,13.0,1.0,,1360.0,,1360.0,,,,,19800.0,48949.0,40.4504089219331,,,,
1986-0175-NZL,1986,175,,Natural,Hydrological,Flood,,,,New Zealand,NZL,Australia and New Zealand,Oceania,"Rangiora, Kaiapoi Boroughs",,,,,,,,,Km2,,,,,1986,8.0,11.0,1986,8.0,11.0,,,320.0,,320.0,,,,,,,40.4504089219331,,,,
1987-0267-NZL,1987,267,,Natural,Hydrological,Flood,,,,New Zealand,NZL,Australia and New Zealand,Oceania,"Invercargill, Bluff Borough",,,,,,,,,Km2,,,,,1987,3.0,10.0,1987,3.0,10.0,,,700.0,,700.0,,,,,,,41.9327356221299,,,,
1988-0609-NZL,1988,609,,Natural,Hydrological,Flood,,,,New Zealand,NZL,Australia and New Zealand,Oceania,Greymouth Borough,,,,,,,,,Km2,,,,,1988,5.0,20.0,1988,5.0,20.0,,,402.0,,402.0,,,,,,,43.6426415919528,,,,
