Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
1968-0133-NZL,1968,133,,Natural,Meteorological,Storm,Tropical cyclone,,Giselle,New Zealand,NZL,Australia and New Zealand,Oceania,"Gore, Mataura, Wyndahm",,,,,,,,,Kph,,,,,1968,4.0,14.0,1968,4.0,14.0,50.0,,1000.0,,1000.0,,,,,,,12.8366149136235,,,,
1988-0601-NZL,1988,601,,Natural,Meteorological,Storm,Tropical cyclone,,Bola,New Zealand,NZL,Australia and New Zealand,Oceania,Gisborne District,,,,,,,,,Kph,,,,,1988,3.0,7.0,1988,3.0,7.0,6.0,,,,,,,,,,,43.6426415919528,,,,
1992-0221-NZL,1992,221,,Natural,Meteorological,Storm,,,,New Zealand,NZL,Australia and New Zealand,Oceania,Masterton,,,,,,,,,Kph,,,,,1992,7.0,22.0,1992,7.0,22.0,,,,,,,,,,,,51.7831620380495,,,,
1992-0343-NZL,1992,343,,Natural,Meteorological,Storm,Convective storm,Winter storm/Blizzard,,New Zealand,NZL,Australia and New Zealand,Oceania,Canterbury,,,,,,,,,Kph,,,,,1992,8.0,24.0,1992,8.0,24.0,,,,,,,,20600.0,39781.0,51500.0,99453.0,51.7831620380495,,,,
1996-0315-NZL,1996,315,,Natural,Meteorological,Storm,,,Fergus,New Zealand,NZL,Australia and New Zealand,Oceania,Thames Valley ( Coromandel District),,,,,,,,130.0,Kph,,,,,1996,12.0,30.0,1996,12.0,30.0,1.0,,2000.0,,2000.0,,,,,,,57.8847058823529,,,,
1997-0037-NZL,1997,37,,Natural,Meteorological,Storm,,,Drena,New Zealand,NZL,Australia and New Zealand,Oceania,Moanatairi (Thames Coromandel),,,,,,,,100.0,Kph,,,,,1997,1.0,11.0,1997,1.0,11.0,3.0,,140.0,,140.0,,,,,,,59.2378657336541,,,,
2000-0687-NZL,2000,687,,Natural,Meteorological,Storm,,,,New Zealand,NZL,Australia and New Zealand,Oceania,Canterbury province,,,,,,,,160.0,Kph,,,,,2000,10.0,11.0,2000,10.0,11.0,,,,,,,,,,,,63.5495473431008,1,2173,,Canterbury (Adm1).
2003-0490-NZL,2003,490,,Natural,Meteorological,Storm,,,,New Zealand,NZL,Australia and New Zealand,Oceania,Kapiti Coast District area (Wellington province),,"Slide (land, mud, snow, rock)",Flood,,,Yes,,,Kph,,,,,2003,10.0,3.0,2003,10.0,3.0,2.0,,,,,,,,,3000.0,4419.0,67.8888956921058,1,2183,,Wellington (Adm1).
2005-0144-NZL,2005,144,,Natural,Meteorological,Storm,Convective storm,Tornado,,New Zealand,NZL,Australia and New Zealand,Oceania,Greymouth town (Westland province),,,,,,,,,Kph,,,,,2005,3.0,10.0,2005,3.0,10.0,,,100.0,,100.0,,,,,10000.0,13875.0,72.0714104526569,1,2184,,Westland (Adm1).
2007-0133-NZL,2007,133,,Natural,Meteorological,Storm,Tropical cyclone,,Becky,New Zealand,NZL,Australia and New Zealand,Oceania,Bay of Islands area (Northland province),,Flood,"Slide (land, mud, snow, rock)",,,,,,Kph,-35.35,173.98,,,2007,3.0,29.0,2007,3.0,31.0,,,300.0,,300.0,,,,,,,76.5186792040236,1,2177,,Northland (Adm1).
2012-0533-NZL,2012,533,,Natural,Meteorological,Storm,Convective storm,Tornado,,New Zealand,NZL,Australia and New Zealand,Oceania,Auckland province,,,,,,,,110.0,Kph,,,,,2012,12.0,6.0,2012,12.0,6.0,3.0,7.0,450.0,,457.0,,,,,9100.0,10740.0,84.7304788978789,1,2171,,Auckland (Adm1).
2013-0421-NZL,2013,421,,Natural,Meteorological,Storm,Convective storm,,,New Zealand,NZL,Australia and New Zealand,Oceania,"Canterbury, Wellington, Hawke's Bay, East Cape provinces",,,,,,,,,Kph,,,,,2013,9.0,10.0,2013,9.0,11.0,,,,,,,,,,20000.0,23263.0,85.9716422479773,1,2173;2174;2175;2183,,"Canterbury, East Cape, Hawke's Bay, Wellington (Adm1)."
2017-0319-NZL,2017,319,,Natural,Meteorological,Storm,Convective storm,Winter storm/Blizzard,,New Zealand,NZL,Australia and New Zealand,Oceania,"Otago (Dunedin, Taieri, Outram, Henley, Mosgiel, Oamaru, Milton), Canterbury (Christchurch, Selwyn, Timaru), Auckland, Wellington, Waikato (Waihi, Taupo, Rotorua), Bay of Plenty (Murupara), East Cape (Hicks Bay)",,Snow/ice,Flood,,,Yes,,,Kph,,,,"Heathcote, Taieri",2017,7.0,21.0,2017,7.0,23.0,,,171.0,12.0,183.0,,,,,20000.0,22109.0,90.4601793133611,1,2171;2172;2173;2174;2178;2181;2183,,"Auckland, Bay Of Plenty, Canterbury, East Cape, Otago, Waikato, Wellington (Adm1)."
