Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
1930-0028-NIC,1930,28,,Natural,Geophysical,Earthquake,Ground movement,,,Nicaragua,NIC,Central America,Americas,Managua,,,,,,,,,Richter,12.1,-86.2,,,1930,3.0,31.0,1930,3.0,31.0,1000.0,,,,,,,,,15000.0,242766.0,6.1787985443093,,,,
1931-0001-NIC,1931,1,,Natural,Geophysical,Earthquake,Ground movement,,,Nicaragua,NIC,Central America,Americas,Managua,,,,,,,,6.0,Richter,13.2,-85.7,10:16,,1931,3.0,31.0,1931,3.0,31.0,1000.0,,,,,,,,,15000.0,266670.0,5.6249221807756,,,,
1951-0038-NIC,1951,38,,Natural,Geophysical,Earthquake,Ground movement,,,Nicaragua,NIC,Central America,Americas,Potosi,,Tsunami/Tidal wave,,,,,,6.0,Richter,13,-87.5,17:08,,1951,8.0,3.0,1951,8.0,3.0,500.0,,,,,,,,,,,9.6005236345842,,,,
1968-0018-NIC,1968,18,,Natural,Geophysical,Earthquake,Ground movement,,,Nicaragua,NIC,Central America,Americas,Managua,,,,Yes,,,,5.0,Richter,12.1,-86.2,04:03,,1968,1.0,4.0,1968,1.0,4.0,,,2000.0,,2000.0,,,,,2000.0,15580.0,12.8366149136235,,,,
1972-0067-NIC,1972,67,,Natural,Geophysical,Earthquake,Ground movement,,,Nicaragua,NIC,Central America,Americas,Managua,,,,Yes,,,,6.0,Richter,12.184,-86.223,00:29,,1972,12.0,23.0,1972,12.0,23.0,10000.0,20000.0,400000.0,300000.0,720000.0,,,100000.0,647994.0,845000.0,5475552.0,15.4322326700197,,,,
1990-0194-NIC,1990,194,,Natural,Geophysical,Earthquake,Ground movement,,,Nicaragua,NIC,Central America,Americas,"Rivas, Managua",,,,,No,No,,6.0,Richter,11.426 N,86.301 W,,,1990,4.0,3.0,1990,4.0,3.0,,,,,,,,,,,,48.2187972884321,,,,
1992-0079-NIC,1992,79,,Natural,Geophysical,Earthquake,Ground movement,,,Nicaragua,NIC,Central America,Americas,"San Martin, San Juan Del Sur, Huehuete, Casares, La Boquita, Poneloya, Corinto, Masachapa, Pochomil",,Tsunami/Tidal wave,,,No,No,10056.0,7.0,Richter,11.742 N,87.340 W,18:16,,1992,9.0,1.0,1992,9.0,1.0,179.0,489.0,5690.0,,6179.0,,,,,25000.0,48278.0,51.7831620380495,,,,
1998-0586-NIC,1998,586,,Natural,Geophysical,Earthquake,Ground movement,,,Nicaragua,NIC,Central America,Americas,Ticuante area,,,,,No,No,,4.0,Richter,11.968 N,86.254 W,,,1998,3.0,25.0,1998,3.0,25.0,,3.0,225.0,10.0,238.0,,,,,,,60.1574108900066,,,,
2000-0387-NIC,2000,387,,Natural,Geophysical,Earthquake,Ground movement,,,Nicaragua,NIC,Central America,Americas,"Laguna de Apoyo nature reserve (Masaya district, Masaya province)",,,,,,,69.0,5.0,Richter,11.884,-85.988,13:28,,2000,7.0,6.0,2000,7.0,6.0,7.0,42.0,1785.0,5650.0,7477.0,,,,,,,63.5495473431008,2,,22499,Masaya (Adm2).
2014-0111-NIC,2014,111,,Natural,Geophysical,Earthquake,Ground movement,,,Nicaragua,NIC,Central America,Americas,Managua province,,,,,,,,7.0,Richter,11.642,-85.8779,17:27,,2014,4.0,11.0,2014,4.0,11.0,2.0,266.0,12015.0,,12281.0,,,,,3000.0,3434.0,87.3662978351193,1,2196,,Managua (Adm1).
