Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
1968-0062-NIC,1968,62,,Natural,Hydrological,Flood,,,,Nicaragua,NIC,Central America,Americas,"Mistrook, El Salto",,,,Yes,,,,,Km2,,,,,1968,8.0,12.0,1968,8.0,12.0,,,1300.0,260.0,1560.0,,,,,1500.0,11685.0,12.8366149136235,,,,
1990-0107-NIC,1990,107,,Natural,Hydrological,Flood,Riverine flood,,,Nicaragua,NIC,Central America,Americas,North Atlantic Coast,,,,Yes,No,No,,,Km2,,,,,1990,5.0,28.0,1990,5.0,29.0,4.0,,106411.0,,106411.0,,,,,,,48.2187972884321,,,,
1999-0363-NIC,1999,363,,Natural,Hydrological,Flood,Coastal flood,,,Nicaragua,NIC,Central America,Americas,"Chinandega, Managua, Carazo and Rivas, West and North West Regions",Tropical cyclone,,,,Yes,Yes,22.0,,Km2,,,,,1999,9.0,12.0,1999,10.0,10.0,11.0,,100000.0,7105.0,107105.0,,,,,500.0,813.0,61.473667176908,,,,
2002-0328-NIC,2002,328,,Natural,Hydrological,Flood,Riverine flood,,,Nicaragua,NIC,Central America,Americas,"Carazo, Chinandega, Granada, Leon, Managua, Masaya, Rivas provinces",Heavy rain,,,,,,1584.0,,Km2,,,,,2002,5.0,23.0,2002,6.0,5.0,,,10542.0,3004.0,13546.0,,,,,50.0,75.0,66.3819636999782,1,2188;2189;2192;2194;2196;2197;2201,,"Carazo, Chinandega, Granada, Leon, Managua, Masaya, Rivas (Adm1)."
2007-0503-NIC,2007,503,,Natural,Hydrological,Flood,Riverine flood,,,Nicaragua,NIC,Central America,Americas,"Esteli, Madriz, Chinandega, Leon, Managua, Masaya, Granada, Carazo, Rivas, Jinotega, Matagalpa provinces",Heavy rains,"Slide (land, mud, snow, rock)",,Yes,,Yes,,,Km2,10.98,-85.44,,,2007,10.0,14.0,2007,10.0,24.0,10.0,,24000.0,,24000.0,,,,,,,76.5186792040236,1,2188;2189;2191;2192;2193;2194;2195;2196;2197;2198;2201,,"Carazo, Chinandega, Esteli, Granada, Jinotega, Leon, Madriz, Managua, Masaya, Matagalpa, Rivas (Adm1)."
2008-0457-NIC,2008,457,,Natural,Hydrological,Flood,Riverine flood,,,Nicaragua,NIC,Central America,Americas,"Nueva Segovia, Madriz, Granada, Chontales, Managua provinces",Heavy rains,"Slide (land, mud, snow, rock)",,,,,,34760.0,Km2,12.0,-86.37,,,2008,9.0,24.0,2008,10.0,17.0,13.0,,3525.0,,3525.0,,,,,,,79.4563043953641,1,2190;2192;2195;2196;2199,,"Chontales, Granada, Madriz, Managua, Nueva Segovia (Adm1)."
2008-0484-NIC,2008,484,TC-2008-000147,Natural,Hydrological,Flood,Riverine flood,,Tropical Depression Sixteen,Nicaragua,NIC,Central America,Americas,"Chinandega, Madriz, Esteli, Leon, Managua, Granada, Rivas provinces",Tropical Depression 16,,,,,,,,Km2,,,,,2008,10.0,18.0,2008,10.0,18.0,4.0,,10663.0,,10663.0,,,,,,,79.4563043953641,1,2189;2191;2192;2194;2195;2196;2201,,"Chinandega, Esteli, Granada, Leon, Madriz, Managua, Rivas (Adm1)."
2009-0234-NIC,2009,234,FL-2009-000117,Natural,Hydrological,Flood,Riverine flood,,,Nicaragua,NIC,Central America,Americas,Moyogalpa district (Rivas province),Heavy rains,"Slide (land, mud, snow, rock)",,,,,,,Km2,13.42,-88.64,,,2009,6.0,19.0,2009,6.0,22.0,,,64.0,,64.0,,,,,,,79.1738027553029,2,,22546,Moyogalpa (Adm2).
2009-0322-NIC,2009,322,,Natural,Hydrological,Flood,Riverine flood,,,Nicaragua,NIC,Central America,Americas,Prinzapolka district (Atlantico Norte province),,,,,,,,,Km2,,,,Bambana river,2009,7.0,31.0,2009,7.0,31.0,,,6821.0,,6821.0,,,,,,,79.1738027553029,2,,22394,Prinzapolka (Adm2).
2010-0273-NIC,2010,273,FL-2010-000106,Natural,Hydrological,Flood,Riverine flood,,,Nicaragua,NIC,Central America,Americas,"Chinandega, Corinto, Chichigalpa districts (Chinandega province), Leon, Managua provinces","Intermittent rain, tropical depression Agatha",,,,,,,,Km2,,,,,2010,5.0,26.0,2010,6.0,3.0,,,4860.0,,4860.0,,,,,,,80.472285151979,1;2,2194;2196,22425;22426;22428,"Leon, Managua (Adm1). Chichigalpa, Chinandega, Corinto (Adm2)."
