Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
1971-0051-NIC,1971,51,,Natural,Meteorological,Storm,Tropical cyclone,,Edith,Nicaragua,NIC,Central America,Americas,Coco River Valley,,,,Yes,,,,,Kph,,,,,1971,9.0,9.0,1971,9.0,9.0,35.0,50.0,2800.0,1800.0,4650.0,,,,,380.0,2543.0,14.9432495079816,,,,
1982-0060-NIC,1982,60,,Natural,Meteorological,Storm,Tropical cyclone,,Alleta,Nicaragua,NIC,Central America,Americas,Pacific coast,,,,Yes,,,,,Kph,,,,,1982,5.0,23.0,1982,5.0,23.0,71.0,,52000.0,,52000.0,,,,,356000.0,999639.0,35.6128405860485,,,,
1988-0481-NIC,1988,481,,Natural,Meteorological,Storm,Tropical cyclone,,Joan,Nicaragua,NIC,Central America,Americas,Caribbean coast,,,,,No,No,,,Kph,,,,,1988,10.0,22.0,1988,10.0,23.0,130.0,278.0,300000.0,60000.0,360278.0,,,,,400000.0,916535.0,43.6426415919528,,,,
1993-0053-NIC,1993,53,,Natural,Meteorological,Storm,Tropical cyclone,,Bret,Nicaragua,NIC,Central America,Americas,"Rio Coco area, Prinzapolka, Bonanza, Managua",,,,Yes,,,1747.0,97.0,Kph,,,,,1993,8.0,10.0,1993,8.0,10.0,37.0,,123000.0,,123000.0,,,,,,,53.3116203804942,,,,
1995-0251-NIC,1995,251,,Natural,Meteorological,Storm,Tropical cyclone,,,Nicaragua,NIC,Central America,Americas,"Chinandega, Rivas provinces",,,,,,,,,Kph,,,,,1995,10.0,9.0,1995,10.0,9.0,38.0,,15085.0,,15085.0,,,,,,,56.2363000218675,,,,
1996-0102-NIC,1996,102,,Natural,Meteorological,Storm,Tropical cyclone,,Cesar and Douglas,Nicaragua,NIC,Central America,Americas,"San Andres, Providencia Isl., entire East coast",,,,Yes,No,No,4276.0,126.0,Kph,,,,,1996,7.0,28.0,1996,7.0,30.0,42.0,,10724.0,,10724.0,,,,,10000.0,17276.0,57.8847058823529,,,,
1996-0502-NIC,1996,502,,Natural,Meteorological,Storm,Tropical cyclone,,Marcos,Nicaragua,NIC,Central America,Americas,,,,,,No,No,,,Kph,,,,,1996,11.0,9.0,1996,11.0,21.0,2.0,,,,,,,,,100.0,173.0,57.8847058823529,,,,
1998-0344-NIC,1998,344,,Natural,Meteorological,Storm,Tropical cyclone,,Mitch,Nicaragua,NIC,Central America,Americas,Chinandega and Esteli,,"Slide (land, mud, snow, rock)",,Yes,No,No,,270.0,Kph,,,,,1998,10.0,25.0,1998,11.0,8.0,3332.0,228.0,868000.0,,868228.0,,,,,987700.0,1641859.0,60.1574108900066,,,,
2000-0644-NIC,2000,644,,Natural,Meteorological,Storm,Tropical cyclone,,Keith,Nicaragua,NIC,Central America,Americas,"Léon, Chinandega, Managua, Granada, Rivas provinces",,,,,,,,,Kph,,,,,2000,9.0,29.0,2000,10.0,3.0,1.0,,2300.0,,2300.0,,,,,1000.0,1574.0,63.5495473431008,1,2189;2192;2194;2196;2201,,"Chinandega, Granada, Leon, Managua, Rivas (Adm1)."
2000-0875-NIC,2000,875,,Natural,Meteorological,Storm,Convective storm,Tornado,,Nicaragua,NIC,Central America,Americas,El Viejo district (Chinandega province),,,,,,,,,Kph,,,,,2000,10.0,9.0,2000,10.0,9.0,1.0,,210.0,,210.0,,,,,,,63.5495473431008,2,,22430,El Viejo (Adm2).
